role,frequency_hz,t_0.128,t_0.256,t_0.384,t_0.512,t_0.640,t_0.768,t_0.896,t_1.024,t_1.152,t_1.280,t_1.408,t_1.536,t_1.664,t_1.792,t_1.920,t_2.048,t_2.176,t_2.304,t_2.432,t_2.560,t_2.688,t_2.816,t_2.944,t_3.072,t_3.200,t_3.328,t_3.456,t_3.584,t_3.712,t_3.840,t_3.968,t_4.096,t_4.224,t_4.352,t_4.480,t_4.608,t_4.736,t_4.864,t_4.992,t_5.120,t_5.248,t_5.376,t_5.504,t_5.632,t_5.760
normal,0.0,-46.80445949838712,-55.75140920881255,-50.4223715891861,-56.06852547095208,-54.032241965722754,-60.21473810214922,-48.51696592317832,-35.84053191460774,-43.538079419860416,-37.7211851079802,-51.01187123576851,-48.691462785650266,-41.143681495739614,-51.00779755692953,-56.386716608597574,-47.59820972469663,-51.07355443259061,-60.08760620940588,-44.69316291781634,-57.2303861584293,-55.52519009413335,-56.45912797414596,-24.37041582064936,-64.57005160786721,-24.98349298496684,-42.74295987062551,-59.34260569720166,-36.870526234532115,-61.84641711703392,-64.83243769895515,-55.17153043803063,-54.34134740946718,-47.16735099463713,-63.679800552369144,-53.06477783533458,-64.15100938942342,-71.13370273634251,-52.19465167899947,-32.84497224092905,-42.037230487390644,-28.942965911677415,-36.381669850678676,-56.94926860417121,-49.40203131809035,-58.29694567704613
normal,3.90625,-48.565698816960534,-58.13601930341748,-52.71878903991812,-46.343570751290756,-63.58062054818312,-61.84192116901332,-62.266934503849434,-41.36448079204897,-48.82183146113998,-57.04556002839383,-48.39020296475125,-50.640431496173086,-47.747232748292404,-60.647103339784,-57.404723629702744,-49.28028737673252,-52.46844391959101,-56.34892503928079,-49.82239159115903,-47.60442504376303,-58.82053274352337,-61.68744679568033,-37.48332009650809,-49.8237649599544,-44.09694949066066,-48.96388561632885,-58.216499236800594,-40.92840873888512,-56.492796425976834,-67.29211592844005,-56.36038648409692,-49.04270800044907,-52.34921706056993,-49.00956648967029,-48.53525180003768,-61.69556683462982,-68.22517488700028,-70.86654641337208,-48.69956306917615,-56.47924029387703,-36.45322763005454,-44.77224681133109,-68.00092733373812,-46.64215484998372,-71.87989936943231
normal,7.8125,-45.27802656384452,-55.45397386041088,-47.43289676617272,-42.71607979413554,-58.71431550135668,-66.14612775989562,-66.25873716072512,-36.62860565769007,-48.13747922665581,-49.89261611380681,-43.49697424505182,-50.000226170697466,-45.51861207472149,-58.5463744746695,-52.75794126359685,-45.12738844172917,-46.99753804003489,-48.428157016140254,-47.79082262448796,-42.037961126923555,-53.17104664722103,-61.25067020898716,-32.95969225528821,-44.98785751152917,-39.762992086076515,-42.68951520162836,-56.41784341890254,-39.063576993955465,-55.524940860237365,-58.01824902884701,-51.16846342308176,-47.515764579953185,-49.83855845538577,-45.44650499466861,-49.971372775616906,-55.59230013022037,-65.76964789126644,-63.82852758603971,-44.443403907295334,-53.97026187225852,-33.36533024234484,-41.75203468415979,-61.31255261502366,-42.21177132190362,-60.76581447380203
normal,11.71875,-42.33848322052957,-53.58394273167548,-44.05478581993968,-39.7986642056835,-56.912291130881165,-67.26267855485574,-61.43125529403289,-32.34860317040915,-45.694011546731815,-43.99692783693497,-40.28019882300611,-48.70152216782973,-42.41329383039633,-57.47477007899353,-49.92699631265309,-42.3995350759239,-42.96371360274772,-41.87981525783361,-44.536064030293325,-38.147052490080185,-48.996510135052446,-54.36252238045267,-28.84068000347058,-42.299333691436104,-35.849811066055096,-37.07255052270841,-56.84536142102714,-36.34151340397853,-54.05863858474041,-48.95822806573889,-49.45832260142305,-45.81505155422847,-46.64687803268795,-41.254890435077236,-50.183127592426615,-50.144883492739474,-64.71468103001912,-58.57283789574083,-41.048038181032084,-48.575294473366185,-29.488065387624097,-39.48013633267641,-56.912452740528494,-38.34887528882552,-54.84825271781513
normal,15.625,-34.62172029654477,-43.1450960342907,-37.52980006356387,-35.68852347414967,-58.29732648288846,-58.448770766519225,-50.00967211453399,-28.03843901327092,-36.14250366394555,-37.762417073411555,-33.303520632518115,-44.80785187454411,-39.243871085549685,-61.57545692683378,-47.882173878673335,-42.15491166649948,-35.687079176074036,-39.36334594692077,-36.888106590369276,-32.18780601809413,-46.31036179736563,-47.900900073547874,-24.867711263269882,-41.731983541364016,-32.92252087990874,-29.476862134163877,-44.6539476135581,-33.21011762284827,-55.136537842840596,-40.847205222112855,-66.77870519189669,-37.54316736663725,-42.67592948782263,-35.26119461693928,-53.48606038215303,-45.52399182700892,-63.86684921159866,-51.42057999278306,-38.70978549625629,-53.962797894507055,-25.12541420665208,-40.844023955385424,-52.50147122294678,-34.269984995616895,-50.95836631256116
normal,19.53125,-25.996248573042276,-38.25816131842978,-29.011119465123002,-25.57121146148038,-56.31431124041326,-47.37199130359053,-41.003699349656095,-19.946449052564454,-25.453912452438825,-37.85340424125503,-25.00072976181151,-25.87204604301736,-32.42729265182391,-49.27394158419265,-48.77512551172424,-33.69917507084733,-25.544271092144598,-26.478288504096227,-24.83625037162653,-22.2856952788479,-38.76782497407932,-39.88793735463333,-21.255462805298713,-23.972294884282164,-38.78814279194543,-24.937568388616743,-26.476979487146846,-30.15801050225834,-36.51759384906895,-38.468987544160285,-25.677580004150663,-26.180559749381032,-32.880111755511244,-26.994778486173608,-27.63066082385299,-41.68763396445481,-40.732634151054356,-66.36702717508504,-39.17334354007532,-23.302502768500485,-19.780226113640076,-41.71443648507517,-29.824139780696303,-33.39109953332519,-39.57674063445705
normal,23.4375,-16.756995231981143,-31.169570830210198,-20.732908290791222,-20.480477745487136,-38.82884056993445,-34.56027328418934,-43.56216505024001,-16.21981566452125,-20.69512982349467,-23.788090311770823,-18.61506291001323,-16.205966108881928,-33.09601320617054,-33.707752198311226,-38.13736246194141,-20.682951392879957,-22.33134228439522,-22.80808606004388,-17.53797621111987,-16.476654637594823,-34.460667839042316,-38.58384673211029,-19.39130440653821,-24.63965525544274,-19.24214697529566,-22.018128456101643,-15.54907322393312,-22.13725435517128,-34.244861368613925,-40.121915390788836,-17.509676732677367,-17.64371662114469,-28.845240184394093,-21.71483468918838,-19.767742327105925,-40.54098976596329,-44.8001715927355,-41.20705525188854,-36.99387771766681,-18.730971604049792,-16.53123037883189,-35.95122273463704,-23.05335724469603,-27.827879681513217,-41.96598234773628
normal,27.34375,-13.441627666381057,-32.36661234905094,-21.83948504286278,-21.217354810758202,-40.32257181929825,-38.26245283716207,-33.10160300560519,-11.897453136167616,-11.792196088650917,-20.75918307147008,-19.47167482907673,-18.90701528182982,-28.4431999713601,-33.750552994721296,-28.03535067540361,-12.314307214176237,-12.26231882747615,-24.55293160765475,-16.196611562781683,-18.852553158111654,-29.014595136507083,-39.655010232116084,-17.13917417619575,-10.567665148129027,-16.73261238159182,-18.325635959492217,-15.807474694680836,-29.241906975597658,-29.412608330894837,-26.817609154419152,-12.485837529167208,-13.56566936113566,-22.899225807795155,-19.911219414542888,-20.31138475749742,-36.84938632122234,-38.418638262691594,-35.61682012413916,-40.540924385745704,-12.969176746004607,-15.799043043294008,-26.272629731748367,-21.72346075230636,-43.76939737294748,-31.18645523668208
normal,31.25,-8.471149665956016,-30.060946759769603,-19.842689303445063,-22.803071906244128,-33.69405327515271,-32.50786314177074,-34.11765114507958,-9.926916432398974,-7.599331715348399,-26.625626626987362,-20.67995652201073,-21.459288164721926,-37.1317226229818,-33.18355191308595,-41.42090337273102,-9.570045102283203,-7.696081923726682,-22.915937143034682,-18.189788682573212,-20.009483271431492,-46.71053892649443,-31.759555155606634,-19.926598638531853,-7.423204322927647,-19.770851175885372,-20.35997508072491,-21.447682072844078,-29.06777863744483,-26.278101259984954,-29.249761450448233,-10.046426311039893,-8.28294064929048,-31.36439331027869,-21.80705656407243,-21.629597669575965,-39.51613769538575,-36.26421560739304,-37.9864580209188,-47.37299785926152,-8.917684792589457,-10.517011086132014,-27.962450530939126,-23.00335757436538,-37.023556871231555,-32.06679346065765
normal,35.15625,-8.607203659022257,-27.5042923955315,-21.94753327478406,-22.073347942210503,-43.17636720421669,-36.75320700187151,-35.43029285136923,-9.361057174854627,-7.657026244136924,-30.76793713354423,-20.714229407940866,-21.58093064784687,-37.39302532150298,-33.1618289716102,-42.42872622365959,-7.714745169122784,-8.18818874772359,-25.80593110942401,-18.392550308946948,-17.61884911226677,-48.016632459959034,-35.469770586275466,-19.23344246195199,-8.73028743037732,-35.94590237071533,-18.75897635078559,-19.99464541102001,-29.84683265141961,-28.51353824396289,-31.71470710274388,-8.690740110649992,-9.087763878392634,-31.732572758430383,-21.424644864537964,-19.5006764691535,-39.48604475955612,-40.82851792022781,-43.624477463942384,-34.91968273730731,-7.988425808943676,-12.358621676860233,-33.90197842776126,-20.56223658691657,-29.478970729722064,-31.787725972549413
