run,rank,model_id,model_name,x,mean,sd,n_folds,roc_auc_mean,roc_auc_sd,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.0,0.064436,0.097341,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.01,0.286015,0.170667,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.02,0.427476,0.195833,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.03,0.536314,0.176218,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.04,0.614683,0.171024,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.05,0.661616,0.162723,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.06,0.696092,0.15231,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.07,0.73622,0.130421,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.08,0.765564,0.114351,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.09,0.79147,0.098269,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.1,0.801117,0.094039,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.11,0.819483,0.080693,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.12,0.833924,0.072865,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.13,0.848018,0.065435,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.14,0.857966,0.063149,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.15,0.868795,0.057552,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.16,0.877861,0.054402,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.17,0.886017,0.050528,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.18,0.897425,0.047364,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.19,0.905855,0.04388,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.2,0.913704,0.043264,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.21,0.918811,0.042642,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.22,0.927225,0.040197,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.23,0.935336,0.037985,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.24,0.941643,0.037108,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.25,0.94644,0.034675,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.26,0.952466,0.034514,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.27,0.95698,0.031859,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.28,0.963572,0.028974,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.29,0.968376,0.029333,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.3,0.975011,0.024376,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.31,0.979527,0.023428,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
