run,rank,model_id,model_name,x,mean,sd,n_folds,pr_auc_mean,pr_auc_sd,prevalence,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.0,0.88,0.331662,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.01,0.866467,0.200578,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.02,0.881775,0.167731,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.03,0.863701,0.163047,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.04,0.876106,0.138203,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.05,0.871013,0.116809,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.06,0.864176,0.113822,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.07,0.864769,0.108241,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.08,0.872976,0.103615,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.09,0.86585,0.101464,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.1,0.860402,0.110811,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.11,0.857526,0.099665,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.12,0.863649,0.093389,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.13,0.861088,0.091097,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
