run,task,arm,model_id,n_folds,n_train_mean,fit_seconds_mean,fit_seconds_sd,fit_seconds_median,fit_seconds_min,fit_seconds_max,fit_seconds_total,fit_seconds_spread,predict_seconds_mean,predict_seconds_sd,predict_seconds_median,predict_seconds_min,predict_seconds_max,predict_seconds_total,predict_seconds_spread,predict_seconds_per_record_mean
EXP-A1,binary,config defaults,M1,25,2592.0,0.20654403999999998,0.06955313427006722,0.191811,0.177716,0.534553,5.163601,3.0079058722906207,0.006605440000000001,0.0007725878094646158,0.006404,0.005624,0.008162,0.165136,1.4512802275960173,1.0191400683549715e-05
EXP-A1,binary,config defaults,M3,25,2592.0,0.98941844,0.09947247370674965,0.93797,0.871679,1.230668,24.735461,1.4118362378811466,0.6637108400000001,0.07335820269101928,0.630605,0.594509,0.864747,16.592771000000003,1.4545566173094102,0.0010240591702512937
EXP-A1,binary,config defaults,M4,25,2592.0,4.8231024,0.19312181068046136,4.793562,4.502188,5.303754,120.57755999999999,1.1780392111568863,0.4261896,0.05758524224645872,0.401577,0.345024,0.544745,10.65474,1.5788611806714896,0.0006578664931211787
EXP-A1,binary,config defaults,M5,25,2592.0,32.340450880000006,3.4979407053434466,33.151117,25.760254,37.885092,808.5112720000001,1.4706800639465745,0.018081319999999998,0.006529162680619927,0.016038,0.013521,0.04595,0.45203299999999996,3.3984172768286367,2.7895007228633778e-05
EXP-A1,binary,config defaults,M6,25,2592.0,214.03504032,20.221587767321434,204.341677,192.514591,268.684532,5350.876008,1.3956580153449252,1.4050881999999998,0.2199023870720825,1.325712,1.215537,2.014966,35.127205,1.6576755787771162,0.002168081587623985
EXP-A1,binary,config defaults,M8,25,2592.0,8.07047244,1.6060731278429303,7.559965,6.970063,13.864699,201.761811,1.9891784335378317,0.024650239999999997,0.0034200043284573,0.024101,0.020288,0.033604,0.6162559999999999,1.6563485804416405,3.8043171545091346e-05
EXP-A2,binary,nested search,M1,25,2592.0,2.96848376,6.391973126918995,0.241999,0.089022,28.490326,74.212094,320.0369122239446,0.00707052,0.000967477136680759,0.007139,0.005691,0.008872,0.176763,1.5589527323844667,1.0909141057624618e-05
EXP-A2,binary,nested search,M3,25,2592.0,1.39509164,0.324857671301074,1.486269,0.822121,1.876774,34.877291,2.2828440095800984,0.8375832399999998,0.19375671610817347,0.848453,0.556345,1.34103,20.939580999999997,2.4104287807026217,0.0012927679343238748
EXP-A2,binary,nested search,M4,25,2592.0,12.99612192,8.50873438682553,15.356955,1.092234,25.3375,324.903048,23.197867856155366,0.4471888,0.2420247212982591,0.602195,0.10194,0.791936,11.17972,7.7686482244457515,0.0006899106826072132
EXP-A2,binary,nested search,M5,25,2592.0,99.18041424,89.82467373110994,59.160199,17.413512,276.517428,2479.5103560000002,15.879474973227685,0.047576679999999996,0.03664722910025622,0.030775,0.014619,0.146415,1.189417,10.015390929612147,7.34491086710653e-05
EXP-A2,binary,nested search,M6,25,2592.0,545.13670376,380.12115250448346,360.204055,164.215498,1545.163012,13628.417594,9.409361666948147,1.9740357599999998,0.7249398839056863,1.936824,0.829046,3.588064,49.350894,4.32794320218661,0.003046767725519919
EXP-A2,binary,nested search,M7,25,2592.0,534.5805253999999,401.522879194318,341.061456,145.155364,1517.773905,13364.513135,10.456202672606713,1.9326867200000002,0.8093078767671649,1.780131,0.92903,4.763322,48.317168,5.127199336942832,0.0029834938392241626
EXP-A2,binary,nested search,M8,25,2592.0,12.936738200000002,12.995047947920858,6.745825,1.109604,46.892374,323.41845500000005,42.260458686161904,0.032064800000000004,0.01658264563984489,0.025963,0.015732,0.08264,0.8016200000000001,5.2529875413170615,4.949320173867369e-05
EXP-A2-so04_subset,binary,nested search (on the SO-04 20-feature subset rather than all 138),M6,25,2592.0,85.9866328,59.77983398494534,59.818621,23.281225,251.682357,2149.6658199999997,10.810528956272705,1.0936995200000001,1.2747787750054294,0.904242,0.445799,7.079396,27.342488000000003,15.880241992467457,0.001690260119640593
