evidence_id,objective,experiment_id,dataset,model,metric_or_asset,filename,source_data,command,timestamp,status
T01,O1 (corpus definition),,,,Dataset Inventory,outputs/01_dataset_audit/T01_dataset_inventory.csv,outputs/01_dataset_audit/dataset_inventory.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:47:59.290988+00:00,ok
T02,O1 (corpus definition),,,,Class Distribution and Imbalance Ratio,outputs/01_dataset_audit/T02_class_distribution_and_imbalance_ratio.csv,outputs/01_dataset_audit/class_distribution.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:48:00.613926+00:00,ok
T03,O1 (corpus definition),,,,Recording Duration and Sampling Summary,outputs/01_dataset_audit/T03_recording_duration_and_sampling_summary.csv,outputs/01_dataset_audit/recording_duration_summary.csv; outputs/01_dataset_audit/sampling_rate_summary.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:48:01.979486+00:00,ok
T04,O3 (preprocessing pipeline),,,,Preprocessing Configuration,outputs/02_preprocessing/T04_preprocessing_configuration.csv,outputs/02_preprocessing/preprocessing_settings.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:48:03.098584+00:00,ok
T05,O4 (feature engineering),,,,Feature Inventory and Counts,outputs/03_features/T05_feature_inventory_and_counts.csv,outputs/03_features/feature_inventory.csv; outputs/03_features/feature_family_summary.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:48:04.059902+00:00,ok
T06,O5 (model configuration),,,,Model Hyperparameter Configuration,outputs/04_models/T06_model_hyperparameter_configuration.csv,outputs/04_models/model_registry.csv; outputs/04_models/model_search_spaces.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:48:05.360215+00:00,ok
T07,O5 (search optimisation),,,,Search Space and Best Parameters,outputs/05_search_optimization/T07_search_space_and_best_parameters.csv,outputs/05_search_optimization/search_space_and_best_parameters.csv,python scripts/18_setup_tables.py --tables T01 T02 T03 T04 T05 T06 T07,2026-08-30T10:48:06.996145+00:00,ok
G01,O1 (corpus definition),,,,Dataset Recording Counts,outputs/13_figures_diagrams/G01_dataset_recording_counts.png,outputs/13_figures_diagrams/G01_dataset_recording_counts.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:48:42.372233+00:00,ok
G02,O1 (corpus definition),,,,Class Distribution,outputs/13_figures_diagrams/G02_class_distribution.png,outputs/13_figures_diagrams/G02_class_distribution.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:48:47.021026+00:00,ok
G03,O1 (corpus definition),,,,Class Distribution Shares,outputs/13_figures_diagrams/G03_class_distribution_shares.png,outputs/13_figures_diagrams/G03_class_distribution_shares.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:48:49.860132+00:00,ok
G04,O1 (corpus definition),,,,Recording Duration Histogram,outputs/13_figures_diagrams/G04_recording_duration_histogram.png,outputs/13_figures_diagrams/G04_recording_duration_histogram.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:48:54.156832+00:00,ok
G05,O3 (preprocessing pipeline),,D1,,Before And After Filtering,outputs/13_figures_diagrams/G05_before_and_after_filtering.png,outputs/13_figures_diagrams/G05_before_and_after_filtering.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:48:57.234249+00:00,ok
G06,O3 (preprocessing pipeline),,D1,,Normal Versus Abnormal Spectrogram,outputs/13_figures_diagrams/G06_normal_versus_abnormal_spectrogram.png,outputs/13_figures_diagrams/G06_normal_versus_abnormal_spectrogram.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:48:59.885736+00:00,ok
G07,O4 (feature engineering),,D1,,MFCC Heatmap,outputs/13_figures_diagrams/G07_mfcc_heatmap.png,outputs/13_figures_diagrams/G07_mfcc_heatmap.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:49:03.107896+00:00,ok
G08,O4 (feature engineering),,D1,,Chroma Heatmap,outputs/13_figures_diagrams/G08_chroma_heatmap.png,outputs/13_figures_diagrams/G08_chroma_heatmap.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:49:04.751595+00:00,ok
G09,O4 (feature engineering),,D1,,Wavelet Decomposition,outputs/13_figures_diagrams/G09_wavelet_decomposition.png,outputs/13_figures_diagrams/G09_wavelet_decomposition.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:49:09.173960+00:00,ok
G10,O4 (feature engineering),,,,Feature Family Counts,outputs/13_figures_diagrams/G10_feature_family_counts.png,outputs/13_figures_diagrams/G10_feature_family_counts.csv,python scripts/19_data_graphs.py --figures G01 G02 G03 G04 G05 G06 G07 G08 G09 G10,2026-08-30T10:49:10.617170+00:00,ok
