manifest,entry,file_type,status,detail
RECORDS,training_data/2530_AV,.wav,ok,
RECORDS,training_data/2530_MV,.wav,ok,
RECORDS,training_data/2530_PV,.wav,ok,
RECORDS,training_data/2530_TV,.wav,ok,
RECORDS,training_data/9979_AV,.wav,ok,
RECORDS,training_data/9979_MV,.wav,ok,
RECORDS,training_data/9979_PV,.wav,ok,
RECORDS,training_data/9979_TV,.wav,ok,
RECORDS,training_data/9983_AV,.wav,ok,
RECORDS,training_data/9983_MV,.wav,ok,
RECORDS,training_data/9983_PV,.wav,ok,
RECORDS,training_data/9983_TV,.wav,ok,
RECORDS,training_data/13918_AV,.wav,ok,
RECORDS,training_data/13918_MV,.wav,ok,
RECORDS,training_data/13918_PV,.wav,ok,
RECORDS,training_data/13918_TV,.wav,ok,
RECORDS,training_data/14241_AV,.wav,ok,
RECORDS,training_data/14241_MV,.wav,ok,
RECORDS,training_data/14241_PV,.wav,ok,
RECORDS,training_data/14241_TV,.wav,ok,
RECORDS,training_data/14998_AV,.wav,ok,
RECORDS,training_data/14998_MV,.wav,ok,
RECORDS,training_data/14998_PV,.wav,ok,
RECORDS,training_data/14998_TV,.wav,ok,
RECORDS,training_data/23625_AV,.wav,ok,
RECORDS,training_data/23625_MV,.wav,ok,
RECORDS,training_data/23625_PV,.wav,ok,
RECORDS,training_data/23625_TV,.wav,ok,
RECORDS,training_data/24160_AV,.wav,ok,
RECORDS,training_data/24160_MV,.wav,ok,
RECORDS,training_data/24160_PV,.wav,ok,
RECORDS,training_data/24160_TV,.wav,ok,
RECORDS,training_data/29045_AV,.wav,ok,
RECORDS,training_data/29045_MV,.wav,ok,
RECORDS,training_data/29045_PV,.wav,ok,
RECORDS,training_data/29045_TV,.wav,ok,
RECORDS,training_data/29378_AV,.wav,ok,
RECORDS,training_data/29378_MV,.wav,ok,
RECORDS,training_data/31737_AV,.wav,ok,
RECORDS,training_data/31737_MV,.wav,ok,
RECORDS,training_data/31737_PV,.wav,ok,
RECORDS,training_data/31737_TV,.wav,ok,
RECORDS,training_data/33151_AV,.wav,ok,
RECORDS,training_data/33151_MV,.wav,ok,
RECORDS,training_data/33151_PV,.wav,ok,
RECORDS,training_data/33151_TV,.wav,ok,
RECORDS,training_data/36327_AV,.wav,ok,
RECORDS,training_data/36327_MV,.wav,ok,
RECORDS,training_data/36327_PV,.wav,ok,
RECORDS,training_data/36327_TV,.wav,ok,
RECORDS,training_data/38337_AV,.wav,ok,
RECORDS,training_data/38337_MV,.wav,ok,
RECORDS,training_data/39043_AV,.wav,ok,
RECORDS,training_data/39043_MV,.wav,ok,
RECORDS,training_data/39043_PV,.wav,ok,
RECORDS,training_data/39043_TV,.wav,ok,
RECORDS,training_data/39403_AV,.wav,ok,
RECORDS,training_data/39403_MV,.wav,ok,
RECORDS,training_data/39403_PV,.wav,ok,
RECORDS,training_data/39403_TV,.wav,ok,
RECORDS,training_data/39456_MV,.wav,ok,
RECORDS,training_data/39456_PV,.wav,ok,
RECORDS,training_data/39456_TV,.wav,ok,
RECORDS,training_data/40058_AV,.wav,ok,
RECORDS,training_data/40058_MV,.wav,ok,
RECORDS,training_data/40058_PV,.wav,ok,
RECORDS,training_data/40058_TV,.wav,ok,
RECORDS,training_data/40798_AV,.wav,ok,
RECORDS,training_data/40798_MV,.wav,ok,
RECORDS,training_data/40798_PV,.wav,ok,
RECORDS,training_data/40798_TV,.wav,ok,
RECORDS,training_data/40840_AV,.wav,ok,
RECORDS,training_data/40840_MV,.wav,ok,
RECORDS,training_data/40840_PV,.wav,ok,
RECORDS,training_data/40840_TV,.wav,ok,
RECORDS,training_data/43852_AV,.wav,ok,
RECORDS,training_data/43852_MV,.wav,ok,
RECORDS,training_data/43852_PV,.wav,ok,
RECORDS,training_data/43852_TV,.wav,ok,
RECORDS,training_data/44514_AV,.wav,ok,
RECORDS,training_data/44514_MV,.wav,ok,
RECORDS,training_data/44514_PV,.wav,ok,
RECORDS,training_data/44514_TV,.wav,ok,
RECORDS,training_data/45843_AV,.wav,ok,
RECORDS,training_data/45843_MV,.wav,ok,
RECORDS,training_data/45843_PV,.wav,ok,
RECORDS,training_data/45843_TV,.wav,ok,
RECORDS,training_data/46065_AV,.wav,ok,
RECORDS,training_data/46065_MV,.wav,ok,
RECORDS,training_data/46065_PV,.wav,ok,
RECORDS,training_data/46065_TV,.wav,ok,
RECORDS,training_data/46532_AV,.wav,ok,
RECORDS,training_data/46579_AV,.wav,ok,
RECORDS,training_data/46579_MV,.wav,ok,
RECORDS,training_data/46579_PV,.wav,ok,
RECORDS,training_data/46579_TV,.wav,ok,
RECORDS,training_data/46778_MV,.wav,ok,
RECORDS,training_data/47002_AV,.wav,ok,
RECORDS,training_data/47002_MV,.wav,ok,
RECORDS,training_data/49558_AV,.wav,ok,
RECORDS,training_data/49558_MV,.wav,ok,
RECORDS,training_data/49561_AV,.wav,ok,
