scope,dataset_source,dataset_name,task,class,n_records,share,imbalance_ratio,n_subjects
supervised,D1,PhysioNet 2016,binary,abnormal,665,0.205247,3.8722,348
supervised,D1,PhysioNet 2016,binary,normal,2575,0.794753,1.0,520
supervised,D2,PASCAL set_a,pascal_a,artifact,40,0.322581,1.0,40
supervised,D2,PASCAL set_a,pascal_a,extrahls,19,0.153226,2.1053,19
supervised,D2,PASCAL set_a,pascal_a,murmur,34,0.274194,1.1765,34
supervised,D2,PASCAL set_a,pascal_a,normal,31,0.25,1.2903,31
supervised,D3,PASCAL set_b,pascal_b,extrastole,46,0.099783,6.9565,39
supervised,D3,PASCAL set_b,pascal_b,murmur,95,0.206074,3.3684,37
supervised,D3,PASCAL set_b,pascal_b,normal,320,0.694143,1.0,124
supervised,D4,CirCor 2022,circor_murmur,Absent,2391,0.755928,1.0,695
supervised,D4,CirCor 2022,circor_murmur,Present,616,0.194752,3.8815,179
supervised,D4,CirCor 2022,circor_murmur,Unknown,156,0.04932,15.3269,68
supervised,D4,CirCor 2022,circor_outcome,Abnormal,1531,0.484034,1.066,456
supervised,D4,CirCor 2022,circor_outcome,Normal,1632,0.515966,1.0,486
all_records,D1,PhysioNet 2016,binary,abnormal,816,0.230443,3.3395,348
all_records,D1,PhysioNet 2016,binary,normal,2725,0.769557,1.0,520
all_records,D2,PASCAL set_a,pascal_a,artifact,40,0.322581,1.0,40
all_records,D2,PASCAL set_a,pascal_a,extrahls,19,0.153226,2.1053,19
all_records,D2,PASCAL set_a,pascal_a,murmur,34,0.274194,1.1765,34
all_records,D2,PASCAL set_a,pascal_a,normal,31,0.25,1.2903,31
all_records,D3,PASCAL set_b,pascal_b,extrastole,46,0.099783,6.9565,39
all_records,D3,PASCAL set_b,pascal_b,murmur,95,0.206074,3.3684,37
all_records,D3,PASCAL set_b,pascal_b,normal,320,0.694143,1.0,124
all_records,D4,CirCor 2022,circor_murmur,Absent,2391,0.755928,1.0,695
all_records,D4,CirCor 2022,circor_murmur,Present,616,0.194752,3.8815,179
all_records,D4,CirCor 2022,circor_murmur,Unknown,156,0.04932,15.3269,68
all_records,D4,CirCor 2022,circor_outcome,Abnormal,1531,0.484034,1.066,456
all_records,D4,CirCor 2022,circor_outcome,Normal,1632,0.515966,1.0,486
