group_id,method,record_uid,dataset_source,file_path,duplicate_of,similarity,decision,reason
exact_0001,raw_sha256,D1_training-a_a0001,D1,dataset/archive (3)/training-a/a0001.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0001,raw_sha256,D1_validation_a0001,D1,dataset/archive (3)/validation/a0001.wav,D1_training-a_a0001,1.0,drop,byte-identical to D1_training-a_a0001
exact_0002,raw_sha256,D1_training-a_a0002,D1,dataset/archive (3)/training-a/a0002.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0002,raw_sha256,D1_validation_a0002,D1,dataset/archive (3)/validation/a0002.wav,D1_training-a_a0002,1.0,drop,byte-identical to D1_training-a_a0002
exact_0003,raw_sha256,D1_training-a_a0003,D1,dataset/archive (3)/training-a/a0003.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0003,raw_sha256,D1_validation_a0003,D1,dataset/archive (3)/validation/a0003.wav,D1_training-a_a0003,1.0,drop,byte-identical to D1_training-a_a0003
exact_0004,raw_sha256,D1_training-a_a0004,D1,dataset/archive (3)/training-a/a0004.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0004,raw_sha256,D1_validation_a0004,D1,dataset/archive (3)/validation/a0004.wav,D1_training-a_a0004,1.0,drop,byte-identical to D1_training-a_a0004
exact_0005,raw_sha256,D1_training-a_a0005,D1,dataset/archive (3)/training-a/a0005.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0005,raw_sha256,D1_validation_a0005,D1,dataset/archive (3)/validation/a0005.wav,D1_training-a_a0005,1.0,drop,byte-identical to D1_training-a_a0005
exact_0006,raw_sha256,D1_training-a_a0006,D1,dataset/archive (3)/training-a/a0006.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0006,raw_sha256,D1_validation_a0006,D1,dataset/archive (3)/validation/a0006.wav,D1_training-a_a0006,1.0,drop,byte-identical to D1_training-a_a0006
exact_0007,raw_sha256,D1_training-a_a0007,D1,dataset/archive (3)/training-a/a0007.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0007,raw_sha256,D1_validation_a0007,D1,dataset/archive (3)/validation/a0007.wav,D1_training-a_a0007,1.0,drop,byte-identical to D1_training-a_a0007
exact_0008,raw_sha256,D1_training-a_a0008,D1,dataset/archive (3)/training-a/a0008.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
exact_0008,raw_sha256,D1_validation_a0008,D1,dataset/archive (3)/validation/a0008.wav,D1_training-a_a0008,1.0,drop,byte-identical to D1_training-a_a0008
exact_0009,raw_sha256,D1_training-a_a0009,D1,dataset/archive (3)/training-a/a0009.wav,,1.0,keep,byte-identical group; kept by the T17.6 priority rule
