record_uid,dataset_source,subset,subject_id,subject_derived,record_id,file_path,original_fs,duration_sec,n_samples,recording_location,binary_label,multiclass_label,murmur_label,outcome_label,diagnosis_class,quality_flags,is_duplicate,is_unlabeled,split_group,dataset_name,multiclass_task,binary_label_name,multiclass_label_name,murmur_label_name,outcome_label_name,use_in_supervised,duplicate_of,n_channels,content_sha256
D1_training-a_a0001,D1,training-a,a_C45,True,a0001,dataset/archive (3)/training-a/a0001.wav,2000,35.666,71332,,1,,,,MVP,,False,False,a_C45,PhysioNet 2016,,abnormal,,,,True,,1,a420bc75da5d75224096cdf7bf11391097ad05ee4c6b8059f6c24dbae2542f04
D1_training-a_a0002,D1,training-a,a_C19,True,a0002,dataset/archive (3)/training-a/a0002.wav,2000,20.8285,41657,,1,,,,MVP,,False,False,a_C19,PhysioNet 2016,,abnormal,,,,True,,1,9a6acbc46f3a9eb2f19b93761e773d7dfab77862871c0e4a8be52ab12832c8da
D1_training-a_a0003,D1,training-a,a_C23,True,a0003,dataset/archive (3)/training-a/a0003.wav,2000,30.72,61440,,1,,,,MVP,,False,False,a_C23,PhysioNet 2016,,abnormal,,,,True,,1,c0dcf39ed6cfb9452f69e16d7f2115bb5f31377580e5e1ddda0a0e72400cfeef
D1_training-a_a0004,D1,training-a,a_C35,True,a0004,dataset/archive (3)/training-a/a0004.wav,2000,35.5965,71193,,1,,,,Benign,,False,False,a_C35,PhysioNet 2016,,abnormal,,,,True,,1,1245478822c90cceabbd3a3e9fc7a466c7d35b21fb90d223b10a995e35acdecc
D1_training-a_a0005,D1,training-a,a_C63,True,a0005,dataset/archive (3)/training-a/a0005.wav,2000,35.666,71332,,1,,,,Benign,,False,False,a_C63,PhysioNet 2016,,abnormal,,,,True,,1,7a86f1005831f996580803933b5da0032da6320012887914c0d8fd0e6b371ab8
D1_training-a_a0006,D1,training-a,a_C12,True,a0006,dataset/archive (3)/training-a/a0006.wav,2000,20.759,41518,,1,,,,AD,,False,False,a_C12,PhysioNet 2016,,abnormal,,,,True,,1,3b7825d3ca4fbeb03cee13e7a33a96af08908e66d583829a06360003ecb347a4
D1_training-a_a0007,D1,training-a,a_C37,True,a0007,dataset/archive (3)/training-a/a0007.wav,2000,35.666,71332,,0,,,,Normal,,False,False,a_C37,PhysioNet 2016,,normal,,,,True,,1,fa89c7d37cedbf6e7467c11edc245ff346b7e1a5fee1ebf8fb896834bd144d1f
D1_training-a_a0008,D1,training-a,a_C73,True,a0008,dataset/archive (3)/training-a/a0008.wav,2000,35.8055,71611,,1,,,,MVP,,False,False,a_C73,PhysioNet 2016,,abnormal,,,,True,,1,bbe62a0213cb4738b0689437b2fbce45fe89419b24758a532d1de55b14b8d8b0
D1_training-a_a0009,D1,training-a,a_C63,True,a0009,dataset/archive (3)/training-a/a0009.wav,2000,35.8055,71611,,0,,,,Normal,,False,False,a_C63,PhysioNet 2016,,normal,,,,True,,1,be3f5a32a29af4d74c77131dc533ccf9a545ff77f303ee4e99ec096caa34c0de
D1_training-a_a0010,D1,training-a,a_C31,True,a0010,dataset/archive (3)/training-a/a0010.wav,2000,35.736,71472,,1,,,,Benign,,False,False,a_C31,PhysioNet 2016,,abnormal,,,,True,,1,47dc14152e9ef445e65ff22777573d7ded3a01d3062aa053dd2a605e14e1d522
