scope,dataset_source,dataset_name,task,class,n,min,p25,median,p75,max,mean,sd
supervised,D1,PhysioNet 2016,,ALL,3240,5.3055,12.8992,20.8285,30.581,121.9985,22.4618,12.3864
supervised,D1,PhysioNet 2016,,band:short,0,,,,,,,
supervised,D1,PhysioNet 2016,,band:medium,1496,5.3055,8.0,12.0538,16.765,20.0,12.6219,4.3201
supervised,D1,PhysioNet 2016,,band:long,1744,20.001,23.3384,29.606,35.666,121.9985,30.9023,10.7103
supervised,D1,PhysioNet 2016,binary,abnormal,665,5.3055,14.6055,23.7775,35.666,121.9985,25.5691,13.6673
supervised,D1,PhysioNet 2016,binary,normal,2575,6.6075,12.6895,20.027,27.834,101.673,21.6593,11.9052
supervised,D2,PASCAL set_a,,ALL,124,0.9364,7.9356,8.8841,9.0,9.0,8.0141,1.6416
supervised,D2,PASCAL set_a,,band:short,8,0.9364,1.468,2.5914,3.8043,4.9638,2.7444,1.6214
supervised,D2,PASCAL set_a,,band:medium,116,5.7493,7.9356,9.0,9.0,9.0,8.3776,0.8106
supervised,D2,PASCAL set_a,,band:long,0,,,,,,,
supervised,D2,PASCAL set_a,pascal_a,artifact,40,9.0,9.0,9.0,9.0,9.0,9.0,0.0
supervised,D2,PASCAL set_a,pascal_a,extrahls,19,0.9364,6.0614,8.0139,9.0,9.0,6.8722,2.8064
supervised,D2,PASCAL set_a,pascal_a,murmur,34,0.9364,7.9356,7.9356,7.9356,9.0,7.684,1.4226
supervised,D2,PASCAL set_a,pascal_a,normal,31,3.4634,7.5877,7.9471,9.0,9.0,7.804,1.3439
supervised,D3,PASCAL set_b,,ALL,461,0.7632,2.9743,5.0895,9.3148,27.867,6.479,4.4754
supervised,D3,PASCAL set_b,,band:short,227,0.7632,2.0449,2.947,3.8901,4.9497,2.9677,1.093
supervised,D3,PASCAL set_b,,band:medium,229,5.0235,6.8755,9.162,11.8347,18.409,9.5783,3.2423
supervised,D3,PASCAL set_b,,band:long,5,21.97,22.2015,23.532,24.16,27.867,23.9461,2.3738
supervised,D3,PASCAL set_b,pascal_b,extrastole,46,1.8745,3.6049,5.1538,7.7171,13.3808,5.858,3.1263
supervised,D3,PASCAL set_b,pascal_b,murmur,95,0.8568,3.8894,7.121,11.2012,24.16,7.8063,4.6937
supervised,D3,PASCAL set_b,pascal_b,normal,320,0.7632,2.6518,4.684,9.102,27.867,6.1742,4.5098
supervised,D4,CirCor 2022,,ALL,3163,5.152,19.056,21.456,29.392,64.512,22.8703,7.2829
supervised,D4,CirCor 2022,,band:short,0,,,,,,,
supervised,D4,CirCor 2022,,band:medium,1109,5.152,12.448,16.064,19.28,20.0,15.5062,3.8147
supervised,D4,CirCor 2022,,band:long,2054,20.048,21.664,27.952,30.384,64.512,26.8463,5.3599
supervised,D4,CirCor 2022,circor_murmur,Absent,2391,5.152,19.128,21.664,29.552,58.752,23.0504,7.1245
supervised,D4,CirCor 2022,circor_murmur,Present,616,6.384,18.22,21.016,28.608,64.512,22.2893,7.9123
supervised,D4,CirCor 2022,circor_murmur,Unknown,156,7.552,19.172,21.072,27.208,43.888,22.4049,6.9939
supervised,D4,CirCor 2022,circor_outcome,Abnormal,1531,5.152,18.192,21.552,29.552,64.512,22.8931,7.6883
supervised,D4,CirCor 2022,circor_outcome,Normal,1632,6.768,19.344,21.344,29.248,58.752,22.8489,6.8833
all_records,D1,PhysioNet 2016,,ALL,3541,5.3055,12.283,20.818,30.6505,121.9985,22.3452,12.5643
all_records,D1,PhysioNet 2016,,band:short,0,,,,,,,
all_records,D1,PhysioNet 2016,,band:medium,1644,5.3055,8.0,11.4925,16.4435,20.0,12.3562,4.3116
all_records,D1,PhysioNet 2016,,band:long,1897,20.001,23.361,30.0,35.666,121.9985,31.0019,10.8229
all_records,D1,PhysioNet 2016,binary,abnormal,816,5.3055,11.703,22.988,35.666,121.9985,24.7753,14.2776
all_records,D1,PhysioNet 2016,binary,normal,2725,6.6075,12.366,20.062,28.177,101.673,21.6175,11.9106
all_records,D2,PASCAL set_a,,ALL,176,0.9364,7.9356,8.7498,9.0,9.0,8.0482,1.5583
all_records,D2,PASCAL set_a,,band:short,10,0.9364,1.6726,2.5914,3.7685,4.9638,2.758,1.5146
all_records,D2,PASCAL set_a,,band:medium,166,5.7115,7.9356,8.942,9.0,9.0,8.3669,0.8074
all_records,D2,PASCAL set_a,,band:long,0,,,,,,,
all_records,D2,PASCAL set_a,pascal_a,artifact,40,9.0,9.0,9.0,9.0,9.0,9.0,0.0
all_records,D2,PASCAL set_a,pascal_a,extrahls,19,0.9364,6.0614,8.0139,9.0,9.0,6.8722,2.8064
all_records,D2,PASCAL set_a,pascal_a,murmur,34,0.9364,7.9356,7.9356,7.9356,9.0,7.684,1.4226
all_records,D2,PASCAL set_a,pascal_a,normal,31,3.4634,7.5877,7.9471,9.0,9.0,7.804,1.3439
all_records,D3,PASCAL set_b,,ALL,656,0.7632,2.9463,4.9482,9.6313,27.867,6.5499,4.645
all_records,D3,PASCAL set_b,,band:short,329,0.7632,2.0793,2.947,3.932,4.9497,2.9973,1.0824
all_records,D3,PASCAL set_b,,band:medium,315,5.006,6.9407,9.2365,11.8145,19.1335,9.6438,3.2858
all_records,D3,PASCAL set_b,,band:long,12,20.3573,21.6593,22.0857,23.689,27.867,22.7338,2.066
all_records,D3,PASCAL set_b,pascal_b,extrastole,46,1.8745,3.6049,5.1538,7.7171,13.3808,5.858,3.1263
all_records,D3,PASCAL set_b,pascal_b,murmur,95,0.8568,3.8894,7.121,11.2012,24.16,7.8063,4.6937
all_records,D3,PASCAL set_b,pascal_b,normal,320,0.7632,2.6518,4.684,9.102,27.867,6.1742,4.5098
all_records,D4,CirCor 2022,,ALL,3163,5.152,19.056,21.456,29.392,64.512,22.8703,7.2829
all_records,D4,CirCor 2022,,band:short,0,,,,,,,
all_records,D4,CirCor 2022,,band:medium,1109,5.152,12.448,16.064,19.28,20.0,15.5062,3.8147
