task,scheme,repeat,fold,n_records,n_groups,n_classes,min_class_count
binary,repeated_5x5_grouped,0,0,647,165,2,132
binary,repeated_5x5_grouped,0,1,651,176,2,134
binary,repeated_5x5_grouped,0,2,644,176,2,131
binary,repeated_5x5_grouped,0,3,655,175,2,137
binary,repeated_5x5_grouped,0,4,643,165,2,131
binary,repeated_5x5_grouped,1,0,647,169,2,132
binary,repeated_5x5_grouped,1,1,655,172,2,136
binary,repeated_5x5_grouped,1,2,644,175,2,131
binary,repeated_5x5_grouped,1,3,651,173,2,135
binary,repeated_5x5_grouped,1,4,643,168,2,131
binary,repeated_5x5_grouped,2,0,644,172,2,131
binary,repeated_5x5_grouped,2,1,651,173,2,134
binary,repeated_5x5_grouped,2,2,655,172,2,137
binary,repeated_5x5_grouped,2,3,643,165,2,131
binary,repeated_5x5_grouped,2,4,647,175,2,132
binary,repeated_5x5_grouped,3,0,644,171,2,131
binary,repeated_5x5_grouped,3,1,647,166,2,132
binary,repeated_5x5_grouped,3,2,655,174,2,136
binary,repeated_5x5_grouped,3,3,651,173,2,135
binary,repeated_5x5_grouped,3,4,643,173,2,131
binary,repeated_5x5_grouped,4,0,655,173,2,136
binary,repeated_5x5_grouped,4,1,644,174,2,131
binary,repeated_5x5_grouped,4,2,647,165,2,132
binary,repeated_5x5_grouped,4,3,651,171,2,135
binary,repeated_5x5_grouped,4,4,643,174,2,131
circor_murmur,patient_grouped_5fold,0,0,633,188,3,31
circor_murmur,patient_grouped_5fold,0,1,633,189,3,32
circor_murmur,patient_grouped_5fold,0,2,633,189,3,31
circor_murmur,patient_grouped_5fold,0,3,632,188,3,31
circor_murmur,patient_grouped_5fold,0,4,632,188,3,31
circor_outcome,patient_grouped_5fold,0,0,633,188,2,307
circor_outcome,patient_grouped_5fold,0,1,633,189,2,306
circor_outcome,patient_grouped_5fold,0,2,633,189,2,306
circor_outcome,patient_grouped_5fold,0,3,632,188,2,306
circor_outcome,patient_grouped_5fold,0,4,632,188,2,306
pascal_a,repeated_5x2_stratified,0,0,62,61,4,10
pascal_a,repeated_5x2_stratified,0,1,62,62,4,9
pascal_a,repeated_5x2_stratified,1,0,62,61,4,9
pascal_a,repeated_5x2_stratified,1,1,62,62,4,10
pascal_a,repeated_5x2_stratified,2,0,62,61,4,10
pascal_a,repeated_5x2_stratified,2,1,62,62,4,9
pascal_a,repeated_5x2_stratified,3,0,62,61,4,10
pascal_a,repeated_5x2_stratified,3,1,62,62,4,9
pascal_a,repeated_5x2_stratified,4,0,62,61,4,10
pascal_a,repeated_5x2_stratified,4,1,62,62,4,9
pascal_b,grouped_5fold,0,0,92,33,3,9
pascal_b,grouped_5fold,0,1,92,35,3,9
pascal_b,grouped_5fold,0,2,93,32,3,10
pascal_b,grouped_5fold,0,3,92,32,3,9
pascal_b,grouped_5fold,0,4,92,33,3,9
