arm_id,repeat,fold,n_train,n_test,sensitivity,specificity,f1,balanced_accuracy,roc_auc,accuracy
PP-A,0,0,2593,647,0.803030303030303,0.7805825242718447,0.603988603988604,0.7918064136510738,0.8776993233303914,0.7851622874806801
PP-A,0,1,2589,651,0.835820895522388,0.8568665377176016,0.7,0.8463437166199947,0.9324316521839545,0.8525345622119815
PP-A,0,2,2596,644,0.816793893129771,0.9005847953216374,0.740484429065744,0.8586893442257042,0.9408657351606327,0.8835403726708074
PP-A,0,3,2585,655,0.8102189781021898,0.8552123552123552,0.6873065015479877,0.8327156666572725,0.9230194741143647,0.8458015267175573
PP-A,0,4,2597,643,0.8702290076335878,0.80078125,0.6570605187319885,0.8355051288167938,0.9204735209923665,0.8149300155520995
PP-A,1,0,2593,647,0.7878787878787878,0.7728155339805826,0.5892351274787535,0.7803471609296853,0.8839952927331568,0.7758887171561051
PP-A,1,1,2585,655,0.8823529411764706,0.8342967244701349,0.7017543859649122,0.8583248328233027,0.9241471154935963,0.8442748091603054
PP-A,1,2,2596,644,0.8549618320610687,0.8830409356725146,0.7392739273927392,0.8690013838667916,0.9368182968022261,0.8773291925465838
PP-A,1,3,2589,651,0.8222222222222222,0.8391472868217055,0.6747720364741642,0.8306847545219638,0.9263996554694229,0.8356374807987711
PP-A,1,4,2597,643,0.916030534351145,0.837890625,0.718562874251497,0.8769605796755725,0.9437768368320612,0.8538102643856921
PP-A,2,0,2596,644,0.8473282442748091,0.7875243664717348,0.6324786324786325,0.817426305373272,0.8986205972947636,0.7996894409937888
PP-A,2,1,2589,651,0.835820895522388,0.839458413926499,0.6808510638297872,0.8376396547244436,0.9281590115188083,0.8387096774193549
PP-A,2,2,2585,655,0.8394160583941606,0.859073359073359,0.7076923076923077,0.8492447087337598,0.9268663867204013,0.8549618320610687
PP-A,2,3,2597,643,0.916030534351145,0.8515625,0.7339449541284404,0.8837965171755725,0.9327439169847328,0.864696734059098
PP-A,2,4,2593,647,0.8333333333333334,0.8660194174757282,0.707395498392283,0.8496763754045308,0.9261694616063548,0.8593508500772797
PP-A,3,0,2596,644,0.8244274809160306,0.7816764132553606,0.6153846153846154,0.8030519470856956,0.890748924899186,0.7903726708074534
PP-A,3,1,2593,647,0.8409090909090909,0.8699029126213592,0.7161290322580646,0.8554060017652251,0.9372903795233892,0.8639876352395672
PP-A,3,2,2585,655,0.9117647058823529,0.8169556840077071,0.6985915492957746,0.86436019494503,0.9347444179984132,0.8366412213740458
PP-A,3,3,2589,651,0.8888888888888888,0.8430232558139535,0.7142857142857143,0.8659560723514212,0.9297014068331898,0.8525345622119815
PP-A,3,4,2597,643,0.8244274809160306,0.876953125,0.7152317880794702,0.8506903029580153,0.9268099952290075,0.8662519440124417
PP-A,4,0,2585,655,0.9044117647058824,0.7707129094412332,0.6507936507936508,0.8375623370735578,0.9029808455173977,0.7984732824427481
PP-A,4,1,2596,644,0.8702290076335878,0.8713450292397661,0.7331189710610932,0.8707870184366769,0.9472493787479725,0.8711180124223602
PP-A,4,2,2593,647,0.8106060606060606,0.8427184466019417,0.66875,0.8266622536040011,0.9355545748749633,0.8361669242658424
PP-A,4,3,2589,651,0.8740740740740741,0.8527131782945736,0.7173252279635258,0.8633936261843238,0.9329457364341086,0.8571428571428571
PP-A,4,4,2597,643,0.7786259541984732,0.85546875,0.6644951140065146,0.8170473520992366,0.8941734255725191,0.8398133748055988
PP-B,0,0,2593,647,0.803030303030303,0.7941747572815534,0.6162790697674418,0.7986025301559282,0.8732568402471316,0.7959814528593508
PP-B,0,1,2589,651,0.8805970149253731,0.8413926499032882,0.7065868263473054,0.8609948324143306,0.9230058604463178,0.8494623655913979
PP-B,0,2,2596,644,0.8091603053435115,0.9064327485380117,0.743859649122807,0.8577965269407616,0.9466839278008422,0.8866459627329193
PP-B,0,3,2585,655,0.8321167883211679,0.8571428571428571,0.7015384615384616,0.8446298227320125,0.9274018544091537,0.8519083969465648
PP-B,0,4,2597,643,0.9007633587786259,0.794921875,0.6666666666666666,0.847842616889313,0.9319089933206106,0.8164852255054432
PP-B,1,0,2593,647,0.803030303030303,0.7902912621359224,0.6127167630057804,0.7966607825831127,0.8997205060311857,0.7928902627511591
