record_uid,dataset_source,subset,file_path,original_fs,fs,n_samples,duration_sec,rms,peak,crest_factor_db,dynamic_range_db,clipping_ratio,silence_ratio,snr_proxy_db,drift_ratio_db,spectral_flatness,zcr_mean,zcr_std,zcr_anomaly,is_short,is_clipped,is_silent,is_noisy,is_low_quality,quality_reasons
D1_training-a_a0001,D1,training-a,dataset/archive (3)/training-a/a0001.wav,2000,2000,71332,35.666,0.021966,0.209961,19.607719,12.402353,0.0,0.0,26.516948,-6.264622,0.007277,0.054758,0.020712,0.021832,False,False,False,False,False,
D1_training-a_a0002,D1,training-a,dataset/archive (3)/training-a/a0002.wav,2000,2000,41657,20.8285,0.013246,0.113983,18.694868,10.160809,0.0,0.0,24.019443,-6.350117,0.015876,0.076402,0.032253,0.482182,False,False,False,False,False,
D1_training-a_a0003,D1,training-a,dataset/archive (3)/training-a/a0003.wav,2000,2000,61440,30.72,0.022103,0.363403,24.318723,15.605525,0.0,0.0,17.9989,-1.923458,0.011378,0.038628,0.012209,0.397448,False,False,False,False,False,
D1_training-a_a0004,D1,training-a,dataset/archive (3)/training-a/a0004.wav,2000,2000,71193,35.5965,0.028372,0.240509,18.564843,15.02905,0.0,0.0,32.418254,-8.191202,0.003608,0.038562,0.012208,0.398978,False,False,False,False,False,
D1_training-a_a0005,D1,training-a,dataset/archive (3)/training-a/a0005.wav,2000,2000,71332,35.666,0.075591,0.718384,19.557766,18.61463,0.0,0.0,39.591728,-14.071476,0.001462,0.03486,0.008564,0.485178,False,False,False,False,False,
D1_training-a_a0006,D1,training-a,dataset/archive (3)/training-a/a0006.wav,2000,2000,41518,20.759,0.059701,0.297882,13.961205,5.402715,0.0,0.0,31.709834,-4.639639,0.001641,0.038395,0.008177,0.402857,False,False,False,False,False,
D1_training-a_a0007,D1,training-a,dataset/archive (3)/training-a/a0007.wav,2000,2000,71332,35.666,0.059506,0.468018,17.913969,14.045662,0.0,0.0,38.624182,-5.324195,0.001254,0.033817,0.008294,0.509478,False,False,False,False,False,
D1_training-a_a0008,D1,training-a,dataset/archive (3)/training-a/a0008.wav,2000,2000,71611,35.8055,0.022809,0.179382,17.913575,7.02288,0.0,0.0,20.649258,1.324207,0.003386,0.033435,0.015374,0.518364,False,False,False,False,False,
D1_training-a_a0009,D1,training-a,dataset/archive (3)/training-a/a0009.wav,2000,2000,71611,35.8055,0.009906,0.149048,23.548657,8.020221,0.0,0.0,15.49167,-8.012365,0.0288,0.102996,0.026351,1.101439,False,False,False,False,False,
D1_training-a_a0010,D1,training-a,dataset/archive (3)/training-a/a0010.wav,2000,2000,71472,35.736,0.0136,0.345551,28.099284,18.590266,0.0,0.0,11.26999,-8.771692,0.024046,0.081434,0.043554,0.599351,False,False,False,False,False,
D1_training-a_a0011,D1,training-a,dataset/archive (3)/training-a/a0011.wav,2000,2000,71193,35.5965,0.03129,0.357086,21.147414,21.516449,0.0,0.0,33.44968,-10.457749,0.008547,0.059242,0.012451,0.082593,False,False,False,False,False,
D1_training-a_a0012,D1,training-a,dataset/archive (3)/training-a/a0012.wav,2000,2000,61719,30.8595,0.074391,0.765869,20.252739,20.066026,0.0,0.0,36.392754,-9.07872,0.004169,0.039364,0.011067,0.380309,False,False,False,False,False,
D1_training-a_a0013,D1,training-a,dataset/archive (3)/training-a/a0013.wav,2000,2000,71332,35.666,0.008198,0.091339,20.939059,16.123921,0.0,0.0,20.693031,-5.280835,0.037831,0.109798,0.036802,1.259839,False,False,False,False,False,
D1_training-a_a0014,D1,training-a,dataset/archive (3)/training-a/a0014.wav,2000,2000,71472,35.736,0.117828,1.0,18.575025,20.261405,0.001035,0.0,32.116544,-4.404199,0.003095,0.039351,0.011934,0.380613,False,False,False,False,False,
D1_training-a_a0015,D1,training-a,dataset/archive (3)/training-a/a0015.wav,2000,2000,71472,35.736,0.025119,0.212738,18.557026,6.99217,0.0,0.0,23.779507,-2.623615,0.004423,0.046376,0.014381,0.217013,False,False,False,False,False,
D1_training-a_a0016,D1,training-a,dataset/archive (3)/training-a/a0016.wav,2000,2000,61580,30.79,0.100442,0.748077,17.440593,10.65353,0.0,0.0,33.204873,-5.112016,0.002332,0.039553,0.006524,0.375902,False,False,False,False,False,
D1_training-a_a0017,D1,training-a,dataset/archive (3)/training-a/a0017.wav,2000,2000,71332,35.666,0.019956,0.219513,20.827813,16.932386,0.0,0.0,33.219674,-11.314531,0.005062,0.043667,0.011726,0.280104,False,False,False,False,False,
D1_training-a_a0018,D1,training-a,dataset/archive (3)/training-a/a0018.wav,2000,2000,41796,20.898,0.116955,1.0,18.639659,17.11282,0.000239,0.0,44.33553,-13.69922,0.000788,0.035409,0.005409,0.472386,False,False,False,False,False,
D1_training-a_a0019,D1,training-a,dataset/archive (3)/training-a/a0019.wav,2000,2000,61719,30.8595,0.07739,0.834747,20.657386,17.938823,0.0,0.0,38.218242,-10.508576,0.001972,0.038957,0.007681,0.389784,False,False,False,False,False,
D1_training-a_a0020,D1,training-a,dataset/archive (3)/training-a/a0020.wav,2000,2000,71332,35.666,0.017109,0.103607,15.643527,11.116762,0.0,0.0,28.170186,-7.511639,0.007769,0.04574,0.012616,0.231832,False,False,False,False,False,
D1_training-a_a0021,D1,training-a,dataset/archive (3)/training-a/a0021.wav,2000,2000,71193,35.5965,0.063366,0.721588,21.128662,16.337319,0.0,0.0,40.74166,-10.491737,0.00144,0.035255,0.00722,0.475983,False,False,False,False,False,
D1_training-a_a0022,D1,training-a,dataset/archive (3)/training-a/a0022.wav,2000,2000,72307,36.1535,0.023999,0.264343,20.839451,17.920219,0.0,0.0,27.172254,-7.020259,0.012196,0.048189,0.028537,0.174807,False,False,False,False,False,
D1_training-a_a0023,D1,training-a,dataset/archive (3)/training-a/a0023.wav,2000,2000,61162,30.581,0.007308,0.081726,20.971358,11.758465,0.0,0.0,19.484132,-8.042982,0.01365,0.055759,0.015582,0.001473,False,False,False,False,False,
D1_training-a_a0024,D1,training-a,dataset/archive (3)/training-a/a0024.wav,2000,2000,41378,20.689,0.033946,0.252014,17.412653,16.954109,0.0,0.0,21.654521,-11.179971,0.018005,0.077612,0.040494,0.510357,False,False,False,False,False,
D1_training-a_a0025,D1,training-a,dataset/archive (3)/training-a/a0025.wav,2000,2000,62276,31.138,0.091856,0.798431,18.782588,15.459495,0.0,0.0,39.811883,-7.902889,0.001547,0.038312,0.009981,0.404798,False,False,False,False,False,
D1_training-a_a0026,D1,training-a,dataset/archive (3)/training-a/a0026.wav,2000,2000,71193,35.5965,0.02236,0.411133,25.290047,15.654277,0.0,0.0,17.935423,-5.003959,0.008688,0.044231,0.013072,0.266968,False,False,False,False,False,
D1_training-a_a0027,D1,training-a,dataset/archive (3)/training-a/a0027.wav,2000,2000,62276,31.138,0.136069,1.0,17.324816,25.704068,0.002457,0.0,35.686927,-13.845463,0.005174,0.047012,0.02836,0.202202,False,False,False,False,False,
D1_training-a_a0028,D1,training-a,dataset/archive (3)/training-a/a0028.wav,2000,2000,61719,30.8595,0.073502,1.0,22.674069,15.650947,0.000275,0.0,21.448636,-8.95457,0.00583,0.039282,0.008866,0.382204,False,False,False,False,False,
D1_training-a_a0029,D1,training-a,dataset/archive (3)/training-a/a0029.wav,2000,2000,61440,30.72,0.03262,0.509491,23.87311,11.988439,0.0,0.0,21.97753,-9.228267,0.010839,0.042846,0.007503,0.299225,False,False,False,False,False,
D1_training-a_a0030,D1,training-a,dataset/archive (3)/training-a/a0030.wav,2000,2000,72447,36.2235,0.036318,0.523621,23.17778,14.123486,0.0,0.0,21.242386,-5.27913,0.007886,0.04308,0.024733,0.293769,False,False,False,False,False,
D1_training-a_a0031,D1,training-a,dataset/archive (3)/training-a/a0031.wav,2000,2000,71193,35.5965,0.029439,0.341431,21.287489,16.326968,0.0,0.0,24.911524,-6.384647,0.020895,0.081806,0.026615,0.608003,False,False,False,False,False,
D1_training-a_a0032,D1,training-a,dataset/archive (3)/training-a/a0032.wav,2000,2000,71332,35.666,0.043293,0.454865,20.429331,14.778834,0.0,0.0,35.617825,-10.66233,0.002517,0.041939,0.009792,0.32033,False,False,False,False,False,
D1_training-a_a0033,D1,training-a,dataset/archive (3)/training-a/a0033.wav,2000,2000,71332,35.666,0.033338,0.428558,22.18146,18.836571,0.0,0.0,22.799954,-11.891298,0.022956,0.07113,0.038285,0.359418,False,False,False,False,False,
D1_training-a_a0034,D1,training-a,dataset/archive (3)/training-a/a0034.wav,2000,2000,61162,30.581,0.052994,0.371552,16.915872,11.455556,0.0,0.0,30.229468,-4.375071,0.003952,0.04493,0.012098,0.250686,False,False,False,False,False,
D1_training-a_a0035,D1,training-a,dataset/archive (3)/training-a/a0035.wav,2000,2000,57965,28.9825,0.012897,0.15213,21.434784,10.478546,0.0,0.0,24.461721,-5.175673,0.007955,0.049401,0.012339,0.146575,False,False,False,False,False,
D1_training-a_a0036,D1,training-a,dataset/archive (3)/training-a/a0036.wav,2000,2000,71889,35.9445,0.036253,0.373566,20.260557,15.52463,0.0,0.0,19.481989,-9.716844,0.021184,0.090831,0.029124,0.818165,False,False,False,False,False,
D1_training-a_a0037,D1,training-a,dataset/archive (3)/training-a/a0037.wav,2000,2000,71472,35.736,0.050989,0.636749,21.929887,16.960586,0.0,0.0,31.281058,-2.885313,0.004506,0.036934,0.011702,0.436891,False,False,False,False,False,
D1_training-a_a0038,D1,training-a,dataset/archive (3)/training-a/a0038.wav,2000,2000,69260,34.63,0.047761,0.393707,18.322084,9.351889,0.0,0.0,29.21039,-5.154208,0.003649,0.040849,0.009305,0.345728,False,False,False,False,False,
D1_training-a_a0039,D1,training-a,dataset/archive (3)/training-a/a0039.wav,2000,2000,61440,30.72,0.014651,0.999969,36.68247,14.436947,1.6e-05,0.0,5.519638,-8.078201,0.028379,0.053071,0.046719,0.06112,False,False,False,False,False,
D1_training-a_a0040,D1,training-a,dataset/archive (3)/training-a/a0040.wav,2000,2000,71332,35.666,0.014827,0.117249,17.961245,6.977386,0.0,0.0,25.777615,-3.060572,0.005814,0.040395,0.012723,0.356288,False,False,False,False,False,
D1_training-a_a0041,D1,training-a,dataset/archive (3)/training-a/a0041.wav,2000,2000,70218,35.109,0.010861,0.141205,22.279728,12.384495,0.0,0.0,22.025412,-4.387886,0.010394,0.046625,0.012918,0.211228,False,False,False,False,False,
D1_training-a_a0042,D1,training-a,dataset/archive (3)/training-a/a0042.wav,2000,2000,72307,36.1535,0.051536,0.336121,16.287635,16.609714,0.0,0.0,31.106364,-14.981858,0.006436,0.061534,0.02305,0.135952,False,False,False,False,False,
D1_training-a_a0043,D1,training-a,dataset/archive (3)/training-a/a0043.wav,2000,2000,71193,35.5965,0.07807,0.870056,20.941306,17.849787,0.0,0.0,39.104138,-13.716726,0.002755,0.041016,0.007727,0.341839,False,False,False,False,False,
D1_training-a_a0044,D1,training-a,dataset/archive (3)/training-a/a0044.wav,2000,2000,61301,30.6505,0.004598,0.052765,21.195689,7.965595,0.0,0.0,18.600616,-7.82135,0.020729,0.111139,0.0252,1.291073,False,False,False,False,False,
D1_training-a_a0045,D1,training-a,dataset/archive (3)/training-a/a0045.wav,2000,2000,71750,35.875,0.07624,1.0,22.356302,20.567489,8.4e-05,0.0,34.456416,-14.766338,0.005881,0.060582,0.02106,0.113783,False,False,False,False,False,
D1_training-a_a0046,D1,training-a,dataset/archive (3)/training-a/a0046.wav,2000,2000,71472,35.736,0.047301,0.527557,20.948071,13.477603,0.0,0.0,32.984023,-8.136384,0.001752,0.038774,0.016388,0.394028,False,False,False,False,False,
D1_training-a_a0047,D1,training-a,dataset/archive (3)/training-a/a0047.wav,2000,2000,71193,35.5965,0.09176,0.524323,15.13894,18.838712,0.0,0.0,-1.467238,-12.099139,0.331718,0.303066,0.221,5.760301,False,False,False,True,True,low_snr
D1_training-a_a0048,D1,training-a,dataset/archive (3)/training-a/a0048.wav,2000,2000,72447,36.2235,0.04624,0.592407,22.15199,14.27152,0.0,0.0,32.197764,-5.287881,0.002419,0.044074,0.011523,0.270624,False,False,False,False,False,
D1_training-a_a0049,D1,training-a,dataset/archive (3)/training-a/a0049.wav,2000,2000,61719,30.8595,0.04116,0.286652,16.857679,14.239293,0.0,0.0,30.114194,-6.077557,0.005457,0.044035,0.015376,0.271534,False,False,False,False,False,
D1_training-a_a0050,D1,training-a,dataset/archive (3)/training-a/a0050.wav,2000,2000,61301,30.6505,0.127454,0.827698,16.250387,15.820768,0.0,0.0,41.552905,-10.18404,0.000571,0.032596,0.00585,0.537904,False,False,False,False,False,
D1_training-a_a0051,D1,training-a,dataset/archive (3)/training-a/a0051.wav,2000,2000,71193,35.5965,0.025889,0.22522,18.789749,8.672982,0.0,0.0,22.980438,-5.146135,0.011505,0.047023,0.014794,0.201949,False,False,False,False,False,
D1_training-a_a0052,D1,training-a,dataset/archive (3)/training-a/a0052.wav,2000,2000,71472,35.736,0.034289,0.363007,20.495304,19.692095,0.0,0.0,29.082934,-10.1123,0.010873,0.080338,0.025801,0.573829,False,False,False,False,False,
D1_training-a_a0053,D1,training-a,dataset/archive (3)/training-a/a0053.wav,2000,2000,71750,35.875,0.035387,0.28006,17.968033,9.485935,0.0,0.0,33.803315,-4.764662,0.001079,0.031964,0.006212,0.552616,False,False,False,False,False,
D1_training-a_a0054,D1,training-a,dataset/archive (3)/training-a/a0054.wav,2000,2000,71332,35.666,0.02014,0.198212,19.861589,13.848737,0.0,0.0,26.678292,-3.078393,0.006906,0.049935,0.015827,0.134138,False,False,False,False,False,
D1_training-a_a0055,D1,training-a,dataset/archive (3)/training-a/a0055.wav,2000,2000,71332,35.666,0.153352,1.0,16.2862,11.037115,0.000379,0.0,48.165546,-9.877717,0.000308,0.039239,0.006416,0.383215,False,False,False,False,False,
D1_training-a_a0056,D1,training-a,dataset/archive (3)/training-a/a0056.wav,2000,2000,61580,30.79,0.024683,0.965302,31.845447,16.653808,0.0,0.0,19.113738,-6.253217,0.012076,0.047194,0.016538,0.197975,False,False,False,False,False,
D1_training-a_a0057,D1,training-a,dataset/archive (3)/training-a/a0057.wav,2000,2000,71889,35.9445,0.129216,1.0,17.773642,17.952695,0.000515,0.0,39.198577,-8.846547,0.000995,0.040953,0.007611,0.343306,False,False,False,False,False,
D1_training-a_a0058,D1,training-a,dataset/archive (3)/training-a/a0058.wav,2000,2000,41239,20.6195,0.015953,0.135773,18.599246,12.110677,0.0,0.0,28.359986,-3.757607,0.006132,0.042346,0.013088,0.310856,False,False,False,False,False,
D1_training-a_a0059,D1,training-a,dataset/archive (3)/training-a/a0059.wav,2000,2000,71332,35.666,0.026102,0.216827,18.388941,14.723988,0.0,0.0,37.433128,-9.206156,0.002014,0.038435,0.010653,0.401933,False,False,False,False,False,
D1_training-a_a0060,D1,training-a,dataset/archive (3)/training-a/a0060.wav,2000,2000,71332,35.666,0.009413,0.223572,27.513319,16.152776,0.0,0.0,31.024824,-12.935305,0.007256,0.067443,0.014517,0.273547,False,False,False,False,False,
D1_training-a_a0061,D1,training-a,dataset/archive (3)/training-a/a0061.wav,2000,2000,61580,30.79,0.078948,0.683777,18.751514,18.495159,0.0,0.0,30.074197,-7.788723,0.005478,0.037951,0.007635,0.4132,False,False,False,False,False,
D1_training-a_a0062,D1,training-a,dataset/archive (3)/training-a/a0062.wav,2000,2000,72168,36.084,0.049497,0.562988,21.118348,17.176279,0.0,0.0,34.720651,-9.288894,0.002768,0.040632,0.009959,0.350773,False,False,False,False,False,
