metric,threshold,is_configured,n_records,n_sqi_poor,n_flagged,true_positive,false_positive,false_negative,true_negative,sensitivity_to_sqi_poor,specificity,balanced_accuracy,agreement
snr_proxy_db,5.0,True,3541,404,33,25,8,379,3129,0.0619,0.9974,0.5297,0.8907
snr_proxy_db,10.0278,False,3541,404,71,39,32,365,3105,0.0965,0.9898,0.5432,0.8879
snr_proxy_db,16.2559,False,3541,404,213,51,162,353,2975,0.1262,0.9484,0.5373,0.8546
snr_proxy_db,19.4413,False,3541,404,355,68,287,336,2850,0.1683,0.9085,0.5384,0.8241
snr_proxy_db,21.4465,False,3541,404,496,85,411,319,2726,0.2104,0.869,0.5397,0.7938
snr_proxy_db,23.2403,False,3541,404,638,104,534,300,2603,0.2574,0.8298,0.5436,0.7645
snr_proxy_db,24.5599,False,3541,404,779,111,668,293,2469,0.2748,0.7871,0.5309,0.7286
snr_proxy_db,25.5596,False,3541,404,921,123,798,281,2339,0.3045,0.7456,0.525,0.6953
snr_proxy_db,26.5057,False,3541,404,1063,138,925,266,2212,0.3416,0.7051,0.5234,0.6637
snr_proxy_db,27.4842,False,3541,404,1204,151,1053,253,2084,0.3738,0.6643,0.519,0.6312
snr_proxy_db,28.3858,False,3541,404,1346,162,1184,242,1953,0.401,0.6226,0.5118,0.5973
snr_proxy_db,29.0912,False,3541,404,1487,176,1311,228,1826,0.4356,0.5821,0.5089,0.5654
snr_proxy_db,29.9015,False,3541,404,1629,185,1444,219,1693,0.4579,0.5397,0.4988,0.5304
snr_proxy_db,30.8,False,3541,404,1770,199,1571,205,1566,0.4926,0.4992,0.4959,0.4984
snr_proxy_db,31.5468,False,3541,404,1911,209,1702,195,1435,0.5173,0.4574,0.4874,0.4643
snr_proxy_db,32.3079,False,3541,404,2054,220,1834,184,1303,0.5446,0.4154,0.48,0.4301
snr_proxy_db,32.9698,False,3541,404,2195,231,1964,173,1173,0.5718,0.3739,0.4729,0.3965
snr_proxy_db,33.6745,False,3541,404,2337,242,2095,162,1042,0.599,0.3322,0.4656,0.3626
snr_proxy_db,34.404,False,3541,404,2478,256,2222,148,915,0.6337,0.2917,0.4627,0.3307
snr_proxy_db,35.1042,False,3541,404,2621,263,2358,141,779,0.651,0.2483,0.4497,0.2943
snr_proxy_db,35.8965,False,3541,404,2762,275,2487,129,650,0.6807,0.2072,0.4439,0.2612
snr_proxy_db,37.0146,False,3541,404,2903,287,2616,117,521,0.7104,0.1661,0.4382,0.2282
snr_proxy_db,38.6485,False,3541,404,3045,300,2745,104,392,0.7426,0.125,0.4338,0.1954
snr_proxy_db,40.3983,False,3541,404,3186,318,2868,86,269,0.7871,0.0858,0.4364,0.1658
snr_proxy_db,42.8996,False,3541,404,3328,360,2968,44,169,0.8911,0.0539,0.4725,0.1494
snr_proxy_db,46.2013,False,3541,404,3470,398,3072,6,65,0.9851,0.0207,0.5029,0.1308
spectral_flatness,0.0001,False,3541,404,3330,320,3010,84,127,0.7921,0.0405,0.4163,0.1262
spectral_flatness,0.0002,False,3541,404,3141,251,2890,153,247,0.6213,0.0787,0.35,0.1406
spectral_flatness,0.0003,False,3541,404,3029,219,2810,185,327,0.5421,0.1042,0.3232,0.1542
spectral_flatness,0.0005,False,3541,404,2902,185,2717,219,420,0.4579,0.1339,0.2959,0.1709
spectral_flatness,0.0011,False,3541,404,2756,161,2595,243,542,0.3985,0.1728,0.2856,0.1985
spectral_flatness,0.0015,False,3541,404,2628,154,2474,250,663,0.3812,0.2113,0.2963,0.2307
spectral_flatness,0.0019,False,3541,404,2489,145,2344,259,793,0.3589,0.2528,0.3059,0.2649
spectral_flatness,0.0025,False,3541,404,2327,127,2200,277,937,0.3144,0.2987,0.3065,0.3005
spectral_flatness,0.0029,False,3541,404,2199,116,2083,288,1054,0.2871,0.336,0.3116,0.3304
spectral_flatness,0.0034,False,3541,404,2066,106,1960,298,1177,0.2624,0.3752,0.3188,0.3623
spectral_flatness,0.0039,False,3541,404,1917,93,1824,311,1313,0.2302,0.4186,0.3244,0.3971
spectral_flatness,0.0048,False,3541,404,1768,87,1681,317,1456,0.2153,0.4641,0.3397,0.4358
spectral_flatness,0.0057,False,3541,404,1622,76,1546,328,1591,0.1881,0.5072,0.3476,0.4708
spectral_flatness,0.0067,False,3541,404,1487,62,1425,342,1712,0.1535,0.5457,0.3496,0.501
spectral_flatness,0.0079,False,3541,404,1348,56,1292,348,1845,0.1386,0.5881,0.3634,0.5369
spectral_flatness,0.0097,False,3541,404,1203,46,1157,358,1980,0.1139,0.6312,0.3725,0.5722
spectral_flatness,0.0115,False,3541,404,1066,39,1027,365,2110,0.0965,0.6726,0.3846,0.6069
spectral_flatness,0.015,False,3541,404,920,31,889,373,2248,0.0767,0.7166,0.3967,0.6436
spectral_flatness,0.0183,False,3541,404,779,23,756,381,2381,0.0569,0.759,0.408,0.6789
spectral_flatness,0.0227,False,3541,404,639,22,617,382,2520,0.0545,0.8033,0.4289,0.7179
spectral_flatness,0.0297,False,3541,404,498,21,477,383,2660,0.052,0.8479,0.45,0.7571
spectral_flatness,0.0449,False,3541,404,353,19,334,385,2803,0.047,0.8935,0.4703,0.797
spectral_flatness,0.0632,False,3541,404,213,17,196,387,2941,0.0421,0.9375,0.4898,0.8354
spectral_flatness,0.1153,False,3541,404,71,16,55,388,3082,0.0396,0.9825,0.511,0.8749
spectral_flatness,0.5,True,3541,404,0,0,0,404,3137,0.0,1.0,0.5,0.8859
drift_ratio_db,-24.8676,False,3541,404,3470,400,3070,4,67,0.9901,0.0214,0.5057,0.1319
drift_ratio_db,-21.2981,False,3541,404,3328,399,2929,5,208,0.9876,0.0663,0.527,0.1714
drift_ratio_db,-19.6333,False,3541,404,3187,399,2788,5,349,0.9876,0.1113,0.5494,0.2112
drift_ratio_db,-18.5276,False,3541,404,3045,399,2646,5,491,0.9876,0.1565,0.5721,0.2513
drift_ratio_db,-17.1729,False,3541,404,2903,399,2504,5,633,0.9876,0.2018,0.5947,0.2914
drift_ratio_db,-16.0746,False,3541,404,2762,397,2365,7,772,0.9827,0.2461,0.6144,0.3301
drift_ratio_db,-14.5897,False,3541,404,2620,391,2229,13,908,0.9678,0.2894,0.6286,0.3668
drift_ratio_db,-13.7008,False,3541,404,2479,385,2094,19,1043,0.953,0.3325,0.6427,0.4033
drift_ratio_db,-12.9989,False,3541,404,2337,379,1958,25,1179,0.9381,0.3758,0.657,0.44
drift_ratio_db,-12.1431,False,3541,404,2195,378,1817,26,1320,0.9356,0.4208,0.6782,0.4795
drift_ratio_db,-11.3145,False,3541,404,2053,378,1675,26,1462,0.9356,0.4661,0.7008,0.5196
drift_ratio_db,-10.3756,False,3541,404,1912,377,1535,27,1602,0.9332,0.5107,0.7219,0.5589
drift_ratio_db,-9.5054,False,3541,404,1771,367,1404,37,1733,0.9084,0.5524,0.7304,0.5931
drift_ratio_db,-8.4733,False,3541,404,1629,364,1265,40,1872,0.901,0.5967,0.7489,0.6315
drift_ratio_db,-7.5365,False,3541,404,1487,355,1132,49,2005,0.8787,0.6391,0.7589,0.6665
drift_ratio_db,-6.5474,False,3541,404,1345,347,998,57,2139,0.8589,0.6819,0.7704,0.7021
drift_ratio_db,-5.533,False,3541,404,1204,330,874,74,2263,0.8168,0.7214,0.7691,0.7323
drift_ratio_db,-4.6396,False,3541,404,1062,310,752,94,2385,0.7673,0.7603,0.7638,0.7611
