feature,family,dataset,n_class0,n_class1,mean_class0,mean_class1,cohens_d,abs_cohens_d,rank
dwt_cD1_entropy,dwt,D1,2575,665,3.0511111961734025,1.5562919576264562,-1.4458089940056145,1.4458089940056145,1
mfcc_04_mean,mfcc,D1,2575,665,7.941426782948712,15.207023585105306,1.2433394410986405,1.2433394410986405,2
dwt_cD2_entropy,dwt,D1,2575,665,2.9864243640268153,1.8204868283361675,-1.226244902918775,1.226244902918775,3
time_zcr_mean,time,D1,2575,665,0.06991014362165329,0.0489508721756017,-0.9595604612990931,0.9595604612990931,4
dwt_cD3_entropy,dwt,D1,2575,665,3.053367241294269,2.3713091013206595,-0.8216364141237279,0.8216364141237279,5
mfcc_05_mean,mfcc,D1,2575,665,0.35090880501606575,3.9153249125551555,0.8158185814058686,0.8158185814058686,6
time_hjorth_complexity,time,D1,2575,665,1.7871075064988624,2.172328274431984,0.8065006445033979,0.8065006445033979,7
dwt_cA5_mean_abs,dwt,D1,2575,665,1.4857230535870156,1.9673263337490015,0.7867962036431333,0.7867962036431333,8
mfcc_07_mean,mfcc,D1,2575,665,-0.5849462002482356,1.5859993174363363,0.7605467440186362,0.7605467440186362,9
mfcc_06_mean,mfcc,D1,2575,665,3.314923728997921,5.978349248469564,0.7453976187189075,0.7453976187189075,10
mfcc_08_mean,mfcc,D1,2575,665,1.4730726140598542,3.152478820744704,0.7431083171737036,0.7431083171737036,11
dwt_cD5_mean_abs,dwt,D1,2575,665,1.8866401853087917,2.1509801534544413,0.7054510507686846,0.7054510507686846,12
dwt_cA5_energy,dwt,D1,2575,665,8811.6852331342,15374.806976810205,0.701288144109616,0.701288144109616,13
dwt_cD4_std,dwt,D1,2575,665,1.9473272959591779,1.5555848979660023,-0.6970201104284254,0.6970201104284254,14
chroma_01_mean,chroma,D1,2575,665,0.7221114195217608,0.760259375219833,0.6933863874060672,0.6933863874060672,15
freq_band_power_50_100,frequency,D1,2575,665,0.32859787346268954,0.21687425030351154,-0.6841403975537933,0.6841403975537933,16
freq_band_power_20_50,frequency,D1,2575,665,0.5391239224656312,0.6737146814930333,0.6400033070103824,0.6400033070103824,17
dwt_cA5_std,dwt,D1,2575,665,2.5470001092364005,3.121309707851598,0.6317728010322199,0.6317728010322199,18
chroma_02_mean,chroma,D1,2575,665,0.7378243651979896,0.771400344734741,0.625527743400047,0.625527743400047,19
dwt_cD4_mean_abs,dwt,D1,2575,665,0.9800875795940116,0.7917530331258811,-0.6170298573368647,0.6170298573368647,20
chroma_12_mean,chroma,D1,2575,665,0.7221162413923681,0.7607456790304443,0.6150820772539212,0.6150820772539212,21
chroma_03_mean,chroma,D1,2575,665,0.7439806214076027,0.7735862440153173,0.6096710867485711,0.6096710867485711,22
mfcc_03_mean,mfcc,D1,2575,665,10.194842866296796,14.953377729566803,0.6063060392044642,0.6063060392044642,23
mfcc_01_std,mfcc,D1,2575,665,32.52475319478044,49.52000759756872,0.5859266320024443,0.5859266320024443,24
freq_flux_std,frequency,D1,2575,665,0.0324411134638528,0.04073647819769369,0.5751843215590272,0.5751843215590272,25
time_iqr,time,D1,2575,665,0.5182428243872031,0.6438664741113894,0.5699203596174145,0.5699203596174145,26
freq_flux_mean,frequency,D1,2575,665,0.12333174087008435,0.13273929328108328,0.5522168951840567,0.5522168951840567,27
dwt_cD3_mean_abs,dwt,D1,2575,665,0.3392140930390862,0.23589428911834986,-0.5319864459431708,0.5319864459431708,28
chroma_04_mean,chroma,D1,2575,665,0.7564765049747522,0.780559717517125,0.5231874205325706,0.5231874205325706,29
env_mean,envelope,D1,2575,665,0.8300915127557231,0.8983447291899656,0.501914150909412,0.501914150909412,30
freq_band_power_100_150,frequency,D1,2575,665,0.07362054054619092,0.04156451332252252,-0.4915488949306709,0.4915488949306709,31
time_zcr_std,time,D1,2575,665,0.016090031544790433,0.012368256340946581,-0.47609364851927805,0.47609364851927805,32
freq_centroid_mean,frequency,D1,2575,665,92.26241636869105,81.7496228618849,-0.4454400636709756,0.4454400636709756,33
