index,name,family,extractor,equation,unit,description
0,time_mean,time,time_domain,mean(x),,Mean amplitude of the preprocessed signal
1,time_std,time,time_domain,"std(x), ddof=0",,Standard deviation of amplitude
2,time_var,time,time_domain,"var(x), ddof=0",,Variance of amplitude
3,time_min,time,time_domain,min(x),,Most negative sample
4,time_max,time,time_domain,max(x),,Most positive sample
5,time_range,time,time_domain,max(x) - min(x),,Full amplitude range
6,time_median,time,time_domain,median(x),,Median amplitude
7,time_iqr,time,time_domain,Q3(x) - Q1(x),,Interquartile range of amplitude
8,time_skewness,time,time_domain,"scipy.stats.skew(x), bias=False",,Asymmetry of the amplitude distribution
9,time_kurtosis,time,time_domain,"scipy.stats.kurtosis(x), Fisher, bias=False",,Tailedness of the amplitude distribution; excess kurtosis
10,time_energy,time,time_domain,sum(x^2),,Total signal energy
11,time_rms,time,time_domain,sqrt(mean(x^2)),,Root-mean-square amplitude
12,time_peak_to_peak,time,time_domain,max(x) - min(x),,"Peak-to-peak excursion; equals range, kept because the blueprint lists both"
13,time_crest_factor,time,time_domain,max(|x|) / rms(x),,Peak-to-RMS ratio; high for impulsive sounds
14,time_zcr_mean,time,time_domain,mean over frames of ZCR(frame),,Mean framed zero-crossing rate
15,time_zcr_std,time,time_domain,std over frames of ZCR(frame),,Variability of the framed zero-crossing rate
16,time_shannon_entropy,time,time_domain,-sum(p*log2(p)) over a 64-bin amplitude histogram,bit,Shannon entropy of the amplitude distribution
17,time_sample_entropy,time,time_domain,"-ln(A/B), m=2, r=0.2*std, Richman & Moorman 2000",,Sample entropy; regularity of the waveform
18,time_hjorth_activity,time,time_domain,var(x),,Hjorth activity; signal power
19,time_hjorth_mobility,time,time_domain,sqrt(var(dx)/var(x)),,Hjorth mobility; mean frequency proxy
20,time_hjorth_complexity,time,time_domain,mobility(dx)/mobility(x),,Hjorth complexity; bandwidth proxy
21,time_autocorr_peak_value,time,time_domain,max of normalized autocorrelation beyond its first zero crossing,,Strength of the dominant periodicity; a rhythm-regularity proxy
22,time_autocorr_peak_lag,time,time_domain,"argmax lag of the same search, in seconds",s,Period of the dominant periodicity; a cardiac-cycle proxy
23,time_duration,time,time_domain,n_samples / fs,s,Recording duration
24,freq_centroid_mean,frequency,frequency,mean over frames of sum(f*S)/sum(S),Hz,Mean spectral centre of mass
25,freq_centroid_std,frequency,frequency,std over frames of the same,Hz,Variability of the spectral centroid
26,freq_bandwidth_mean,frequency,frequency,mean over frames of sqrt(sum(S*(f-centroid)^2)/sum(S)),Hz,Mean spectral spread about the centroid
27,freq_bandwidth_std,frequency,frequency,std over frames of the same,Hz,Variability of the spectral bandwidth
28,freq_rolloff85_mean,frequency,frequency,mean over frames of min f with cumsum(S) >= 0.85*sum(S),Hz,Mean 85% spectral rolloff
29,freq_rolloff85_std,frequency,frequency,std over frames of the same,Hz,Variability of the 85% rolloff
30,freq_rolloff95_mean,frequency,frequency,mean over frames of min f with cumsum(S) >= 0.95*sum(S),Hz,Mean 95% spectral rolloff
31,freq_rolloff95_std,frequency,frequency,std over frames of the same,Hz,Variability of the 95% rolloff
32,freq_flatness_mean,frequency,frequency,mean over frames of geometric_mean(S)/arithmetic_mean(S),,"Mean Wiener entropy; 1 is noise-like, 0 is tonal"
33,freq_flatness_std,frequency,frequency,std over frames of the same,,Variability of spectral flatness
34,freq_flux_mean,frequency,frequency,"mean over frame pairs of ||S_t - S_{t-1}||_2, S L1-normalized per frame",,Mean spectral change between consecutive frames
35,freq_flux_std,frequency,frequency,std over frame pairs of the same,,Variability of spectral flux
36,freq_spectral_entropy,frequency,frequency,"-sum(p*log2(p))/log2(n_bins), p = PSD/sum(PSD)",,"Normalized spectral entropy of the Welch PSD, in [0, 1]"
37,freq_dominant,frequency,frequency,f at argmax(PSD),Hz,Frequency carrying the most power
38,freq_peak_power,frequency,frequency,max(PSD),1/Hz,Power spectral density at the dominant frequency
39,freq_total_power,frequency,frequency,"trapezoid(PSD, f) over 0-Nyquist",,Total power of the Welch PSD
40,freq_band_power_20_50,frequency,frequency,"trapezoid(PSD, f) over 20-50 Hz / total_power",,"Relative power, 20-50 Hz"
41,freq_band_power_50_100,frequency,frequency,"trapezoid(PSD, f) over 50-100 Hz / total_power",,"Relative power, 50-100 Hz"
42,freq_band_power_100_150,frequency,frequency,"trapezoid(PSD, f) over 100-150 Hz / total_power",,"Relative power, 100-150 Hz"
43,freq_band_power_150_250,frequency,frequency,"trapezoid(PSD, f) over 150-250 Hz / total_power",,"Relative power, 150-250 Hz"
44,freq_band_power_250_350,frequency,frequency,"trapezoid(PSD, f) over 250-350 Hz / total_power",,"Relative power, 250-350 Hz"
