feature,family,n_records,n_nan,n_inf,n_nonfinite,pct_nonfinite,record_uids,record_uids_truncated
time_mean,time,7536,0,0,0,0.0,,False
time_std,time,7536,0,0,0,0.0,,False
time_var,time,7536,0,0,0,0.0,,False
time_min,time,7536,0,0,0,0.0,,False
time_max,time,7536,0,0,0,0.0,,False
time_range,time,7536,0,0,0,0.0,,False
time_median,time,7536,0,0,0,0.0,,False
time_iqr,time,7536,0,0,0,0.0,,False
time_skewness,time,7536,0,0,0,0.0,,False
time_kurtosis,time,7536,0,0,0,0.0,,False
time_energy,time,7536,0,0,0,0.0,,False
time_rms,time,7536,0,0,0,0.0,,False
time_peak_to_peak,time,7536,0,0,0,0.0,,False
time_crest_factor,time,7536,0,0,0,0.0,,False
time_zcr_mean,time,7536,0,0,0,0.0,,False
time_zcr_std,time,7536,0,0,0,0.0,,False
time_shannon_entropy,time,7536,0,0,0,0.0,,False
time_sample_entropy,time,7536,0,0,0,0.0,,False
time_hjorth_activity,time,7536,0,0,0,0.0,,False
time_hjorth_mobility,time,7536,0,0,0,0.0,,False
time_hjorth_complexity,time,7536,0,0,0,0.0,,False
time_autocorr_peak_value,time,7536,0,0,0,0.0,,False
time_autocorr_peak_lag,time,7536,0,0,0,0.0,,False
time_duration,time,7536,0,0,0,0.0,,False
freq_centroid_mean,frequency,7536,0,0,0,0.0,,False
freq_centroid_std,frequency,7536,0,0,0,0.0,,False
freq_bandwidth_mean,frequency,7536,0,0,0,0.0,,False
freq_bandwidth_std,frequency,7536,0,0,0,0.0,,False
freq_rolloff85_mean,frequency,7536,0,0,0,0.0,,False
freq_rolloff85_std,frequency,7536,0,0,0,0.0,,False
freq_rolloff95_mean,frequency,7536,0,0,0,0.0,,False
freq_rolloff95_std,frequency,7536,0,0,0,0.0,,False
freq_flatness_mean,frequency,7536,0,0,0,0.0,,False
freq_flatness_std,frequency,7536,0,0,0,0.0,,False
freq_flux_mean,frequency,7536,0,0,0,0.0,,False
freq_flux_std,frequency,7536,0,0,0,0.0,,False
freq_spectral_entropy,frequency,7536,0,0,0,0.0,,False
freq_dominant,frequency,7536,0,0,0,0.0,,False
freq_peak_power,frequency,7536,0,0,0,0.0,,False
freq_total_power,frequency,7536,0,0,0,0.0,,False
freq_band_power_20_50,frequency,7536,0,0,0,0.0,,False
freq_band_power_50_100,frequency,7536,0,0,0,0.0,,False
freq_band_power_100_150,frequency,7536,0,0,0,0.0,,False
freq_band_power_150_250,frequency,7536,0,0,0,0.0,,False
freq_band_power_250_350,frequency,7536,0,0,0,0.0,,False
freq_band_power_350_400,frequency,7536,0,0,0,0.0,,False
mfcc_01_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_02_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_03_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_04_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_05_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_06_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_07_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_08_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_09_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_10_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_11_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_12_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_13_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_01_std,mfcc,7536,0,0,0,0.0,,False
mfcc_02_std,mfcc,7536,0,0,0,0.0,,False
mfcc_03_std,mfcc,7536,0,0,0,0.0,,False
mfcc_04_std,mfcc,7536,0,0,0,0.0,,False
mfcc_05_std,mfcc,7536,0,0,0,0.0,,False
mfcc_06_std,mfcc,7536,0,0,0,0.0,,False
mfcc_07_std,mfcc,7536,0,0,0,0.0,,False
mfcc_08_std,mfcc,7536,0,0,0,0.0,,False
mfcc_09_std,mfcc,7536,0,0,0,0.0,,False
mfcc_10_std,mfcc,7536,0,0,0,0.0,,False
mfcc_11_std,mfcc,7536,0,0,0,0.0,,False
mfcc_12_std,mfcc,7536,0,0,0,0.0,,False
mfcc_13_std,mfcc,7536,0,0,0,0.0,,False
mfcc_01_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_02_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_03_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_04_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_05_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_06_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_07_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_08_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_09_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_10_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_11_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_12_delta_mean,mfcc,7536,0,0,0,0.0,,False
mfcc_13_delta_mean,mfcc,7536,0,0,0,0.0,,False
chroma_01_mean,chroma,7536,0,0,0,0.0,,False
chroma_02_mean,chroma,7536,0,0,0,0.0,,False
chroma_03_mean,chroma,7536,0,0,0,0.0,,False
chroma_04_mean,chroma,7536,0,0,0,0.0,,False
chroma_05_mean,chroma,7536,0,0,0,0.0,,False
chroma_06_mean,chroma,7536,0,0,0,0.0,,False
chroma_07_mean,chroma,7536,0,0,0,0.0,,False
chroma_08_mean,chroma,7536,0,0,0,0.0,,False
chroma_09_mean,chroma,7536,0,0,0,0.0,,False
chroma_10_mean,chroma,7536,0,0,0,0.0,,False
chroma_11_mean,chroma,7536,0,0,0,0.0,,False
chroma_12_mean,chroma,7536,0,0,0,0.0,,False
chroma_01_std,chroma,7536,0,0,0,0.0,,False
chroma_02_std,chroma,7536,0,0,0,0.0,,False
chroma_03_std,chroma,7536,0,0,0,0.0,,False
chroma_04_std,chroma,7536,0,0,0,0.0,,False
chroma_05_std,chroma,7536,0,0,0,0.0,,False
chroma_06_std,chroma,7536,0,0,0,0.0,,False
chroma_07_std,chroma,7536,0,0,0,0.0,,False
chroma_08_std,chroma,7536,0,0,0,0.0,,False
chroma_09_std,chroma,7536,0,0,0,0.0,,False
chroma_10_std,chroma,7536,0,0,0,0.0,,False
chroma_11_std,chroma,7536,0,0,0,0.0,,False
chroma_12_std,chroma,7536,0,0,0,0.0,,False
dwt_cA5_energy,dwt,7536,0,0,0,0.0,,False
dwt_cD5_energy,dwt,7536,0,0,0,0.0,,False
dwt_cD4_energy,dwt,7536,0,0,0,0.0,,False
dwt_cD3_energy,dwt,7536,0,0,0,0.0,,False
dwt_cD2_energy,dwt,7536,0,0,0,0.0,,False
dwt_cD1_energy,dwt,7536,0,0,0,0.0,,False
dwt_cA5_std,dwt,7536,0,0,0,0.0,,False
dwt_cD5_std,dwt,7536,0,0,0,0.0,,False
dwt_cD4_std,dwt,7536,0,0,0,0.0,,False
dwt_cD3_std,dwt,7536,0,0,0,0.0,,False
dwt_cD2_std,dwt,7536,0,0,0,0.0,,False
dwt_cD1_std,dwt,7536,0,0,0,0.0,,False
dwt_cA5_entropy,dwt,7536,0,0,0,0.0,,False
dwt_cD5_entropy,dwt,7536,0,0,0,0.0,,False
dwt_cD4_entropy,dwt,7536,0,0,0,0.0,,False
dwt_cD3_entropy,dwt,7536,0,0,0,0.0,,False
dwt_cD2_entropy,dwt,7536,0,0,0,0.0,,False
dwt_cD1_entropy,dwt,7536,0,0,0,0.0,,False
dwt_cA5_mean_abs,dwt,7536,0,0,0,0.0,,False
dwt_cD5_mean_abs,dwt,7536,0,0,0,0.0,,False
dwt_cD4_mean_abs,dwt,7536,0,0,0,0.0,,False
dwt_cD3_mean_abs,dwt,7536,0,0,0,0.0,,False
dwt_cD2_mean_abs,dwt,7536,0,0,0,0.0,,False
dwt_cD1_mean_abs,dwt,7536,0,0,0,0.0,,False
env_mean,envelope,7536,0,0,0,0.0,,False
env_std,envelope,7536,0,0,0,0.0,,False
env_skew,envelope,7536,0,0,0,0.0,,False
env_kurtosis,envelope,7536,0,0,0,0.0,,False
env_peak_rate,envelope,7536,0,0,0,0.0,,False
