feature,family,n_finite,min,p00_5,median,p99_5,max,robust_scale,max_robust_z,n_extreme,pct_extreme,verdict,policy
time_mean,time,7536,-1.1912604512201295e-09,-4.6065681428326425e-10,1.0092968756545632e-13,4.78999058909878e-10,9.65976094251203e-10,1.3035683066241176e-10,9.139232480981317,0,0.0,ok,none
time_std,time,7536,0.9999999862407613,0.9999999946663644,0.9999999999925246,1.000000005304388,1.0000000150376627,7.608474967391032e-10,19.774183510870557,17,0.225584,heavy_tail,scale_only
time_var,time,7536,0.9999999724815226,0.9999999893327288,0.9999999999850493,1.0000000106087763,1.0000000300753258,1.521695158079872e-09,19.774181663736908,17,0.225584,heavy_tail,scale_only
time_min,time,7536,-81.22168731689453,-58.640781211853025,-10.97445011138916,-4.344303846359257,-1.7267305850982666,6.478893608808517,10.842474262889462,1,0.01327,heavy_tail,scale_only
time_max,time,7536,1.7326929569244385,4.30343633890152,11.065536499023438,68.2576244354248,99.2784423828125,7.071447362565994,12.474519198256397,7,0.092887,heavy_tail,scale_only
time_range,time,7536,3.459423542022705,8.753716397285462,21.880465507507324,122.7920871734619,155.00482940673828,12.76323428478241,10.430300104884465,1,0.01327,heavy_tail,scale_only
time_median,time,7536,-0.03376384451985359,-0.018044052855111656,-0.00012403985601849854,0.019212124985642703,0.09843029826879501,0.004110804520634701,23.9744647623373,2,0.026539,heavy_tail,scale_only
time_iqr,time,7536,3.4084898288710974e-05,0.07493577341083438,0.42867125757038593,1.1847895726561541,1.8439853936433792,0.20339445746988058,6.958469535889779,0,0.0,ok,none
time_skewness,time,7536,-17.04349128556007,-4.174115846170794,0.12065899092943985,10.196817132293564,53.25936902635772,0.8461400218582933,62.80131971387549,72,0.955414,heavy_tail,scale_only
time_kurtosis,time,7536,-1.3309108556080866,1.2774388918077992,24.09310257542922,1492.2691926651742,4284.427628823665,23.28663643270725,182.95190628150925,957,12.699045,heavy_tail,scale_only
time_energy,time,7536,1526.9999856995005,3120.7999830772837,40608.000090415306,125326.82509194459,243996.99993538743,25144.895873498805,8.088679343442093,0,0.0,ok,none
time_rms,time,7536,0.9999999862407614,0.9999999946663645,0.9999999999925246,1.000000005304388,1.000000015037663,7.608473321374376e-10,19.7741880806548,17,0.225584,heavy_tail,scale_only
time_peak_to_peak,time,7536,3.459423542022705,8.753716397285462,21.880465507507324,122.7920871734619,155.00482940673828,12.76323428478241,10.430300104884465,1,0.01327,heavy_tail,scale_only
time_crest_factor,time,7536,1.7326929570776675,4.596673533190864,12.2758498130973,68.58604756218526,99.27844114451639,7.626037424096309,11.408623704954996,2,0.026539,heavy_tail,scale_only
time_zcr_mean,time,7536,0.024985865542763157,0.02665115063632729,0.09099705470851131,0.23624554006218143,0.40102332746478875,0.045719705243926004,6.7810208115343285,0,0.0,ok,none
time_zcr_std,time,7536,0.003196758910331637,0.004000594994863999,0.02184527848376643,0.08019499233068655,0.13517812268905943,0.014378232000794303,7.882251739924081,0,0.0,ok,none
time_shannon_entropy,time,7536,0.16147852186364206,0.4179013480743928,2.6698406521201505,4.705997658706615,5.912573224231143,1.223212652023011,2.6509965922507397,0,0.0,ok,none
time_sample_entropy,time,7536,0.00011261126300518055,0.03344851138018149,0.2601080351516659,0.7701688005961853,1.2736890886750585,0.14280252500750074,7.097781033424683,0,0.0,ok,none
