rank,feature,column,family,selected_in_folds,n_folds,ranker
1,time_iqr,7,time,5,5,gb_importance
2,time_energy,10,time,3,5,gb_importance
3,time_zcr_mean,14,time,5,5,gb_importance
4,time_hjorth_complexity,20,time,4,5,gb_importance
5,time_duration,23,time,5,5,gb_importance
6,freq_band_power_250_350,44,frequency,3,5,gb_importance
7,mfcc_02_mean,47,mfcc,4,5,gb_importance
8,mfcc_04_mean,49,mfcc,5,5,gb_importance
9,mfcc_05_mean,50,mfcc,4,5,gb_importance
10,mfcc_01_std,59,mfcc,3,5,gb_importance
11,mfcc_05_std,63,mfcc,3,5,gb_importance
12,chroma_07_std,103,chroma,3,5,gb_importance
13,dwt_cA5_energy,109,dwt,3,5,gb_importance
14,dwt_cD5_energy,110,dwt,5,5,gb_importance
15,dwt_cD4_energy,111,dwt,3,5,gb_importance
16,dwt_cD1_energy,114,dwt,5,5,gb_importance
17,dwt_cD1_entropy,126,dwt,5,5,gb_importance
18,dwt_cD5_mean_abs,128,dwt,5,5,gb_importance
19,dwt_cD4_mean_abs,129,dwt,3,5,gb_importance
20,dwt_cD3_mean_abs,130,dwt,3,5,gb_importance
