task,model_id,kind,fold_label,family,n_features,total_importance,positive_importance,mean_importance,max_importance,n_negative,share_of_positive,net_is_negative
binary,M1,permutation,r0f0,chroma,24,0.09435127978817334,0.10216902030008856,0.003931303324507223,0.013090614886731411,4,0.09492287759637241,False
binary,M1,permutation,r0f0,dwt,24,0.1942174168873201,0.21991909385113287,0.008092392370305004,0.10079802883200939,9,0.20432175198921942,False
binary,M1,permutation,r0f0,envelope,5,0.04134524860253016,0.04134524860253016,0.008269049720506032,0.02643718740806117,0,0.03841291578173384,False
binary,M1,permutation,r0f0,frequency,22,0.1936532803765817,0.20343189173286286,0.008802421835299168,0.049255663430420725,4,0.18900387320382564,False
binary,M1,permutation,r0f0,mfcc,39,0.1327441894674908,0.17144454251250393,0.0034036971658330975,0.052020447190350094,15,0.15928516565668166,False
binary,M1,permutation,r0f0,time,24,0.3178736393056784,0.33802736098852637,0.013244734971069934,0.13210135333921744,5,0.31405341577216694,False
binary,M3,permutation,r0f0,chroma,24,0.10629008531921141,0.10629008531921141,0.004428753554967142,0.014422624301265074,0,0.16949168445497392,False
binary,M3,permutation,r0f0,dwt,24,0.14720211827007942,0.14720211827007942,0.006133421594586643,0.0306163577522801,0,0.23473059510684716,False
binary,M3,permutation,r0f0,envelope,5,0.01800529567519863,0.01800529567519863,0.003601059135039726,0.004632980288320099,0,0.028711501020384302,False
binary,M3,permutation,r0f0,frequency,22,0.07137466902029993,0.07655192703736381,0.0032443031372863603,0.007973668726095928,3,0.12207079355398638,False
binary,M3,permutation,r0f0,mfcc,39,0.1625536922624303,0.17130553103854093,0.004168043391344366,0.027301412180052952,6,0.27316624052919275,False
binary,M3,permutation,r0f0,time,24,0.10672624301265073,0.10775595763459835,0.0044469267921937805,0.016607825831126764,1,0.17182918533461558,False
binary,M4,impurity,r0f0,chroma,24,0.0920374211183523,0.0920374211183523,0.0038348925465980124,0.009646934087735292,0,0.09203742111835231,False
