task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M1,permutation,time_zcr_mean,0.13210135333921744,0.009005998623842342,balanced_accuracy,10,647,held-out fold,1
binary,r0f0,M1,permutation,dwt_cD1_entropy,0.10079802883200939,0.015244615114352381,balanced_accuracy,10,647,held-out fold,2
binary,r0f0,M1,permutation,time_iqr,0.10024051191526921,0.017705640932646573,balanced_accuracy,10,647,held-out fold,3
binary,r0f0,M1,permutation,mfcc_04_mean,0.052020447190350094,0.016331191836367227,balanced_accuracy,10,647,held-out fold,4
binary,r0f0,M1,permutation,freq_rolloff95_mean,0.049255663430420725,0.008852840196454175,balanced_accuracy,10,647,held-out fold,5
binary,r0f0,M1,permutation,time_sample_entropy,0.041696822594880875,0.016233690751448857,balanced_accuracy,10,647,held-out fold,6
binary,r0f0,M1,permutation,freq_rolloff85_mean,0.029453515739923507,0.007436226112429989,balanced_accuracy,10,647,held-out fold,7
binary,r0f0,M1,permutation,dwt_cD2_mean_abs,0.028551044424830852,0.006112277480929932,balanced_accuracy,10,647,held-out fold,8
binary,r0f0,M1,permutation,mfcc_01_std,0.02682847896440127,0.008157247346119386,balanced_accuracy,10,647,held-out fold,9
binary,r0f0,M1,permutation,env_skew,0.02643718740806117,0.005003605925121854,balanced_accuracy,10,647,held-out fold,10
binary,r0f0,M1,permutation,freq_centroid_mean,0.02445939982347751,0.013698209879433196,balanced_accuracy,10,647,held-out fold,11
binary,r0f0,M1,permutation,dwt_cD1_mean_abs,0.02002647837599294,0.00455361139262856,balanced_accuracy,10,647,held-out fold,12
binary,r0f0,M1,permutation,time_hjorth_mobility,0.01842012356575463,0.013821286423438146,balanced_accuracy,10,647,held-out fold,13
binary,r0f0,M1,permutation,freq_band_power_250_350,0.01794939688143573,0.0027611657689130807,balanced_accuracy,10,647,held-out fold,14
binary,r0f0,M1,permutation,mfcc_08_mean,0.015514121800529556,0.007493278503758804,balanced_accuracy,10,647,held-out fold,15
binary,r0f0,M1,permutation,freq_flux_mean,0.01485583995292734,0.010688421377139927,balanced_accuracy,10,647,held-out fold,16
binary,r0f0,M1,permutation,dwt_cD2_energy,0.013996028243601067,0.0038178284105371053,balanced_accuracy,10,647,held-out fold,17
binary,r0f0,M1,permutation,freq_centroid_std,0.013440717858193629,0.00575515110684006,balanced_accuracy,10,647,held-out fold,18
binary,r0f0,M1,permutation,dwt_cD5_std,0.013394380700205943,0.006378003277014089,balanced_accuracy,10,647,held-out fold,19
binary,r0f0,M1,permutation,freq_band_power_150_250,0.013228890850250063,0.003340166965188632,balanced_accuracy,10,647,held-out fold,20
binary,r0f0,M1,permutation,chroma_09_mean,0.013090614886731411,0.0053420876489011304,balanced_accuracy,10,647,held-out fold,21
binary,r0f0,M1,permutation,mfcc_02_std,0.012764048249485172,0.008801174770916013,balanced_accuracy,10,647,held-out fold,22
binary,r0f0,M1,permutation,env_kurtosis,0.011565901735804662,0.008687820755235685,balanced_accuracy,10,647,held-out fold,23
binary,r0f0,M1,permutation,mfcc_08_std,0.011548249485142681,0.005910204643792498,balanced_accuracy,10,647,held-out fold,24
binary,r0f0,M1,permutation,chroma_07_std,0.0113731979994116,0.005208662553113107,balanced_accuracy,10,647,held-out fold,25
binary,r0f0,M1,permutation,time_shannon_entropy,0.010812739040894404,0.009430929595336611,balanced_accuracy,10,647,held-out fold,26
binary,r0f0,M1,permutation,chroma_02_mean,0.010060311856428361,0.006491141823622619,balanced_accuracy,10,647,held-out fold,27
binary,r0f0,M1,permutation,chroma_01_mean,0.009794057075610475,0.005381954831078948,balanced_accuracy,10,647,held-out fold,28
binary,r0f0,M1,permutation,chroma_05_mean,0.009363047955280989,0.006627813536376122,balanced_accuracy,10,647,held-out fold,29
binary,r0f0,M1,permutation,dwt_cD4_energy,0.008858487790526615,0.004830436158448225,balanced_accuracy,10,647,held-out fold,30
binary,r0f0,M1,permutation,dwt_cD2_entropy,0.008551779935275094,0.008029119881532331,balanced_accuracy,10,647,held-out fold,31
binary,r0f0,M1,permutation,freq_band_power_50_100,0.007472786113562812,0.007780027694517807,balanced_accuracy,10,647,held-out fold,32
binary,r0f0,M1,permutation,chroma_12_mean,0.006946896145925275,0.007251457301159867,balanced_accuracy,10,647,held-out fold,33
binary,r0f0,M1,permutation,freq_dominant,0.0068851132686084445,0.004083678843814608,balanced_accuracy,10,647,held-out fold,34
binary,r0f0,M1,permutation,dwt_cA5_energy,0.006733598117093287,0.007924759150280122,balanced_accuracy,10,647,held-out fold,35
binary,r0f0,M1,permutation,mfcc_05_std,0.005780376581347469,0.006010433166768234,balanced_accuracy,10,647,held-out fold,36
binary,r0f0,M1,permutation,mfcc_12_mean,0.005759782288908522,0.003160575673593154,balanced_accuracy,10,647,held-out fold,37
binary,r0f0,M1,permutation,freq_band_power_20_50,0.005345689908796736,0.007128821143743415,balanced_accuracy,10,647,held-out fold,38
binary,r0f0,M1,permutation,dwt_cD5_energy,0.005215504560164763,0.0031269583618532206,balanced_accuracy,10,647,held-out fold,39
binary,r0f0,M1,permutation,mfcc_03_delta_mean,0.005186819652839103,0.003556756641783896,balanced_accuracy,10,647,held-out fold,40
binary,r0f0,M1,permutation,mfcc_04_std,0.005127978817299206,0.0017201537349165344,balanced_accuracy,10,647,held-out fold,41
binary,r0f0,M1,permutation,freq_flatness_std,0.005030891438658436,0.002541577598614969,balanced_accuracy,10,647,held-out fold,42
binary,r0f0,M1,permutation,chroma_03_std,0.005002206531332765,0.005331291481059396,balanced_accuracy,10,647,held-out fold,43
binary,r0f0,M1,permutation,mfcc_09_std,0.004972050603118583,0.005159410482848489,balanced_accuracy,10,647,held-out fold,44
binary,r0f0,M1,permutation,chroma_11_mean,0.004699911738746709,0.005459444871894301,balanced_accuracy,10,647,held-out fold,45
binary,r0f0,M1,permutation,chroma_06_mean,0.004555016181229776,0.007139301034692414,balanced_accuracy,10,647,held-out fold,46
