task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,time_zcr_mean,0.18822103696304043,0.03319952717156813,0.13210135333921744,0.22011591744416173,1.0,0.0,1,1,5,5,1
binary,M1,permutation,dwt_cD1_entropy,0.12280085800967941,0.016365857356420557,0.10079802883200939,0.13717413897629835,2.0,0.0,2,2,5,5,2
binary,M1,permutation,time_iqr,0.09420503946521523,0.015575100275468268,0.06840881548910746,0.11009555703109206,3.0,0.0,3,3,5,5,3
binary,M1,permutation,mfcc_04_mean,0.06035367499766516,0.013458178082750303,0.04388862272073948,0.07432927101468684,4.2,0.44721359549995787,4,5,5,5,4
binary,M1,permutation,time_sample_entropy,0.039449032395576664,0.014185221098737169,0.018079079198473246,0.05611738214151675,7.4,1.6733200530681511,6,10,5,5,5
binary,M1,permutation,freq_rolloff95_mean,0.03219051822555279,0.020799987410945582,-0.0020446410957359884,0.049255663430420725,27.6,44.47246339028231,5,107,5,4,6
binary,M1,permutation,time_hjorth_mobility,0.032037881229757224,0.037001144102306795,-0.0018480140744275397,0.07744449897514356,29.8,31.411781229341326,4,71,5,4,7
binary,M1,permutation,chroma_01_mean,0.027634148922893564,0.017005736810424443,0.009794057075610475,0.052418790827790405,12.6,9.370165420097983,6,28,5,5,8
binary,M1,permutation,freq_centroid_mean,0.026840427926271827,0.006307146437274495,0.02068806452092913,0.037008567483020026,11.2,5.215361924162119,6,19,5,5,9
binary,M1,permutation,dwt_cD2_mean_abs,0.02411155379495292,0.010321830050215176,0.009876151159098068,0.0372044402779638,12.6,6.024948132556827,8,23,5,5,10
binary,M1,permutation,freq_band_power_20_50,0.022496514703485175,0.023676159174514662,-0.004803047471374089,0.04805421634573739,33.8,40.13975585376672,7,102,5,4,11
binary,M1,permutation,dwt_cA5_energy,0.019600787577063045,0.018535913384284477,0.0023555496034403543,0.04075247553335829,30.0,31.28897569432403,5,82,5,5,12
binary,M1,permutation,mfcc_01_std,0.019153489503462413,0.014391185487144765,0.00337174976145036,0.03977575405859855,17.2,7.854934754662192,9,28,5,5,13
binary,M1,permutation,env_skew,0.017013877271804118,0.018486402438187728,-0.007447220896946616,0.03873524062472929,37.2,48.463388243085106,10,123,5,4,14
binary,M1,permutation,dwt_cD5_std,0.015583612394638905,0.018506704356269287,0.0011718749999999223,0.0475915875169606,27.8,20.06738647656939,8,60,5,5,15
binary,M1,permutation,dwt_cD2_energy,0.013182398753144295,0.01115698255706288,-0.00218395450215082,0.02878420652143283,29.6,25.065913109240604,10,69,5,4,16
binary,M1,permutation,mfcc_03_mean,0.01224897533216136,0.014310705277398353,-0.004698440717858188,0.03427823162656429,40.6,51.29619868957153,13,132,5,4,17
binary,M1,permutation,freq_band_power_150_250,0.01178150826969714,0.008535528481130088,-0.0016448223101129256,0.02216061212411573,30.2,22.709029041330677,13,67,5,4,18
binary,M1,permutation,freq_bandwidth_mean,0.011466052279785225,0.011072111627742874,-0.004117387466902012,0.020786617366412175,41.0,50.53711507397311,7,130,5,4,19
binary,M1,permutation,freq_rolloff85_mean,0.011367884802015223,0.011239380455331143,-0.0005766111631921201,0.029453515739923507,38.0,46.09772228646444,7,119,5,4,20
binary,M1,permutation,dwt_cD1_mean_abs,0.010639917252396198,0.010363911997858475,-0.0037335084731083936,0.02030340907399969,31.6,28.640879874752454,12,82,5,4,21
binary,M1,permutation,freq_band_power_50_100,0.008874225768071065,0.010690150322381563,-0.002921562400762201,0.024924611785925654,43.4,33.13306505592261,12,84,5,4,22
binary,M1,permutation,chroma_07_std,0.008841111725757602,0.011320851906166645,-0.0007051300557175844,0.02693778551552759,35.8,20.656718035544756,15,60,5,3,23
binary,M1,permutation,dwt_cD5_mean_abs,0.008113348214051097,0.011124157666844246,-0.00220432480141215,0.022958052467895774,47.6,43.72413521157394,11,119,5,3,24
binary,M1,permutation,freq_centroid_std,0.00804979970961769,0.009915920271417765,-0.00135824188931305,0.022804785500647295,34.4,19.65451602049768,18,66,5,4,25
binary,M1,permutation,dwt_cA5_std,0.007631971895973738,0.020002731528317705,-0.0037878787878787624,0.04321012454801125,69.2,48.33942490348846,9,126,5,2,26
binary,M1,permutation,freq_band_power_250_350,0.007467913047138622,0.009309925931194576,-0.007061404774964697,0.01794939688143573,40.4,38.61087929586686,14,108,5,4,27
binary,M1,permutation,env_kurtosis,0.007082855729133686,0.008217283418416845,-0.002225347082719542,0.017621114336442777,49.0,48.595267259271246,15,131,5,3,28
binary,M1,permutation,mfcc_02_std,0.0069050188544236375,0.009640258156566354,-0.005462474988022448,0.015916700147314868,51.4,44.52302774969375,19,123,5,3,29
binary,M1,permutation,chroma_10_mean,0.00676143740760986,0.009735321205593173,-0.0017496123568702892,0.020033331845304547,51.4,41.944010299445615,17,117,5,3,30
binary,M1,permutation,mfcc_05_std,0.006146249701426492,0.007151128156559779,-0.002557088830509047,0.015860155052601833,37.2,19.81665965797465,20,71,5,4,31
binary,M1,permutation,mfcc_06_mean,0.006077394989880502,0.014087625508945704,-0.0023793762871432535,0.031004568248441288,62.6,46.18224767158914,14,120,5,3,32
binary,M1,permutation,dwt_cD4_std,0.00585916237668892,0.014884027956713976,-0.010051531510724975,0.029564157483865493,63.8,51.04115986142948,9,120,5,3,33
binary,M1,permutation,time_shannon_entropy,0.0052734157504739755,0.008222803720354764,-0.0067994095896947385,0.013610999508950483,50.4,38.61735361207445,26,117,5,4,34
binary,M1,permutation,dwt_cD1_energy,0.004973964190342793,0.01108292069092666,-0.0028552515445718907,0.024444268021594086,64.0,42.80770958600799,12,122,5,3,35
binary,M1,permutation,mfcc_02_mean,0.004606555113145448,0.006937613673230941,-0.005231685789938201,0.010588621183206049,60.8,47.72525536862008,18,133,5,3,36
binary,M1,permutation,chroma_09_mean,0.004049807221638291,0.011696761807867297,-0.0065107249054534464,0.01941133580346115,62.2,49.32747712989181,21,127,5,3,37
binary,M1,permutation,dwt_cD3_std,0.003997457751292992,0.008026118828552972,-0.007056595896946627,0.013878100680029159,58.4,38.15494725458286,25,120,5,4,38
binary,M1,permutation,env_std,0.003915700101976838,0.011935040410571812,-0.009510187977341244,0.020498340847878816,71.8,50.805511512039715,20,136,5,3,39
binary,M1,permutation,mfcc_12_mean,0.003610914680205866,0.0057719034187113695,-0.0007722007722007929,0.012765799145871481,54.4,25.608592308051605,33,96,5,3,40
binary,M1,permutation,chroma_03_mean,0.0034978152625211624,0.0066144182159467504,-0.0006403566316794285,0.01507224379863994,57.4,21.477895613863105,29,88,5,3,41
