task,model_id,kind,fold_label,feature,mean_abs_shap,mean_signed_shap,n_rows,rank
binary,M4,shap,r0f0,time_mean,0.0008048419063255966,-0.0005851868424776474,400,123
binary,M4,shap,r0f0,time_std,0.0008112256446983658,-0.0005752758434952658,400,121
binary,M4,shap,r0f0,time_var,0.0006886564661748142,-0.0005715181301522646,400,136
binary,M4,shap,r0f0,time_min,0.000919849213387611,-0.0006579242621936311,400,112
binary,M4,shap,r0f0,time_max,0.0027362804934831803,-0.0008805944935922911,400,45
binary,M4,shap,r0f0,time_range,0.003952427030174787,-0.0008462309403179875,400,34
binary,M4,shap,r0f0,time_median,0.0013327578020986572,-0.0010674647111189321,400,78
binary,M4,shap,r0f0,time_iqr,0.009011862224849398,-0.001949940759902296,400,15
binary,M4,shap,r0f0,time_skewness,0.0014710490387408461,-0.0005956368998442619,400,70
binary,M4,shap,r0f0,time_kurtosis,0.0007160192475918883,-0.00040806390681018436,400,133
binary,M4,shap,r0f0,time_energy,0.012755756317170373,0.0003108539370609398,400,8
binary,M4,shap,r0f0,time_rms,0.0007954409196755234,-0.000581044440066666,400,124
binary,M4,shap,r0f0,time_peak_to_peak,0.0034237412482483825,-0.0008270221736655324,400,40
binary,M4,shap,r0f0,time_crest_factor,0.0025576364680786183,-0.00027715881139941603,400,49
binary,M4,shap,r0f0,time_zcr_mean,0.054387888225596086,0.004176343223965466,400,1
binary,M4,shap,r0f0,time_zcr_std,0.007070065677460002,0.0007731407748666129,400,18
binary,M4,shap,r0f0,time_shannon_entropy,0.0007445331944780683,-0.0006840233715839514,400,130
binary,M4,shap,r0f0,time_sample_entropy,0.004184842586401538,-0.001086479671430787,400,33
binary,M4,shap,r0f0,time_hjorth_activity,0.0007201532853241302,-0.000507784306426109,400,132
binary,M4,shap,r0f0,time_hjorth_mobility,0.001167653002965565,-0.0006867174872853195,400,92
binary,M4,shap,r0f0,time_hjorth_complexity,0.01125146779139903,-0.001021204456896483,400,11
binary,M4,shap,r0f0,time_autocorr_peak_value,0.0018707793858579209,-0.0010396452551347203,400,60
binary,M4,shap,r0f0,time_autocorr_peak_lag,0.0019473559665229795,-0.0007390835529676094,400,58
binary,M4,shap,r0f0,time_duration,0.013142685015659072,0.0010943361340318195,400,7
binary,M4,shap,r0f0,freq_centroid_mean,0.008826137459758738,0.001763359550965879,400,16
binary,M4,shap,r0f0,freq_centroid_std,0.001836406200724497,-0.001320434288689027,400,62
binary,M4,shap,r0f0,freq_bandwidth_mean,0.0013065428776416479,-0.0011205690396745524,400,82
binary,M4,shap,r0f0,freq_bandwidth_std,0.0014661219188909142,-0.0009120249709156663,400,71
binary,M4,shap,r0f0,freq_rolloff85_mean,0.0025775397868593158,-0.0004179761303782082,400,48
binary,M4,shap,r0f0,freq_rolloff85_std,0.0019135769719584477,-0.0012669633911028726,400,59
binary,M4,shap,r0f0,freq_rolloff95_mean,0.0012592726123505393,-0.001097614974173464,400,85
binary,M4,shap,r0f0,freq_rolloff95_std,0.0018614355712338671,-0.0013573181199886624,400,61
binary,M4,shap,r0f0,freq_flatness_mean,0.0009481704706677513,-0.0003775760860934924,400,109
binary,M4,shap,r0f0,freq_flatness_std,0.0009520978938830789,-0.00034152214588683617,400,107
binary,M4,shap,r0f0,freq_flux_mean,0.004367477369762627,-0.00035288367612957866,400,32
binary,M4,shap,r0f0,freq_flux_std,0.0021962871914596085,-0.0006890494199676026,400,53
binary,M4,shap,r0f0,freq_spectral_entropy,0.000934756205567424,-0.0008244462348550363,400,111
binary,M4,shap,r0f0,freq_dominant,0.0008332418224497313,-0.00011269323255789486,400,119
binary,M4,shap,r0f0,freq_peak_power,0.0008433338306356216,-0.0007002925753594577,400,118
