model_id,kind,feature,importance,scoring,n_repeats,n_scored_rows,computed_on,rank,importance_std
M4,impurity,time_zcr_mean,0.06646062669788995,mean decrease in impurity,0,0,train,1,
M4,impurity,mfcc_04_mean,0.060856126553966286,mean decrease in impurity,0,0,train,2,
M4,impurity,dwt_cD1_entropy,0.05953214018666161,mean decrease in impurity,0,0,train,3,
M4,impurity,dwt_cD2_entropy,0.03925375314806611,mean decrease in impurity,0,0,train,4,
M4,impurity,dwt_cA5_energy,0.022800653165203154,mean decrease in impurity,0,0,train,5,
M4,impurity,dwt_cA5_mean_abs,0.021864696585417225,mean decrease in impurity,0,0,train,6,
M4,impurity,mfcc_05_mean,0.018801286286576017,mean decrease in impurity,0,0,train,7,
M4,impurity,time_hjorth_complexity,0.018579050670708162,mean decrease in impurity,0,0,train,8,
M4,impurity,mfcc_06_mean,0.017744751331740496,mean decrease in impurity,0,0,train,9,
M4,impurity,mfcc_01_std,0.01748522542577169,mean decrease in impurity,0,0,train,10,
M4,impurity,time_duration,0.016030357583344625,mean decrease in impurity,0,0,train,11,
M4,impurity,time_energy,0.01534060515118454,mean decrease in impurity,0,0,train,12,
M4,impurity,dwt_cD5_mean_abs,0.01475461646265561,mean decrease in impurity,0,0,train,13,
M4,impurity,mfcc_08_mean,0.01428481967238895,mean decrease in impurity,0,0,train,14,
M4,impurity,time_iqr,0.012700942224421415,mean decrease in impurity,0,0,train,15,
M4,impurity,dwt_cA5_std,0.012580795810004397,mean decrease in impurity,0,0,train,16,
M4,impurity,dwt_cD1_energy,0.012493163415069567,mean decrease in impurity,0,0,train,17,
M4,impurity,freq_centroid_mean,0.012395675910661416,mean decrease in impurity,0,0,train,18,
M4,impurity,mfcc_07_mean,0.01193085903826975,mean decrease in impurity,0,0,train,19,
M4,impurity,dwt_cD5_energy,0.011529700642036341,mean decrease in impurity,0,0,train,20,
M4,impurity,freq_band_power_250_350,0.011523096394714945,mean decrease in impurity,0,0,train,21,
M4,impurity,time_zcr_std,0.010747753127645221,mean decrease in impurity,0,0,train,22,
M4,impurity,chroma_12_mean,0.009646934087735292,mean decrease in impurity,0,0,train,23,
M4,impurity,dwt_cD3_entropy,0.009398681738482238,mean decrease in impurity,0,0,train,24,
M4,impurity,dwt_cD4_energy,0.009346107602925648,mean decrease in impurity,0,0,train,25,
M4,impurity,dwt_cD2_energy,0.009308301115414455,mean decrease in impurity,0,0,train,26,
M4,impurity,freq_band_power_350_400,0.00908177437141968,mean decrease in impurity,0,0,train,27,
M4,impurity,dwt_cD1_std,0.009003650808472543,mean decrease in impurity,0,0,train,28,
M4,impurity,dwt_cD4_mean_abs,0.008640518928290456,mean decrease in impurity,0,0,train,29,
M4,impurity,dwt_cD4_std,0.00832067320163653,mean decrease in impurity,0,0,train,30,
M4,impurity,env_mean,0.00802478924005196,mean decrease in impurity,0,0,train,31,
M4,impurity,mfcc_03_mean,0.007579212360640841,mean decrease in impurity,0,0,train,32,
M4,impurity,chroma_01_mean,0.0073284697527125735,mean decrease in impurity,0,0,train,33,
M4,impurity,dwt_cD3_mean_abs,0.006897958519753207,mean decrease in impurity,0,0,train,34,
M4,impurity,freq_band_power_50_100,0.006819139998651294,mean decrease in impurity,0,0,train,35,
M4,impurity,mfcc_11_mean,0.006715789279571494,mean decrease in impurity,0,0,train,36,
M4,impurity,time_sample_entropy,0.0065600943662972415,mean decrease in impurity,0,0,train,37,
M4,impurity,freq_flux_mean,0.006556507644456186,mean decrease in impurity,0,0,train,38,
M4,impurity,dwt_cD2_std,0.006457917142574663,mean decrease in impurity,0,0,train,39,
M4,impurity,mfcc_12_mean,0.00615055047463961,mean decrease in impurity,0,0,train,40,
M4,impurity,dwt_cD5_std,0.0057906993004915,mean decrease in impurity,0,0,train,41,
M4,impurity,time_peak_to_peak,0.005751067768638059,mean decrease in impurity,0,0,train,42,
M4,impurity,env_std,0.0056372379506518565,mean decrease in impurity,0,0,train,43,
M4,impurity,time_range,0.005571668888352401,mean decrease in impurity,0,0,train,44,
