model_id,parameter,kind,low,high,choices
M1,C,log_uniform,0.001,1000.0,
M1,l1_ratio,categorical,,,0.0|0.5|1.0
M1,solver,categorical,,,lbfgs|liblinear|saga
M1,max_iter,categorical,,,1000|2000|5000
M2,n_neighbors,int_uniform,3.0,31.0,
M2,weights,categorical,,,uniform|distance
M2,metric,categorical,,,minkowski|manhattan|chebyshev
M2,p,categorical,,,1|2
M3,C,log_uniform,0.01,1000.0,
M3,gamma,log_uniform,0.0001,10.0,
M3,class_weight,categorical,,,balanced|None
M4,n_estimators,int_uniform,100.0,1000.0,
M4,max_depth,categorical,,,None|5|10|20|30
M4,min_samples_leaf,int_uniform,1.0,10.0,
M4,max_features,categorical,,,sqrt|log2|0.3|0.5
M4,class_weight,categorical,,,balanced|balanced_subsample|None
M5,n_estimators,int_uniform,100.0,800.0,
M5,learning_rate,log_uniform,0.001,0.5,
M5,max_depth,int_uniform,2.0,8.0,
M5,subsample,uniform,0.6,1.0,
M5,min_samples_leaf,int_uniform,1.0,20.0,
M8,n_estimators,int_uniform,100.0,1000.0,
M8,learning_rate,log_uniform,0.001,0.5,
M8,max_depth,int_uniform,2.0,10.0,
M8,subsample,uniform,0.6,1.0,
M8,colsample_bytree,uniform,0.5,1.0,
M8,reg_lambda,log_uniform,0.01,100.0,
