method,model_id,task,outer_fold,trial,score,best_so_far,elapsed_seconds
random,M1,binary,r0f0,0,0.842119,0.842119,82.8658
random,M1,binary,r0f0,1,0.803124,0.842119,83.8731
random,M1,binary,r0f0,2,0.848634,0.848634,91.0727
random,M1,binary,r0f0,3,0.838024,0.848634,91.4556
random,M1,binary,r0f0,4,0.838021,0.848634,92.8687
random,M1,binary,r0f0,5,0.838993,0.848634,113.5652
random,M1,binary,r0f0,6,0.842362,0.848634,186.6809
random,M1,binary,r0f0,7,0.832781,0.848634,187.8278
random,M1,binary,r0f0,8,0.844485,0.848634,221.0843
random,M1,binary,r0f0,9,0.848634,0.848634,221.4844
random,M1,binary,r0f0,10,0.853236,0.853236,231.4825
random,M1,binary,r0f0,11,0.842926,0.853236,239.8439
random,M1,binary,r0f0,12,0.838535,0.853236,261.15
random,M1,binary,r0f0,13,0.842357,0.853236,262.2365
random,M1,binary,r0f0,14,0.839641,0.853236,279.4448
random,M1,binary,r0f0,15,0.847282,0.853236,280.1976
random,M1,binary,r0f0,16,0.831597,0.853236,280.4906
random,M1,binary,r0f0,17,0.83584,0.853236,280.8693
random,M1,binary,r0f0,18,0.832749,0.853236,287.0829
random,M1,binary,r0f0,19,0.82515,0.853236,287.3633
random,M1,binary,r0f0,20,0.79608,0.853236,288.1921
random,M1,binary,r0f0,21,0.829803,0.853236,290.162
random,M1,binary,r0f0,22,0.826253,0.853236,291.7797
random,M1,binary,r0f0,23,0.833131,0.853236,292.118
random,M1,binary,r0f0,24,0.84353,0.853236,327.1499
random,M1,binary,r0f0,25,0.837356,0.853236,328.5505
random,M1,binary,r0f0,26,0.840174,0.853236,347.4169
random,M1,binary,r0f0,27,0.831289,0.853236,347.7375
random,M1,binary,r0f0,28,0.845903,0.853236,348.5104
random,M1,binary,r0f0,29,0.844015,0.853236,370.619
random,M1,binary,r0f0,30,0.846388,0.853236,371.3823
random,M1,binary,r0f0,31,0.851314,0.853236,379.8719
random,M1,binary,r0f0,32,0.851013,0.853236,380.4022
random,M1,binary,r0f0,33,0.833421,0.853236,380.6756
random,M1,binary,r0f0,34,0.833968,0.853236,381.8515
random,M1,binary,r0f0,35,0.826839,0.853236,382.6794
random,M1,binary,r0f0,36,0.852666,0.853236,386.0477
random,M1,binary,r0f0,37,0.847318,0.853236,394.3976
random,M1,binary,r0f0,38,0.844015,0.853236,416.5637
random,M1,binary,r0f0,39,0.847567,0.853236,417.1705
random,M3,binary,r0f0,0,0.80036,0.80036,3.2381
random,M3,binary,r0f0,1,0.707231,0.80036,5.3673
random,M3,binary,r0f0,2,0.499758,0.80036,11.1327
random,M3,binary,r0f0,3,0.755971,0.80036,15.9229
random,M3,binary,r0f0,4,0.5,0.80036,22.9189
random,M3,binary,r0f0,5,0.801297,0.801297,26.4565
random,M3,binary,r0f0,6,0.719633,0.801297,31.9468
random,M3,binary,r0f0,7,0.721073,0.801297,37.8809
random,M3,binary,r0f0,8,0.773418,0.801297,39.9981
random,M3,binary,r0f0,9,0.5,0.801297,45.8542
random,M3,binary,r0f0,10,0.76414,0.801297,50.5496
random,M3,binary,r0f0,11,0.620795,0.801297,56.0015
random,M3,binary,r0f0,12,0.5,0.801297,63.2479
random,M3,binary,r0f0,13,0.800151,0.801297,67.0234
random,M3,binary,r0f0,14,0.714371,0.801297,72.1667
random,M3,binary,r0f0,15,0.648393,0.801297,77.6848
random,M3,binary,r0f0,16,0.5,0.801297,83.4067
random,M3,binary,r0f0,17,0.5,0.801297,89.004
random,M3,binary,r0f0,18,0.788743,0.801297,91.4623
random,M3,binary,r0f0,19,0.710703,0.801297,93.4204
random,M3,binary,r0f0,20,0.669889,0.801297,98.8754
random,M3,binary,r0f0,21,0.567058,0.801297,104.5944
random,M3,binary,r0f0,22,0.800533,0.801297,108.5076
random,M3,binary,r0f0,23,0.679376,0.801297,114.132
random,M3,binary,r0f0,24,0.79391,0.801297,118.1831
random,M3,binary,r0f0,25,0.718501,0.801297,123.9318
random,M3,binary,r0f0,26,0.7654,0.801297,129.3896
random,M3,binary,r0f0,27,0.74059,0.801297,134.7447
random,M3,binary,r0f0,28,0.77976,0.801297,138.4371
random,M3,binary,r0f0,29,0.68713,0.801297,143.5929
random,M3,binary,r0f0,30,0.775765,0.801297,146.7203
random,M3,binary,r0f0,31,0.5,0.801297,152.7195
random,M3,binary,r0f0,32,0.796592,0.801297,155.4744
random,M3,binary,r0f0,33,0.670584,0.801297,160.9153
random,M3,binary,r0f0,34,0.521228,0.801297,166.3196
random,M3,binary,r0f0,35,0.730619,0.801297,171.5683
random,M3,binary,r0f0,36,0.589436,0.801297,177.1839
random,M3,binary,r0f0,37,0.767885,0.801297,179.6558
random,M3,binary,r0f0,38,0.788353,0.801297,181.9253
random,M3,binary,r0f0,39,0.5,0.801297,188.988
random,M4,binary,r0f0,0,0.831377,0.831377,3.9262
random,M4,binary,r0f0,1,0.844747,0.844747,21.0946
random,M4,binary,r0f0,2,0.844035,0.844747,58.9013
random,M4,binary,r0f0,3,0.843373,0.844747,118.3499
random,M4,binary,r0f0,4,0.843596,0.844747,148.4395
random,M4,binary,r0f0,5,0.84156,0.844747,176.1345
random,M4,binary,r0f0,6,0.844239,0.844747,198.3359
random,M4,binary,r0f0,7,0.83003,0.844747,201.1005
random,M4,binary,r0f0,8,0.836199,0.844747,205.0071
random,M4,binary,r0f0,9,0.842017,0.844747,245.1613
random,M4,binary,r0f0,10,0.836956,0.844747,257.5609
random,M4,binary,r0f0,11,0.845374,0.845374,264.6932
random,M4,binary,r0f0,12,0.841737,0.845374,333.4713
random,M4,binary,r0f0,13,0.839851,0.845374,341.0252
random,M4,binary,r0f0,14,0.84397,0.845374,356.0883
random,M4,binary,r0f0,15,0.842795,0.845374,374.3098
random,M4,binary,r0f0,16,0.841281,0.845374,442.181
random,M4,binary,r0f0,17,0.841971,0.845374,496.9815
random,M4,binary,r0f0,18,0.835911,0.845374,504.3302
random,M4,binary,r0f0,19,0.845019,0.845374,516.9411
random,M4,binary,r0f0,20,0.836098,0.845374,531.9312
random,M4,binary,r0f0,21,0.831587,0.845374,543.9172
random,M4,binary,r0f0,22,0.834765,0.845374,549.4317
random,M4,binary,r0f0,23,0.841535,0.845374,561.7565
random,M4,binary,r0f0,24,0.832993,0.845374,569.4863
random,M4,binary,r0f0,25,0.846834,0.846834,594.8132
random,M4,binary,r0f0,26,0.844707,0.846834,625.0766
random,M4,binary,r0f0,27,0.832961,0.846834,631.3638
random,M4,binary,r0f0,28,0.832785,0.846834,644.369
random,M4,binary,r0f0,29,0.842547,0.846834,712.3375
random,M4,binary,r0f0,30,0.828197,0.846834,723.8664
random,M4,binary,r0f0,31,0.841272,0.846834,755.0568
random,M4,binary,r0f0,32,0.837235,0.846834,770.0168
