method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_l1_ratio,param_max_iter,param_solver,message,best_so_far,param_class_weight,param_gamma,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_lambda
random,M1,binary,r0f0,0,0,balanced_accuracy,0,0.842119,0.019193,3,82.8658,ok,0.849595,0.842061,0.693878,0.829268,0.854854,0.855649,0.814976,0.855732,0.868298,0.855649,0.720988,0.834286,0.877013,0.797701,0.814976,0.633333,0.844444,0.785507,0.883237,0.855732,0.74036,0.808989,0.902475,714.0590204667265,1.0,5000.0,saga,,0.842119,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,1,0.803124,0.011228,3,1.0073,ok,0.780177,0.80324,0.611717,0.842402,0.764078,0.799849,0.791304,0.818217,0.806527,0.799849,0.624434,0.788571,0.811127,0.747126,0.791304,0.586466,0.866667,0.715942,0.787283,0.818217,0.62753,0.870787,0.765648,0.00587059061632863,1.0,2000.0,saga,,0.842119,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,2,0.848634,0.022182,3,7.1996,ok,0.842268,0.848576,0.691321,0.859287,0.837864,0.864882,0.817271,0.86375,0.869464,0.864882,0.728155,0.857143,0.872621,0.785057,0.817271,0.626747,0.872222,0.762319,0.872832,0.86375,0.73301,0.848315,0.879185,0.16779852749843735,0.0,5000.0,saga,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,3,0.838024,0.019528,3,0.3829,ok,0.813344,0.838021,0.659634,0.879925,0.796117,0.847241,0.81087,0.855961,0.837995,0.847241,0.684807,0.862857,0.831625,0.758621,0.81087,0.606742,0.9,0.721739,0.843931,0.855961,0.697987,0.876404,0.835517,0.02309044648709163,0.0,5000.0,liblinear,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,4,0.838021,0.022532,3,1.4131,ok,0.850752,0.837922,0.692124,0.816135,0.859709,0.853524,0.806159,0.854378,0.868298,0.853524,0.719603,0.828571,0.878477,0.8,0.806159,0.628205,0.816667,0.795652,0.884393,0.854378,0.740933,0.803371,0.905386,92.42448343433196,0.0,2000.0,lbfgs,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,5,0.838993,0.022704,3,20.6965,ok,0.852295,0.838893,0.694334,0.816135,0.86165,0.854988,0.806884,0.855106,0.870629,0.854988,0.723192,0.828571,0.881406,0.801149,0.806884,0.62955,0.816667,0.797101,0.885549,0.855106,0.742857,0.803371,0.906841,35.36115488569461,1.0,1000.0,liblinear,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,6,0.842362,0.018861,3,73.1157,ok,0.849981,0.842304,0.694423,0.829268,0.85534,0.856382,0.8157,0.855004,0.869464,0.856382,0.722772,0.834286,0.878477,0.798851,0.8157,0.634656,0.844444,0.786957,0.882081,0.855004,0.738462,0.808989,0.901019,228.41610834181893,1.0,5000.0,saga,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,7,0.832781,0.023757,3,1.147,ok,0.819514,0.832864,0.66087,0.855535,0.810194,0.825919,0.807729,0.864694,0.834499,0.825919,0.666667,0.811429,0.84041,0.766667,0.807729,0.608863,0.877778,0.737681,0.857803,0.864694,0.717241,0.876404,0.852984,0.008428241134430862,0.0,5000.0,saga,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,8,0.844485,0.023104,3,33.2564,ok,0.849981,0.84439,0.695856,0.834897,0.853883,0.864292,0.812077,0.857085,0.875291,0.864292,0.734491,0.845714,0.88287,0.793103,0.812077,0.628099,0.844444,0.77971,0.882081,0.857085,0.739796,0.814607,0.899563,29.415276526364973,0.5,2000.0,saga,,0.848634,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,9,0.848634,0.022182,3,0.4002,ok,0.842268,0.848576,0.691321,0.859287,0.837864,0.864882,0.817271,0.86375,0.869464,0.864882,0.728155,0.857143,0.872621,0.785057,0.817271,0.626747,0.872222,0.762319,0.872832,0.86375,0.73301,0.848315,0.879185,0.16701606076283917,0.0,2000.0,lbfgs,,0.848634,,,,,,,,,,
