outer_fold,inner_fold,role,row,record_uid
r0f0,0,train,0,D1_training-a_a0001
r0f0,0,train,1,D1_training-a_a0002
r0f0,0,train,3,D1_training-a_a0004
r0f0,0,train,5,D1_training-a_a0006
r0f0,0,train,7,D1_training-a_a0008
r0f0,0,train,12,D1_training-a_a0013
r0f0,0,train,17,D1_training-a_a0018
r0f0,0,train,19,D1_training-a_a0020
r0f0,0,train,20,D1_training-a_a0021
r0f0,0,train,21,D1_training-a_a0022
r0f0,0,train,23,D1_training-a_a0024
r0f0,0,train,29,D1_training-a_a0030
r0f0,0,train,31,D1_training-a_a0032
r0f0,0,train,36,D1_training-a_a0037
r0f0,0,train,37,D1_training-a_a0038
r0f0,0,train,39,D1_training-a_a0040
r0f0,0,train,40,D1_training-a_a0041
r0f0,0,train,41,D1_training-a_a0042
r0f0,0,train,45,D1_training-a_a0046
r0f0,0,train,46,D1_training-a_a0047
r0f0,0,train,51,D1_training-a_a0052
r0f0,0,train,52,D1_training-a_a0053
r0f0,0,train,58,D1_training-a_a0059
r0f0,0,train,59,D1_training-a_a0060
r0f0,0,train,61,D1_training-a_a0062
r0f0,0,train,62,D1_training-a_a0063
r0f0,0,train,63,D1_training-a_a0064
r0f0,0,train,64,D1_training-a_a0065
r0f0,0,train,67,D1_training-a_a0068
r0f0,0,train,74,D1_training-a_a0075
r0f0,0,train,80,D1_training-a_a0081
r0f0,0,train,82,D1_training-a_a0083
r0f0,0,train,85,D1_training-a_a0086
r0f0,0,train,86,D1_training-a_a0087
r0f0,0,train,88,D1_training-a_a0089
r0f0,0,train,89,D1_training-a_a0090
r0f0,0,train,91,D1_training-a_a0092
r0f0,0,train,92,D1_training-a_a0093
r0f0,0,train,93,D1_training-a_a0094
r0f0,0,train,94,D1_training-a_a0095
r0f0,0,train,95,D1_training-a_a0096
r0f0,0,train,96,D1_training-a_a0097
r0f0,0,train,97,D1_training-a_a0098
r0f0,0,train,104,D1_training-a_a0105
r0f0,0,train,107,D1_training-a_a0108
r0f0,0,train,109,D1_training-a_a0110
r0f0,0,train,110,D1_training-a_a0111
r0f0,0,train,112,D1_training-a_a0113
r0f0,0,train,114,D1_training-a_a0115
r0f0,0,train,116,D1_training-a_a0117
r0f0,0,train,118,D1_training-a_a0119
r0f0,0,train,119,D1_training-a_a0120
r0f0,0,train,120,D1_training-a_a0121
r0f0,0,train,121,D1_training-a_a0122
r0f0,0,train,122,D1_training-a_a0123
r0f0,0,train,123,D1_training-a_a0124
r0f0,0,train,124,D1_training-a_a0125
r0f0,0,train,125,D1_training-a_a0126
r0f0,0,train,126,D1_training-a_a0127
r0f0,0,train,127,D1_training-a_a0128
r0f0,0,train,128,D1_training-a_a0129
r0f0,0,train,129,D1_training-a_a0130
r0f0,0,train,131,D1_training-a_a0132
r0f0,0,train,134,D1_training-a_a0135
r0f0,0,train,136,D1_training-a_a0137
r0f0,0,train,137,D1_training-a_a0138
r0f0,0,train,143,D1_training-a_a0144
r0f0,0,train,144,D1_training-a_a0145
r0f0,0,train,148,D1_training-a_a0149
r0f0,0,train,149,D1_training-a_a0150
r0f0,0,train,151,D1_training-a_a0152
r0f0,0,train,156,D1_training-a_a0157
r0f0,0,train,158,D1_training-a_a0159
r0f0,0,train,159,D1_training-a_a0160
r0f0,0,train,160,D1_training-a_a0161
r0f0,0,train,166,D1_training-a_a0167
r0f0,0,train,167,D1_training-a_a0168
r0f0,0,train,168,D1_training-a_a0169
r0f0,0,train,169,D1_training-a_a0170
r0f0,0,train,170,D1_training-a_a0171
r0f0,0,train,173,D1_training-a_a0174
r0f0,0,train,175,D1_training-a_a0176
r0f0,0,train,177,D1_training-a_a0178
r0f0,0,train,179,D1_training-a_a0180
r0f0,0,train,180,D1_training-a_a0181
r0f0,0,train,181,D1_training-a_a0182
r0f0,0,train,182,D1_training-a_a0183
r0f0,0,train,184,D1_training-a_a0185
r0f0,0,train,185,D1_training-a_a0186
r0f0,0,train,187,D1_training-a_a0188
r0f0,0,train,190,D1_training-a_a0191
r0f0,0,train,191,D1_training-a_a0192
r0f0,0,train,193,D1_training-a_a0194
r0f0,0,train,197,D1_training-a_a0198
r0f0,0,train,198,D1_training-a_a0199
r0f0,0,train,199,D1_training-a_a0200
r0f0,0,train,200,D1_training-a_a0201
r0f0,0,train,202,D1_training-a_a0203
r0f0,0,train,205,D1_training-a_a0206
r0f0,0,train,206,D1_training-a_a0207
r0f0,0,train,207,D1_training-a_a0208
r0f0,0,train,208,D1_training-a_a0209
r0f0,0,train,211,D1_training-a_a0212
r0f0,0,train,213,D1_training-a_a0214
r0f0,0,train,214,D1_training-a_a0215
r0f0,0,train,215,D1_training-a_a0216
r0f0,0,train,217,D1_training-a_a0218
r0f0,0,train,218,D1_training-a_a0219
r0f0,0,train,219,D1_training-a_a0220
r0f0,0,train,220,D1_training-a_a0221
r0f0,0,train,225,D1_training-a_a0226
r0f0,0,train,226,D1_training-a_a0227
r0f0,0,train,227,D1_training-a_a0228
r0f0,0,train,229,D1_training-a_a0230
r0f0,0,train,232,D1_training-a_a0233
r0f0,0,train,233,D1_training-a_a0234
r0f0,0,train,235,D1_training-a_a0236
r0f0,0,train,236,D1_training-a_a0237
r0f0,0,train,240,D1_training-a_a0241
r0f0,0,train,242,D1_training-a_a0243
r0f0,0,train,243,D1_training-a_a0244
r0f0,0,train,244,D1_training-a_a0245
r0f0,0,train,245,D1_training-a_a0246
r0f0,0,train,247,D1_training-a_a0248
r0f0,0,train,248,D1_training-a_a0249
r0f0,0,train,250,D1_training-a_a0251
r0f0,0,train,251,D1_training-a_a0252
r0f0,0,train,252,D1_training-a_a0253
r0f0,0,train,253,D1_training-a_a0254
r0f0,0,train,259,D1_training-a_a0260
r0f0,0,train,261,D1_training-a_a0262
r0f0,0,train,263,D1_training-a_a0264
r0f0,0,train,268,D1_training-a_a0269
r0f0,0,train,271,D1_training-a_a0272
r0f0,0,train,272,D1_training-a_a0273
r0f0,0,train,273,D1_training-a_a0274
r0f0,0,train,275,D1_training-a_a0276
r0f0,0,train,277,D1_training-a_a0278
r0f0,0,train,278,D1_training-a_a0279
r0f0,0,train,279,D1_training-a_a0280
r0f0,0,train,281,D1_training-a_a0282
r0f0,0,train,283,D1_training-a_a0284
r0f0,0,train,290,D1_training-a_a0291
r0f0,0,train,291,D1_training-a_a0292
r0f0,0,train,293,D1_training-a_a0294
r0f0,0,train,294,D1_training-a_a0295
r0f0,0,train,295,D1_training-a_a0296
r0f0,0,train,296,D1_training-a_a0297
r0f0,0,train,299,D1_training-a_a0300
r0f0,0,train,301,D1_training-a_a0302
r0f0,0,train,303,D1_training-a_a0304
r0f0,0,train,304,D1_training-a_a0305
r0f0,0,train,305,D1_training-a_a0306
r0f0,0,train,312,D1_training-a_a0313
r0f0,0,train,316,D1_training-a_a0317
r0f0,0,train,318,D1_training-a_a0319
r0f0,0,train,320,D1_training-a_a0321
r0f0,0,train,323,D1_training-a_a0324
r0f0,0,train,325,D1_training-a_a0326
r0f0,0,train,328,D1_training-a_a0329
r0f0,0,train,329,D1_training-a_a0330
r0f0,0,train,331,D1_training-a_a0332
r0f0,0,train,332,D1_training-a_a0333
r0f0,0,train,333,D1_training-a_a0334
r0f0,0,train,334,D1_training-a_a0335
r0f0,0,train,335,D1_training-a_a0336
r0f0,0,train,337,D1_training-a_a0338
r0f0,0,train,342,D1_training-a_a0343
r0f0,0,train,343,D1_training-a_a0344
r0f0,0,train,344,D1_training-a_a0345
r0f0,0,train,345,D1_training-a_a0346
r0f0,0,train,348,D1_training-a_a0349
r0f0,0,train,349,D1_training-a_a0350
r0f0,0,train,351,D1_training-a_a0352
r0f0,0,train,359,D1_training-a_a0360
r0f0,0,train,361,D1_training-a_a0362
r0f0,0,train,362,D1_training-a_a0363
r0f0,0,train,365,D1_training-a_a0366
r0f0,0,train,366,D1_training-a_a0367
r0f0,0,train,367,D1_training-a_a0368
r0f0,0,train,368,D1_training-a_a0369
r0f0,0,train,369,D1_training-a_a0370
r0f0,0,train,372,D1_training-a_a0373
r0f0,0,train,373,D1_training-a_a0374
r0f0,0,train,377,D1_training-a_a0378
r0f0,0,train,378,D1_training-a_a0379
r0f0,0,train,380,D1_training-a_a0381
r0f0,0,train,381,D1_training-a_a0382
r0f0,0,train,385,D1_training-a_a0386
r0f0,0,train,388,D1_training-a_a0389
r0f0,0,train,389,D1_training-a_a0390
r0f0,0,train,390,D1_training-a_a0391
r0f0,0,train,395,D1_training-a_a0396
r0f0,0,train,396,D1_training-a_a0397
r0f0,0,train,398,D1_training-a_a0399
r0f0,0,train,399,D1_training-a_a0400
r0f0,0,train,401,D1_training-a_a0402
r0f0,0,train,402,D1_training-a_a0403
r0f0,0,train,406,D1_training-a_a0407
r0f0,0,train,409,D1_training-b_b0001
r0f0,0,train,411,D1_training-b_b0003
r0f0,0,train,413,D1_training-b_b0005
r0f0,0,train,414,D1_training-b_b0006
r0f0,0,train,416,D1_training-b_b0008
r0f0,0,train,421,D1_training-b_b0013
r0f0,0,train,422,D1_training-b_b0014
r0f0,0,train,423,D1_training-b_b0015
r0f0,0,train,428,D1_training-b_b0020
r0f0,0,train,429,D1_training-b_b0021
r0f0,0,train,431,D1_training-b_b0023
r0f0,0,train,432,D1_training-b_b0024
r0f0,0,train,433,D1_training-b_b0025
r0f0,0,train,434,D1_training-b_b0026
r0f0,0,train,435,D1_training-b_b0027
r0f0,0,train,439,D1_training-b_b0031
r0f0,0,train,440,D1_training-b_b0032
r0f0,0,train,441,D1_training-b_b0033
r0f0,0,train,444,D1_training-b_b0036
r0f0,0,train,446,D1_training-b_b0038
r0f0,0,train,447,D1_training-b_b0039
r0f0,0,train,451,D1_training-b_b0043
r0f0,0,train,452,D1_training-b_b0044
r0f0,0,train,453,D1_training-b_b0045
r0f0,0,train,454,D1_training-b_b0046
r0f0,0,train,455,D1_training-b_b0047
r0f0,0,train,456,D1_training-b_b0048
r0f0,0,train,458,D1_training-b_b0050
r0f0,0,train,459,D1_training-b_b0051
r0f0,0,train,463,D1_training-b_b0055
r0f0,0,train,465,D1_training-b_b0057
r0f0,0,train,466,D1_training-b_b0058
r0f0,0,train,467,D1_training-b_b0059
r0f0,0,train,469,D1_training-b_b0061
r0f0,0,train,470,D1_training-b_b0062
r0f0,0,train,473,D1_training-b_b0065
r0f0,0,train,480,D1_training-b_b0072
r0f0,0,train,481,D1_training-b_b0073
r0f0,0,train,483,D1_training-b_b0075
r0f0,0,train,484,D1_training-b_b0076
r0f0,0,train,487,D1_training-b_b0079
r0f0,0,train,489,D1_training-b_b0081
r0f0,0,train,490,D1_training-b_b0082
r0f0,0,train,491,D1_training-b_b0083
r0f0,0,train,492,D1_training-b_b0084
r0f0,0,train,493,D1_training-b_b0085
r0f0,0,train,494,D1_training-b_b0086
r0f0,0,train,496,D1_training-b_b0088
r0f0,0,train,497,D1_training-b_b0089
r0f0,0,train,499,D1_training-b_b0091
r0f0,0,train,500,D1_training-b_b0092
r0f0,0,train,504,D1_training-b_b0096
r0f0,0,train,505,D1_training-b_b0097
r0f0,0,train,507,D1_training-b_b0099
r0f0,0,train,509,D1_training-b_b0101
r0f0,0,train,510,D1_training-b_b0102
r0f0,0,train,511,D1_training-b_b0103
r0f0,0,train,512,D1_training-b_b0104
r0f0,0,train,513,D1_training-b_b0105
r0f0,0,train,514,D1_training-b_b0106
r0f0,0,train,515,D1_training-b_b0107
r0f0,0,train,516,D1_training-b_b0108
r0f0,0,train,517,D1_training-b_b0109
r0f0,0,train,521,D1_training-b_b0113
r0f0,0,train,522,D1_training-b_b0114
r0f0,0,train,525,D1_training-b_b0117
r0f0,0,train,526,D1_training-b_b0118
r0f0,0,train,527,D1_training-b_b0119
r0f0,0,train,528,D1_training-b_b0120
r0f0,0,train,529,D1_training-b_b0121
r0f0,0,train,533,D1_training-b_b0125
r0f0,0,train,535,D1_training-b_b0127
r0f0,0,train,543,D1_training-b_b0135
r0f0,0,train,547,D1_training-b_b0139
r0f0,0,train,548,D1_training-b_b0140
r0f0,0,train,549,D1_training-b_b0141
r0f0,0,train,550,D1_training-b_b0142
r0f0,0,train,551,D1_training-b_b0143
r0f0,0,train,552,D1_training-b_b0144
r0f0,0,train,554,D1_training-b_b0146
r0f0,0,train,557,D1_training-b_b0149
r0f0,0,train,558,D1_training-b_b0150
r0f0,0,train,560,D1_training-b_b0152
r0f0,0,train,563,D1_training-b_b0155
r0f0,0,train,564,D1_training-b_b0156
r0f0,0,train,565,D1_training-b_b0157
r0f0,0,train,566,D1_training-b_b0158
r0f0,0,train,567,D1_training-b_b0159
r0f0,0,train,569,D1_training-b_b0161
r0f0,0,train,572,D1_training-b_b0164
r0f0,0,train,573,D1_training-b_b0165
r0f0,0,train,577,D1_training-b_b0169
r0f0,0,train,580,D1_training-b_b0172
r0f0,0,train,583,D1_training-b_b0175
r0f0,0,train,584,D1_training-b_b0176
r0f0,0,train,586,D1_training-b_b0178
r0f0,0,train,587,D1_training-b_b0179
r0f0,0,train,589,D1_training-b_b0181
r0f0,0,train,601,D1_training-b_b0193
r0f0,0,train,602,D1_training-b_b0194
r0f0,0,train,606,D1_training-b_b0198
r0f0,0,train,607,D1_training-b_b0199
r0f0,0,train,609,D1_training-b_b0201
r0f0,0,train,611,D1_training-b_b0203
r0f0,0,train,612,D1_training-b_b0204
r0f0,0,train,613,D1_training-b_b0205
r0f0,0,train,618,D1_training-b_b0210
r0f0,0,train,620,D1_training-b_b0212
r0f0,0,train,621,D1_training-b_b0213
r0f0,0,train,622,D1_training-b_b0214
r0f0,0,train,623,D1_training-b_b0215
r0f0,0,train,624,D1_training-b_b0216
r0f0,0,train,626,D1_training-b_b0218
r0f0,0,train,628,D1_training-b_b0220
r0f0,0,train,631,D1_training-b_b0223
r0f0,0,train,632,D1_training-b_b0224
r0f0,0,train,633,D1_training-b_b0225
r0f0,0,train,636,D1_training-b_b0228
r0f0,0,train,637,D1_training-b_b0229
r0f0,0,train,638,D1_training-b_b0230
r0f0,0,train,639,D1_training-b_b0231
r0f0,0,train,640,D1_training-b_b0232
r0f0,0,train,641,D1_training-b_b0233
r0f0,0,train,642,D1_training-b_b0234
r0f0,0,train,645,D1_training-b_b0237
r0f0,0,train,648,D1_training-b_b0240
r0f0,0,train,649,D1_training-b_b0241
r0f0,0,train,653,D1_training-b_b0245
r0f0,0,train,654,D1_training-b_b0246
r0f0,0,train,655,D1_training-b_b0247
r0f0,0,train,660,D1_training-b_b0252
r0f0,0,train,661,D1_training-b_b0253
r0f0,0,train,663,D1_training-b_b0255
r0f0,0,train,665,D1_training-b_b0257
r0f0,0,train,666,D1_training-b_b0258
r0f0,0,train,669,D1_training-b_b0261
r0f0,0,train,673,D1_training-b_b0265
r0f0,0,train,674,D1_training-b_b0266
r0f0,0,train,675,D1_training-b_b0267
r0f0,0,train,676,D1_training-b_b0268
r0f0,0,train,678,D1_training-b_b0270
r0f0,0,train,683,D1_training-b_b0275
r0f0,0,train,687,D1_training-b_b0279
r0f0,0,train,689,D1_training-b_b0281
r0f0,0,train,691,D1_training-b_b0283
r0f0,0,train,692,D1_training-b_b0284
r0f0,0,train,693,D1_training-b_b0285
r0f0,0,train,695,D1_training-b_b0287
r0f0,0,train,696,D1_training-b_b0288
r0f0,0,train,697,D1_training-b_b0289
r0f0,0,train,701,D1_training-b_b0293
r0f0,0,train,702,D1_training-b_b0294
r0f0,0,train,704,D1_training-b_b0296
r0f0,0,train,706,D1_training-b_b0298
r0f0,0,train,707,D1_training-b_b0299
r0f0,0,train,708,D1_training-b_b0300
r0f0,0,train,710,D1_training-b_b0302
r0f0,0,train,711,D1_training-b_b0303
r0f0,0,train,712,D1_training-b_b0304
r0f0,0,train,713,D1_training-b_b0305
r0f0,0,train,715,D1_training-b_b0307
r0f0,0,train,717,D1_training-b_b0309
r0f0,0,train,719,D1_training-b_b0311
r0f0,0,train,720,D1_training-b_b0312
r0f0,0,train,721,D1_training-b_b0313
r0f0,0,train,722,D1_training-b_b0314
r0f0,0,train,728,D1_training-b_b0320
r0f0,0,train,729,D1_training-b_b0321
r0f0,0,train,730,D1_training-b_b0322
r0f0,0,train,732,D1_training-b_b0324
r0f0,0,train,733,D1_training-b_b0325
r0f0,0,train,734,D1_training-b_b0326
r0f0,0,train,735,D1_training-b_b0327
r0f0,0,train,736,D1_training-b_b0328
r0f0,0,train,737,D1_training-b_b0329
r0f0,0,train,738,D1_training-b_b0330
r0f0,0,train,741,D1_training-b_b0333
r0f0,0,train,743,D1_training-b_b0335
r0f0,0,train,745,D1_training-b_b0337
r0f0,0,train,746,D1_training-b_b0338
r0f0,0,train,748,D1_training-b_b0340
r0f0,0,train,749,D1_training-b_b0341
r0f0,0,train,751,D1_training-b_b0343
r0f0,0,train,752,D1_training-b_b0344
r0f0,0,train,753,D1_training-b_b0345
r0f0,0,train,754,D1_training-b_b0346
r0f0,0,train,756,D1_training-b_b0348
r0f0,0,train,757,D1_training-b_b0349
r0f0,0,train,758,D1_training-b_b0350
r0f0,0,train,759,D1_training-b_b0351
r0f0,0,train,760,D1_training-b_b0352
r0f0,0,train,761,D1_training-b_b0353
r0f0,0,train,764,D1_training-b_b0356
r0f0,0,train,765,D1_training-b_b0357
r0f0,0,train,768,D1_training-b_b0360
r0f0,0,train,769,D1_training-b_b0361
r0f0,0,train,770,D1_training-b_b0362
r0f0,0,train,771,D1_training-b_b0363
r0f0,0,train,772,D1_training-b_b0364
r0f0,0,train,773,D1_training-b_b0365
r0f0,0,train,774,D1_training-b_b0366
r0f0,0,train,775,D1_training-b_b0367
r0f0,0,train,778,D1_training-b_b0370
r0f0,0,train,779,D1_training-b_b0371
r0f0,0,train,781,D1_training-b_b0373
r0f0,0,train,785,D1_training-b_b0377
r0f0,0,train,786,D1_training-b_b0378
r0f0,0,train,787,D1_training-b_b0379
r0f0,0,train,789,D1_training-b_b0381
r0f0,0,train,790,D1_training-b_b0382
r0f0,0,train,793,D1_training-b_b0385
r0f0,0,train,797,D1_training-b_b0389
r0f0,0,train,798,D1_training-b_b0390
r0f0,0,train,799,D1_training-b_b0391
r0f0,0,train,800,D1_training-b_b0392
r0f0,0,train,803,D1_training-b_b0395
r0f0,0,train,804,D1_training-b_b0396
r0f0,0,train,806,D1_training-b_b0398
r0f0,0,train,807,D1_training-b_b0399
r0f0,0,train,808,D1_training-b_b0400
r0f0,0,train,809,D1_training-b_b0401
r0f0,0,train,811,D1_training-b_b0403
r0f0,0,train,815,D1_training-b_b0407
r0f0,0,train,818,D1_training-b_b0410
r0f0,0,train,821,D1_training-b_b0413
r0f0,0,train,825,D1_training-b_b0417
r0f0,0,train,827,D1_training-b_b0419
r0f0,0,train,828,D1_training-b_b0420
r0f0,0,train,829,D1_training-b_b0421
r0f0,0,train,830,D1_training-b_b0422
r0f0,0,train,833,D1_training-b_b0425
r0f0,0,train,835,D1_training-b_b0427
r0f0,0,train,836,D1_training-b_b0428
r0f0,0,train,838,D1_training-b_b0430
r0f0,0,train,840,D1_training-b_b0432
r0f0,0,train,844,D1_training-b_b0436
r0f0,0,train,845,D1_training-b_b0437
r0f0,0,train,846,D1_training-b_b0438
r0f0,0,train,848,D1_training-b_b0440
r0f0,0,train,851,D1_training-b_b0443
r0f0,0,train,854,D1_training-b_b0446
r0f0,0,train,857,D1_training-b_b0449
r0f0,0,train,859,D1_training-b_b0451
r0f0,0,train,862,D1_training-b_b0454
