method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_class_weight,param_gamma,message,best_so_far,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample
bayes,M3,binary,r0f0,0,0,balanced_accuracy,0,0.713107,0.047075,3,1.7112,ok,0.868492,0.71349,0.584653,0.450281,0.976699,0.654143,0.715821,0.769356,0.851981,0.654143,0.468619,0.32,0.988287,0.858621,0.715821,0.580205,0.472222,0.95942,0.894798,0.769356,0.685121,0.55618,0.982533,96.09812947036423,,0.0008263688714158015,,0.713107,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,1,0.804118,0.021928,3,3.4878,ok,0.880447,0.804459,0.699029,0.675422,0.933495,0.773788,0.824879,0.813687,0.88345,0.773788,0.673203,0.588571,0.959004,0.865517,0.824879,0.699229,0.755556,0.894203,0.892486,0.813687,0.722388,0.679775,0.947598,9.643857615941439,balanced,0.016949768237884747,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,2,0.778757,0.02758,3,2.1079,ok,0.878905,0.77915,0.674274,0.609756,0.948544,0.74177,0.807971,0.786529,0.876457,0.74177,0.629371,0.514286,0.969253,0.871264,0.807971,0.692308,0.7,0.915942,0.889017,0.786529,0.694268,0.61236,0.960699,1.9780827689353788,balanced,0.004661686413912771,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,3,0.72127,0.024169,3,2.4516,ok,0.860393,0.721605,0.588636,0.485929,0.957282,0.687555,0.742995,0.733261,0.857809,0.687555,0.534351,0.4,0.97511,0.852874,0.742995,0.609756,0.555556,0.930435,0.87052,0.733261,0.613793,0.5,0.966521,17.965626423790667,,0.0001914511128571072,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,4,0.689364,0.04309,3,1.7673,ok,0.859236,0.689585,0.539723,0.401501,0.97767,0.646304,0.673551,0.748238,0.84965,0.646304,0.451064,0.302857,0.989751,0.843678,0.673551,0.50365,0.383333,0.963768,0.884393,0.748238,0.647887,0.516854,0.979622,492.9053648241689,,0.00010090061869151568,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,5,0.739098,0.019112,3,5.5502,ok,0.861936,0.739265,0.612554,0.530957,0.947573,0.731592,0.765338,0.720365,0.863636,0.731592,0.60339,0.508571,0.954612,0.865517,0.765338,0.646526,0.594444,0.936232,0.856647,0.720365,0.583893,0.488764,0.951965,12.229467525390618,balanced,0.11435780278433413,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,6,0.716221,0.020697,3,5.6236,ok,0.858851,0.716462,0.580275,0.474672,0.958252,0.69452,0.744082,0.710061,0.851981,0.69452,0.541516,0.428571,0.960469,0.864368,0.744082,0.621795,0.538889,0.949275,0.860116,0.710061,0.572438,0.455056,0.965066,0.013041036943413018,balanced,0.042060390579019995,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,7,0.5,0.0,3,7.186,ok,0.794447,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.796037,0.5,0.0,0.0,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,0.017113085338473895,balanced,7.392266140516068,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,8,0.733838,0.017057,3,5.4488,ok,0.864636,0.73401,0.608696,0.512195,0.955825,0.723823,0.75785,0.719841,0.864802,0.723823,0.594406,0.485714,0.961933,0.866667,0.75785,0.639752,0.572222,0.943478,0.862428,0.719841,0.588235,0.477528,0.962154,0.028381292701126725,balanced,0.12357483710912182,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,9,0.796994,0.021747,3,3.954,ok,0.874663,0.797341,0.68599,0.666041,0.928641,0.766609,0.816304,0.808069,0.878788,0.766609,0.660131,0.577143,0.956076,0.855172,0.816304,0.681818,0.75,0.882609,0.890173,0.808069,0.714715,0.668539,0.947598,824.43121909051,,0.021568228019263995,,0.804118,,,,,,
