method,model_id,outer_fold,generation,best_fitness,best_so_far,mean_fitness,worst_fitness,std_fitness,best_n_selected,best_macro_f1,mean_n_selected,evaluations,distinct_fitted,seconds
ga,M3,r0f0,0,0.32367659910443947,0.32367659910443947,0.343656640107488,0.3609778132214214,0.009934850616274343,61,0.8067559971385855,69.53333333333333,30,30,72.76434110000264
ga,M3,r0f0,1,0.32328489172204233,0.32328489172204233,0.33442178868552624,0.3513400280341762,0.007262867525177848,61,0.8073155791134384,65.16666666666667,60,58,50.08264899998903
ga,M3,r0f0,2,0.31807182736175565,0.31807182736175565,0.32912471574436203,0.34100493307659735,0.006576151224984181,58,0.8085516337896245,62.666666666666664,90,84,45.9729706000071
ga,M3,r0f0,3,0.30992808003823347,0.30992808003823347,0.3233709442224931,0.33936555835452675,0.006969387512185492,56,0.8160447717880309,61.06666666666667,120,112,49.015379999997094
ga,M3,r0f0,4,0.30992808003823347,0.30992808003823347,0.3214149716041989,0.3337911798929367,0.006767802061639426,56,0.8160447717880309,60.2,150,139,46.243821699987166
ga,M3,r0f0,5,0.3064785671599968,0.3064785671599968,0.31718253596088253,0.33198003332120485,0.0058351336703817746,55,0.8189022539536278,58.03333333333333,180,166,46.4358289000229
ga,M3,r0f0,6,0.3034575620463733,0.3034575620463733,0.3140764562424065,0.3246310919960973,0.0055121517901355,53,0.819077188795036,56.6,210,193,45.52240150002763
ga,M3,r0f0,7,0.30000804774163636,0.30000804774163636,0.31008899160440717,0.3246501883374511,0.006021719842815194,52,0.8219346729984904,55.63333333333333,240,221,45.99680849997094
ga,M3,r0f0,8,0.2954132509268983,0.2954132509268983,0.30695105010002116,0.3255308977685397,0.006988571747953525,49,0.8222874883238926,53.233333333333334,270,248,44.0056475000456
ga,M3,r0f0,9,0.2900920622286868,0.2900920622286868,0.30278046208547854,0.3182784346697244,0.006882961202463907,48,0.8278187930894537,51.3,300,274,42.13455179997254
ga,M3,r0f0,10,0.2856567682070358,0.2856567682070358,0.2986180848316442,0.31247488011771585,0.006483563884532939,43,0.823802960532392,49.4,330,302,44.72364540002309
ga,M3,r0f0,11,0.2856567682070358,0.2856567682070358,0.29572410670808597,0.30936473532928543,0.005830704415123813,43,0.823802960532392,47.43333333333333,360,329,43.512720400001854
ga,M3,r0f0,12,0.27818917341540467,0.27818917341540467,0.29265887988293743,0.3036101817102834,0.0059181595490150184,41,0.8303301663423825,46.03333333333333,390,355,40.936924100038595
ga,M3,r0f0,13,0.2767868673184577,0.2767868673184577,0.28964912940810666,0.3069094692168286,0.0067240171004309835,39,0.8281926740171102,44.36666666666667,420,381,41.642187600024045
ga,M3,r0f0,14,0.27491305805649086,0.27491305805649086,0.28948498307611653,0.3023180624669338,0.006896799789382688,35,0.8225879708923837,43.63333333333333,450,409,45.39275540004019
ga,M3,r0f0,15,0.27491305805649086,0.27491305805649086,0.287022624126885,0.2975335659576138,0.005229309492857213,35,0.8225879708923837,42.5,480,437,45.472348399984185
ga,M3,r0f0,16,0.27491305805649086,0.27491305805649086,0.28713435293124795,0.3001816470243559,0.005720821440550527,35,0.8225879708923837,42.13333333333333,510,464,42.9700144000235
ga,M3,r0f0,17,0.2736638563664664,0.2736638563664664,0.2847669642538702,0.29514028830933403,0.005832098363844209,36,0.826442938110017,41.96666666666667,540,491,43.130816699995194
ga,M3,r0f0,18,0.2717902625808337,0.2717902625808337,0.2826279006056712,0.29302685679067364,0.006098748481799198,37,0.831189894035662,40.2,570,519,44.335315600037575
ga,M3,r0f0,19,0.2707448002148961,0.2707448002148961,0.2783592907623373,0.2919180215370645,0.00494507923970722,36,0.830613018326546,38.56666666666667,600,547,43.2529231000226
ga,M3,r0f0,20,0.2669404082739569,0.2669404082739569,0.2767555200972486,0.2909158790934182,0.005014187489927921,33,0.8298366838322355,38.53333333333333,630,574,41.36763500003144
ga,M3,r0f0,21,0.2669404082739569,0.2669404082739569,0.27632014618029477,0.2823347127999724,0.0040426878487211815,33,0.8298366838322355,38.06666666666667,660,601,41.48972969996976
ga,M3,r0f0,22,0.2669404082739569,0.2669404082739569,0.2766657308417757,0.29169143308095224,0.0056554629042341415,33,0.8298366838322355,38.2,690,629,43.5240111000021
ga,M3,r0f0,23,0.2669404082739569,0.2669404082739569,0.27784875314588986,0.2913632874597756,0.0058687997255459775,33,0.8298366838322355,38.2,720,656,41.35931259999052
ga,M3,r0f0,24,0.2669404082739569,0.2669404082739569,0.27794146572304324,0.2875216186983192,0.005655842219601296,33,0.8298366838322355,38.03333333333333,750,683,41.91308799997205
