method,model_id,outer_fold,generation,best_fitness,best_so_far,mean_fitness,worst_fitness,std_fitness,best_n_selected,best_macro_f1,mean_n_selected,evaluations,distinct_fitted,seconds
ga_joint,M1+M3+M4,r0f0,0,0.3157529091987884,0.3157529091987884,0.33156135191722036,0.3555832796927779,0.009971932079414509,61,0.8180755541466583,70.125,16,16,161.72254899999825
ga_joint,M1+M3+M4,r0f0,1,0.310063746487081,0.310063746487081,0.32358754307812576,0.3443487590232438,0.008139889107323377,56,0.8158509625753915,70.1875,32,32,160.36444570001913
ga_joint,M1+M3+M4,r0f0,2,0.3072325838410348,0.3072325838410348,0.3184299994389765,0.34191352076084464,0.010083309844941464,54,0.8157546938916894,64.3125,48,48,156.16302990005352
ga_joint,M1+M3+M4,r0f0,3,0.2982739719413112,0.2982739719413112,0.31074273953199255,0.3220300297556635,0.0068914554429122055,58,0.8368342843902593,59.0,64,64,151.80440540000563
ga_joint,M1+M3+M4,r0f0,4,0.2967637938329174,0.2967637938329174,0.3061883150452521,0.3220651495500293,0.006298298494411996,48,0.8182877479405528,54.9375,80,80,148.91094289999455
ga_joint,M1+M3+M4,r0f0,5,0.2946545433923909,0.2946545433923909,0.3022816230509864,0.3117020935175262,0.005320669767991316,49,0.8233713562303319,52.875,96,96,149.00705509999534
ga_joint,M1+M3+M4,r0f0,6,0.29073348365372775,0.29073348365372775,0.30031640131332543,0.3128392966846481,0.005551897220496089,49,0.8289728701427078,50.9375,112,112,147.80677209998248
ga_joint,M1+M3+M4,r0f0,7,0.2855085155207468,0.2855085155207468,0.29815730369076454,0.3073130172154508,0.0060357116336334764,44,0.8260851434589745,50.5,128,128,146.13861580000957
ga_joint,M1+M3+M4,r0f0,8,0.2854654336724112,0.2854654336724112,0.2942742304118886,0.3027575178824067,0.005259513403127693,43,0.8240762955818557,48.0,144,144,143.5338109000004
ga_joint,M1+M3+M4,r0f0,9,0.2846309010485703,0.2846309010485703,0.2948479270703225,0.3094399822545941,0.007897961016193921,43,0.8252684850444855,47.5,160,160,143.89835670002503
