outer_fold,rank,column,feature,family
r0f0,1,6,time_median,time
r0f0,2,7,time_iqr,time
r0f0,3,17,time_sample_entropy,time
r0f0,4,19,time_hjorth_mobility,time
r0f0,5,21,time_autocorr_peak_value,time
r0f0,6,30,freq_rolloff95_mean,frequency
r0f0,7,33,freq_flatness_std,frequency
r0f0,8,34,freq_flux_mean,frequency
r0f0,9,39,freq_total_power,frequency
r0f0,10,41,freq_band_power_50_100,frequency
r0f0,11,43,freq_band_power_150_250,frequency
r0f0,12,49,mfcc_04_mean,mfcc
r0f0,13,59,mfcc_01_std,mfcc
r0f0,14,67,mfcc_09_std,mfcc
r0f0,15,68,mfcc_10_std,mfcc
r0f0,16,77,mfcc_06_delta_mean,mfcc
r0f0,17,81,mfcc_10_delta_mean,mfcc
r0f0,18,84,mfcc_13_delta_mean,mfcc
r0f0,19,86,chroma_02_mean,chroma
r0f0,20,89,chroma_05_mean,chroma
r0f0,21,96,chroma_12_mean,chroma
r0f0,22,97,chroma_01_std,chroma
r0f0,23,101,chroma_05_std,chroma
r0f0,24,106,chroma_10_std,chroma
r0f0,25,109,dwt_cA5_energy,dwt
r0f0,26,116,dwt_cD5_std,dwt
r0f0,27,121,dwt_cA5_entropy,dwt
r0f0,28,123,dwt_cD4_entropy,dwt
r0f0,29,124,dwt_cD3_entropy,dwt
r0f0,30,126,dwt_cD1_entropy,dwt
r0f0,31,129,dwt_cD4_mean_abs,dwt
r0f0,32,130,dwt_cD3_mean_abs,dwt
r0f0,33,133,env_mean,envelope
