method,model_id,outer_fold,generation,best_fitness,best_so_far,mean_fitness,worst_fitness,std_fitness,best_n_selected,best_macro_f1,mean_n_selected,evaluations,distinct_fitted,seconds
pso,M3,r0f0,0,0.3234988348348725,0.3234988348348725,0.34509968816646247,0.36135949994735694,0.009313687412482128,62,0.8083987776773629,69.93333333333334,30,30,60.2534139000345
pso,M3,r0f0,1,0.3221110687902736,0.3221110687902736,0.3374937573804893,0.34522272622863337,0.005513817766006148,51,0.7882885352685531,65.0,60,60,60.432943299994804
pso,M3,r0f0,2,0.3155171869088182,0.3155171869088182,0.33433577521829494,0.360927423070474,0.009447567399005766,51,0.7977083665277752,64.16666666666667,90,90,55.09532039996702
pso,M3,r0f0,3,0.3146974570507487,0.3146974570507487,0.33318561083018483,0.3509591212987936,0.008715217540878745,57,0.8106202076381196,63.1,120,120,52.47712659998797
pso,M3,r0f0,4,0.3175614754305002,0.3146974570507487,0.3345558905079305,0.3490671911945554,0.008084628200025295,60,0.8134214947266146,64.0,150,150,53.337435800000094
pso,M3,r0f0,5,0.3141122197892284,0.3141122197892284,0.33564941368721285,0.3636357585272411,0.012371552943983352,53,0.803856249162386,64.56666666666666,180,180,54.02797880000435
pso,M3,r0f0,6,0.31352334195767806,0.31352334195767806,0.33257564677043383,0.3544126821571986,0.009680713244719315,52,0.8026271098327166,63.266666666666666,210,210,52.92537909996463
pso,M3,r0f0,7,0.3119501410701659,0.3119501410701659,0.3305434611401459,0.34781348179864346,0.008254208336915831,55,0.8110857197962433,62.43333333333333,240,240,52.827115199994296
pso,M3,r0f0,8,0.31397375840345854,0.3119501410701659,0.33024198253013765,0.34775609224962417,0.0073597484306134504,56,0.8102652312662807,61.6,270,270,52.31120729999384
pso,M3,r0f0,9,0.3137603816317952,0.3119501410701659,0.33102807737749146,0.350517765554551,0.008824545148867758,47,0.7912549530606411,62.333333333333336,300,300,53.04919410002185
pso,M3,r0f0,10,0.311308275169423,0.311308275169423,0.3324826467323591,0.35410533602631733,0.009122966718050237,53,0.8078618843335365,63.06666666666667,330,330,52.953958400001284
pso,M3,r0f0,11,0.3184835809896362,0.311308275169423,0.3311916202225144,0.3472288826651164,0.007319970765223828,57,0.8058930209464824,62.833333333333336,360,360,54.559213800006546
pso,M3,r0f0,12,0.3136889522848031,0.311308275169423,0.3283843271542524,0.3439217818121322,0.008360956145503359,50,0.798249736901627,60.13333333333333,390,390,52.74413110001478
pso,M3,r0f0,13,0.31097606074513373,0.31097606074513373,0.3309844506343523,0.3503130717293643,0.009464801204078891,55,0.8124772631177178,62.733333333333334,420,420,51.97953299997607
pso,M3,r0f0,14,0.31112213733906346,0.31097606074513373,0.33086821394272825,0.35011674856166897,0.008276623369471619,51,0.803987008770282,62.333333333333336,450,450,52.67888329998823
pso,M3,r0f0,15,0.31392096752672827,0.31097606074513373,0.33067635361382763,0.3544449871401171,0.009511574424577637,59,0.8165518269286904,62.333333333333336,480,480,51.41779600002337
pso,M3,r0f0,16,0.30932012326663383,0.30932012326663383,0.328758622878291,0.349542187373867,0.008567685401720945,51,0.8065613145880386,61.2,510,510,52.25755549996393
pso,M3,r0f0,17,0.3083510638270722,0.3083510638270722,0.3271673614274876,0.3483982650485946,0.009954583851082083,50,0.8058752918412425,59.93333333333333,540,540,50.885395299992524
pso,M3,r0f0,18,0.30812614863270243,0.30812614863270243,0.32793139559674545,0.3475730089587551,0.009419194034959765,50,0.8061965992617708,59.96666666666667,570,570,51.164241200021934
pso,M3,r0f0,19,0.3043699586588198,0.3043699586588198,0.3288652552787952,0.34760134384298125,0.009934702244852621,51,0.8136329783134872,60.9,600,600,52.946614200016484
pso,M3,r0f0,20,0.31237857166763816,0.3043699586588198,0.32853812863777526,0.34325923376490297,0.008033272018980412,53,0.8063328893360863,60.9,630,630,53.09349179995479
pso,M3,r0f0,21,0.3098321062586814,0.3043699586588198,0.32747137838063356,0.345125491045742,0.009023598025656413,58,0.8203226639368734,60.9,660,660,52.91276149998885
pso,M3,r0f0,22,0.30402047992563025,0.30402047992563025,0.32543842765981357,0.35088058104328185,0.009966314165204227,49,0.8099914468971328,60.03333333333333,690,690,52.1964971999987
pso,M3,r0f0,23,0.3091154371111449,0.30402047992563025,0.3243017687223594,0.34582809098382705,0.006951157611171047,45,0.794431363133147,58.9,720,720,52.716362999984995
pso,M3,r0f0,24,0.3128358717431238,0.30402047992563025,0.3272913146690677,0.3456999634985245,0.009483938593619566,55,0.8098203902634463,60.46666666666667,750,750,52.1862162000034
