outer_fold,rank,column,feature,family
r0f0,1,0,time_mean,time
r0f0,2,8,time_skewness,time
r0f0,3,9,time_kurtosis,time
r0f0,4,10,time_energy,time
r0f0,5,11,time_rms,time
r0f0,6,14,time_zcr_mean,time
r0f0,7,15,time_zcr_std,time
r0f0,8,17,time_sample_entropy,time
r0f0,9,19,time_hjorth_mobility,time
r0f0,10,21,time_autocorr_peak_value,time
r0f0,11,24,freq_centroid_mean,frequency
r0f0,12,25,freq_centroid_std,frequency
r0f0,13,28,freq_rolloff85_mean,frequency
r0f0,14,31,freq_rolloff95_std,frequency
r0f0,15,32,freq_flatness_mean,frequency
r0f0,16,39,freq_total_power,frequency
r0f0,17,41,freq_band_power_50_100,frequency
r0f0,18,49,mfcc_04_mean,mfcc
r0f0,19,50,mfcc_05_mean,mfcc
r0f0,20,57,mfcc_12_mean,mfcc
r0f0,21,59,mfcc_01_std,mfcc
r0f0,22,60,mfcc_02_std,mfcc
r0f0,23,61,mfcc_03_std,mfcc
r0f0,24,62,mfcc_04_std,mfcc
r0f0,25,66,mfcc_08_std,mfcc
r0f0,26,67,mfcc_09_std,mfcc
r0f0,27,69,mfcc_11_std,mfcc
r0f0,28,70,mfcc_12_std,mfcc
r0f0,29,71,mfcc_13_std,mfcc
r0f0,30,74,mfcc_03_delta_mean,mfcc
r0f0,31,77,mfcc_06_delta_mean,mfcc
r0f0,32,85,chroma_01_mean,chroma
r0f0,33,87,chroma_03_mean,chroma
r0f0,34,89,chroma_05_mean,chroma
r0f0,35,99,chroma_03_std,chroma
r0f0,36,100,chroma_04_std,chroma
r0f0,37,111,dwt_cD4_energy,dwt
r0f0,38,112,dwt_cD3_energy,dwt
r0f0,39,117,dwt_cD4_std,dwt
r0f0,40,118,dwt_cD3_std,dwt
r0f0,41,119,dwt_cD2_std,dwt
r0f0,42,120,dwt_cD1_std,dwt
r0f0,43,121,dwt_cA5_entropy,dwt
r0f0,44,122,dwt_cD5_entropy,dwt
r0f0,45,130,dwt_cD3_mean_abs,dwt
r0f0,46,132,dwt_cD1_mean_abs,dwt
r0f0,47,133,env_mean,envelope
r0f0,48,134,env_std,envelope
r0f0,49,136,env_kurtosis,envelope
