configuration,outer_fold,repeat,fold,model_id,n_features,j,fit_predict_seconds,n_train,n_test,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1,n_selected,term_performance,term_features,term_time,normalized_features,normalized_inference_time,families
all_features,r0f0,0,0,M4,138,0.4509666666666666,5.9668660999741405,2593,647,0.848531684698609,0.8090761988820241,0.7424242424242424,0.8757281553398059,0.6049382716049383,0.6666666666666666,0.5749866504511496,,,98.0,64.0,451.0,34.0,647.0,132.0,515.0,0.7843333333333333,138,0.15096666666666667,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
all_features,r0f1,0,1,M4,138,0.3871679316888046,5.601647100003902,2589,651,0.9231950844854071,0.8548962152487081,0.7388059701492538,0.9709864603481625,0.868421052631579,0.7983870967741935,0.7550739123866418,,,99.0,15.0,502.0,35.0,651.0,134.0,517.0,0.8754743833017078,138,0.08716793168880455,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
all_features,r0f2,0,2,M4,138,0.42608053974277893,5.669383500004187,2596,644,0.8990683229813664,0.7803297471839055,0.5801526717557252,0.9805068226120858,0.8837209302325582,0.7004608294930875,0.6634790074786145,,,76.0,10.0,503.0,55.0,644.0,131.0,513.0,0.8198849432246016,138,0.12608053974277889,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
all_features,r0f3,0,3,M4,138,0.41561464507811585,5.0180694999871776,2585,655,0.8916030534351145,0.8321449708311022,0.7299270072992701,0.9343629343629344,0.746268656716418,0.7380073800738007,0.6697482372640895,,,100.0,34.0,484.0,37.0,655.0,137.0,518.0,0.8348362213169773,138,0.11561464507811586,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
all_features,r0f4,0,4,M4,138,0.3974614107627109,4.724515100009739,2597,643,0.9020217729393468,0.8930328602099237,0.8778625954198473,0.908203125,0.7098765432098766,0.7849829351535836,0.7292886260429821,,,115.0,47.0,465.0,16.0,643.0,131.0,512.0,0.8607694131961272,138,0.09746141076271095,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
selected_subset,r0f0,0,0,M4,20,0.2805853602237008,2.3971641999669373,2593,647,0.8438948995363215,0.8146145925272139,0.7651515151515151,0.8640776699029126,0.5906432748538012,0.6666666666666666,0.5750398028505851,,,101.0,70.0,445.0,31.0,647.0,132.0,515.0,0.7823747056844937,20,0.15233770602085436,0.028985507246376815,0.09926214695646964,0.14492753623188406,0.9926214695646963,dwt;frequency;mfcc;time
selected_subset,r0f1,0,1,M4,20,0.2275204313016474,2.452431399957277,2589,651,0.9078341013824884,0.8535177112503247,0.7611940298507462,0.9458413926499033,0.7846153846153846,0.7727272727272727,0.7150695840537366,,,102.0,28.0,489.0,32.0,651.0,134.0,517.0,0.8574619022595902,20,0.09977666841828686,0.028985507246376815,0.09875825563698372,0.14492753623188406,0.9875825563698372,chroma;dwt;mfcc;time
selected_subset,r0f2,0,2,M4,20,0.24113133191256644,2.4713721000007354,2596,644,0.90527950310559,0.8098075978750948,0.648854961832061,0.9707602339181286,0.85,0.7359307359307359,0.6886791592563833,,,85.0,15.0,498.0,46.0,644.0,131.0,513.0,0.8391101172558126,20,0.11262291792093114,0.028985507246376815,0.09952290674525849,0.14492753623188406,0.9952290674525848,chroma;dwt;frequency;mfcc;time
selected_subset,r0f3,0,3,M4,20,0.24809631174854713,2.3837447999976575,2585,655,0.8839694656488549,0.8380562522898289,0.7591240875912408,0.916988416988417,0.7074829931972789,0.7323943661971831,0.6591034852608427,,,104.0,43.0,475.0,33.0,655.0,137.0,518.0,0.8291601460615545,20,0.11958789775691182,0.028985507246376815,0.09952290674525849,0.14492753623188406,0.9952290674525848,chroma;dwt;frequency;mfcc;time
selected_subset,r0f4,0,4,M4,20,0.22419293780115912,2.4325898000388406,2597,643,0.9035769828926905,0.8968496541030535,0.8854961832061069,0.908203125,0.7116564417177914,0.7891156462585034,0.7348728611742237,,,116.0,47.0,465.0,15.0,643.0,131.0,512.0,0.8633078231292517,20,0.0956845238095238,0.028985507246376815,0.09952290674525849,0.14492753623188406,0.9952290674525848,chroma;dwt;frequency;mfcc;time
