selector,outer_fold,threshold,n_selected,seconds,features
gb_threshold_mean,r0f0,0.007246376811594203,17,26.323850299988408,time_iqr;time_energy;time_zcr_mean;time_autocorr_peak_value;time_duration;freq_band_power_250_350;mfcc_02_mean;mfcc_04_mean;mfcc_05_mean;mfcc_01_std;mfcc_06_delta_mean;dwt_cA5_energy;dwt_cD5_energy;dwt_cD1_energy;dwt_cD1_entropy;dwt_cD5_mean_abs;dwt_cD4_mean_abs
gb_threshold_mean,r0f1,0.007246376811594203,22,25.08769359998405,time_iqr;time_zcr_mean;time_sample_entropy;time_hjorth_complexity;time_duration;mfcc_04_mean;mfcc_05_mean;mfcc_12_mean;mfcc_01_std;mfcc_05_std;chroma_05_std;chroma_07_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD1_std;dwt_cD1_entropy;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs
gb_threshold_mean,r0f2,0.007246376811594203,19,25.11469370004488,time_iqr;time_energy;time_zcr_mean;time_hjorth_complexity;time_duration;freq_rolloff95_mean;freq_band_power_250_350;mfcc_01_mean;mfcc_02_mean;mfcc_04_mean;mfcc_05_mean;mfcc_01_std;chroma_05_std;dwt_cD5_energy;dwt_cD4_energy;dwt_cD1_energy;dwt_cD1_std;dwt_cD1_entropy;dwt_cD5_mean_abs
gb_threshold_mean,r0f3,0.007246376811594203,19,24.87401349999709,time_iqr;time_zcr_mean;time_hjorth_complexity;time_duration;freq_band_power_20_50;freq_band_power_250_350;freq_band_power_350_400;mfcc_02_mean;mfcc_04_mean;chroma_07_mean;chroma_07_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD1_energy;dwt_cD1_entropy;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs
gb_threshold_mean,r0f4,0.007246376811594203,17,25.12536949996138,time_iqr;time_energy;time_zcr_mean;time_duration;freq_peak_power;freq_band_power_350_400;mfcc_02_mean;mfcc_04_mean;mfcc_05_mean;mfcc_05_std;chroma_07_std;dwt_cD5_energy;dwt_cD4_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD1_entropy;dwt_cD5_mean_abs
gb_threshold_median,r0f0,0.0016966701863729784,69,25.044568600016646,time_range;time_iqr;time_skewness;time_energy;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_complexity;time_autocorr_peak_value;time_duration;freq_centroid_std;freq_rolloff85_std;freq_rolloff95_mean;freq_flatness_mean;freq_flux_mean;freq_band_power_20_50;freq_band_power_250_350;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_09_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_05_std;mfcc_06_std;mfcc_08_std;mfcc_09_std;mfcc_10_std;mfcc_01_delta_mean;mfcc_02_delta_mean;mfcc_05_delta_mean;mfcc_06_delta_mean;mfcc_07_delta_mean;mfcc_08_delta_mean;mfcc_13_delta_mean;chroma_01_mean;chroma_02_mean;chroma_06_mean;chroma_07_mean;chroma_08_mean;chroma_12_mean;chroma_04_std;chroma_05_std;chroma_06_std;chroma_07_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD4_std;dwt_cD2_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;env_std;env_kurtosis;env_peak_rate
gb_threshold_median,r0f1,0.0016246087818981643,69,25.219777299964335,time_min;time_max;time_median;time_iqr;time_skewness;time_energy;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_complexity;time_autocorr_peak_value;time_duration;freq_centroid_mean;freq_centroid_std;freq_bandwidth_std;freq_flux_mean;freq_total_power;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_07_mean;mfcc_09_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_03_std;mfcc_05_std;mfcc_06_std;mfcc_09_std;mfcc_10_std;mfcc_12_std;mfcc_01_delta_mean;mfcc_02_delta_mean;mfcc_05_delta_mean;mfcc_07_delta_mean;mfcc_08_delta_mean;mfcc_13_delta_mean;chroma_01_mean;chroma_02_mean;chroma_04_mean;chroma_06_mean;chroma_07_mean;chroma_11_mean;chroma_03_std;chroma_05_std;chroma_07_std;chroma_11_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD2_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD4_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;env_mean;env_kurtosis;env_peak_rate
gb_threshold_median,r0f2,0.0016757711717310607,69,25.01180320000276,time_range;time_median;time_iqr;time_skewness;time_energy;time_peak_to_peak;time_zcr_mean;time_zcr_std;time_hjorth_mobility;time_hjorth_complexity;time_autocorr_peak_value;time_autocorr_peak_lag;time_duration;freq_centroid_mean;freq_centroid_std;freq_rolloff85_mean;freq_rolloff95_mean;freq_flux_mean;freq_band_power_20_50;freq_band_power_50_100;freq_band_power_250_350;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_10_mean;mfcc_11_mean;mfcc_12_mean;mfcc_01_std;mfcc_02_std;mfcc_03_std;mfcc_05_std;mfcc_10_std;mfcc_11_std;mfcc_12_std;mfcc_13_std;mfcc_01_delta_mean;mfcc_02_delta_mean;mfcc_04_delta_mean;mfcc_06_delta_mean;mfcc_08_delta_mean;mfcc_11_delta_mean;mfcc_12_delta_mean;mfcc_13_delta_mean;chroma_01_mean;chroma_05_mean;chroma_06_mean;chroma_09_mean;chroma_12_mean;chroma_05_std;chroma_07_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cD5_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD3_mean_abs;dwt_cD2_mean_abs;env_std;env_skew;env_peak_rate
gb_threshold_median,r0f3,0.0015272783557915548,69,24.969718000036664,time_max;time_median;time_iqr;time_skewness;time_energy;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_complexity;time_duration;freq_centroid_mean;freq_bandwidth_mean;freq_rolloff85_std;freq_rolloff95_mean;freq_rolloff95_std;freq_flatness_mean;freq_flux_mean;freq_peak_power;freq_band_power_20_50;freq_band_power_250_350;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_10_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_05_std;mfcc_06_std;mfcc_11_std;mfcc_12_std;mfcc_01_delta_mean;mfcc_02_delta_mean;mfcc_05_delta_mean;mfcc_07_delta_mean;mfcc_11_delta_mean;mfcc_13_delta_mean;chroma_01_mean;chroma_06_mean;chroma_07_mean;chroma_08_mean;chroma_11_mean;chroma_04_std;chroma_05_std;chroma_06_std;chroma_07_std;chroma_09_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD5_entropy;dwt_cD4_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;dwt_cD1_mean_abs;env_peak_rate
gb_threshold_median,r0f4,0.0016260372644326421,69,25.06940629996825,time_mean;time_median;time_iqr;time_skewness;time_energy;time_crest_factor;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_mobility;time_hjorth_complexity;time_autocorr_peak_value;time_duration;freq_centroid_mean;freq_centroid_std;freq_rolloff85_std;freq_rolloff95_mean;freq_rolloff95_std;freq_peak_power;freq_band_power_20_50;freq_band_power_100_150;freq_band_power_150_250;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_03_std;mfcc_05_std;mfcc_06_std;mfcc_08_std;mfcc_09_std;mfcc_12_std;mfcc_01_delta_mean;mfcc_02_delta_mean;mfcc_04_delta_mean;mfcc_05_delta_mean;mfcc_06_delta_mean;mfcc_07_delta_mean;mfcc_08_delta_mean;mfcc_13_delta_mean;chroma_01_mean;chroma_06_mean;chroma_07_mean;chroma_05_std;chroma_07_std;chroma_10_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD3_mean_abs;env_mean;env_std;env_kurtosis;env_peak_rate
