outer_fold,ranker,k,rank,column,feature
r0f0,gb_importance,20,0,7,time_iqr
r0f0,gb_importance,20,1,10,time_energy
r0f0,gb_importance,20,2,14,time_zcr_mean
r0f0,gb_importance,20,3,20,time_hjorth_complexity
r0f0,gb_importance,20,4,21,time_autocorr_peak_value
r0f0,gb_importance,20,5,23,time_duration
r0f0,gb_importance,20,6,44,freq_band_power_250_350
r0f0,gb_importance,20,7,47,mfcc_02_mean
r0f0,gb_importance,20,8,49,mfcc_04_mean
r0f0,gb_importance,20,9,50,mfcc_05_mean
r0f0,gb_importance,20,10,52,mfcc_07_mean
r0f0,gb_importance,20,11,59,mfcc_01_std
r0f0,gb_importance,20,12,77,mfcc_06_delta_mean
r0f0,gb_importance,20,13,84,mfcc_13_delta_mean
r0f0,gb_importance,20,14,109,dwt_cA5_energy
r0f0,gb_importance,20,15,110,dwt_cD5_energy
r0f0,gb_importance,20,16,114,dwt_cD1_energy
r0f0,gb_importance,20,17,126,dwt_cD1_entropy
r0f0,gb_importance,20,18,128,dwt_cD5_mean_abs
r0f0,gb_importance,20,19,129,dwt_cD4_mean_abs
r0f1,gb_importance,20,0,7,time_iqr
r0f1,gb_importance,20,1,14,time_zcr_mean
r0f1,gb_importance,20,2,20,time_hjorth_complexity
r0f1,gb_importance,20,3,23,time_duration
r0f1,gb_importance,20,4,49,mfcc_04_mean
r0f1,gb_importance,20,5,50,mfcc_05_mean
r0f1,gb_importance,20,6,57,mfcc_12_mean
r0f1,gb_importance,20,7,59,mfcc_01_std
r0f1,gb_importance,20,8,63,mfcc_05_std
r0f1,gb_importance,20,9,101,chroma_05_std
r0f1,gb_importance,20,10,103,chroma_07_std
r0f1,gb_importance,20,11,110,dwt_cD5_energy
r0f1,gb_importance,20,12,114,dwt_cD1_energy
r0f1,gb_importance,20,13,115,dwt_cA5_std
r0f1,gb_importance,20,14,116,dwt_cD5_std
r0f1,gb_importance,20,15,120,dwt_cD1_std
r0f1,gb_importance,20,16,126,dwt_cD1_entropy
r0f1,gb_importance,20,17,128,dwt_cD5_mean_abs
r0f1,gb_importance,20,18,129,dwt_cD4_mean_abs
r0f1,gb_importance,20,19,130,dwt_cD3_mean_abs
r0f2,gb_importance,20,0,7,time_iqr
r0f2,gb_importance,20,1,10,time_energy
r0f2,gb_importance,20,2,14,time_zcr_mean
r0f2,gb_importance,20,3,20,time_hjorth_complexity
r0f2,gb_importance,20,4,23,time_duration
r0f2,gb_importance,20,5,30,freq_rolloff95_mean
r0f2,gb_importance,20,6,44,freq_band_power_250_350
r0f2,gb_importance,20,7,46,mfcc_01_mean
r0f2,gb_importance,20,8,47,mfcc_02_mean
r0f2,gb_importance,20,9,49,mfcc_04_mean
r0f2,gb_importance,20,10,50,mfcc_05_mean
r0f2,gb_importance,20,11,59,mfcc_01_std
r0f2,gb_importance,20,12,101,chroma_05_std
r0f2,gb_importance,20,13,110,dwt_cD5_energy
r0f2,gb_importance,20,14,111,dwt_cD4_energy
r0f2,gb_importance,20,15,114,dwt_cD1_energy
r0f2,gb_importance,20,16,120,dwt_cD1_std
r0f2,gb_importance,20,17,126,dwt_cD1_entropy
r0f2,gb_importance,20,18,128,dwt_cD5_mean_abs
r0f2,gb_importance,20,19,130,dwt_cD3_mean_abs
r0f3,gb_importance,20,0,7,time_iqr
r0f3,gb_importance,20,1,14,time_zcr_mean
r0f3,gb_importance,20,2,20,time_hjorth_complexity
r0f3,gb_importance,20,3,23,time_duration
r0f3,gb_importance,20,4,40,freq_band_power_20_50
r0f3,gb_importance,20,5,44,freq_band_power_250_350
r0f3,gb_importance,20,6,45,freq_band_power_350_400
r0f3,gb_importance,20,7,47,mfcc_02_mean
r0f3,gb_importance,20,8,49,mfcc_04_mean
r0f3,gb_importance,20,9,63,mfcc_05_std
r0f3,gb_importance,20,10,91,chroma_07_mean
r0f3,gb_importance,20,11,103,chroma_07_std
r0f3,gb_importance,20,12,109,dwt_cA5_energy
r0f3,gb_importance,20,13,110,dwt_cD5_energy
r0f3,gb_importance,20,14,111,dwt_cD4_energy
r0f3,gb_importance,20,15,114,dwt_cD1_energy
r0f3,gb_importance,20,16,126,dwt_cD1_entropy
r0f3,gb_importance,20,17,128,dwt_cD5_mean_abs
r0f3,gb_importance,20,18,129,dwt_cD4_mean_abs
r0f3,gb_importance,20,19,130,dwt_cD3_mean_abs
r0f4,gb_importance,20,0,7,time_iqr
r0f4,gb_importance,20,1,10,time_energy
r0f4,gb_importance,20,2,14,time_zcr_mean
r0f4,gb_importance,20,3,23,time_duration
r0f4,gb_importance,20,4,38,freq_peak_power
r0f4,gb_importance,20,5,43,freq_band_power_150_250
r0f4,gb_importance,20,6,45,freq_band_power_350_400
r0f4,gb_importance,20,7,47,mfcc_02_mean
r0f4,gb_importance,20,8,49,mfcc_04_mean
r0f4,gb_importance,20,9,50,mfcc_05_mean
r0f4,gb_importance,20,10,63,mfcc_05_std
r0f4,gb_importance,20,11,103,chroma_07_std
r0f4,gb_importance,20,12,109,dwt_cA5_energy
r0f4,gb_importance,20,13,110,dwt_cD5_energy
r0f4,gb_importance,20,14,111,dwt_cD4_energy
r0f4,gb_importance,20,15,114,dwt_cD1_energy
r0f4,gb_importance,20,16,115,dwt_cA5_std
r0f4,gb_importance,20,17,126,dwt_cD1_entropy
r0f4,gb_importance,20,18,127,dwt_cA5_mean_abs
r0f4,gb_importance,20,19,128,dwt_cD5_mean_abs
