outer_fold,method,equal_score,optimized_score,delta,sensitivity_delta,moved_from_equal
r0f0,grid,0.8593403340680159,0.8593403340680159,0.0,0.0,0.0
r0f1,grid,0.8617480083235877,0.8617480083235877,0.0,0.0,0.0
r0f2,grid,0.8659014374611755,0.8659014374611755,0.0,0.0,0.0
r0f3,grid,0.8470821179711554,0.8513561416302058,0.0042740236590503855,0.007575757575757569,0.10801234497346435
r0f4,grid,0.8592678020627391,0.8592678020627391,0.0,0.0,0.0
r1f0,grid,0.864411464689703,0.864411464689703,0.0,0.0,0.0
r1f1,grid,0.8541637551212551,0.8541637551212551,0.0,0.0,0.0
r1f2,grid,0.8569967705256887,0.8569967705256887,0.0,0.0,0.0
r1f3,grid,0.8634838307659882,0.8634838307659882,0.0,0.0,0.0
r1f4,grid,0.8423580437201923,0.8423580437201923,0.0,0.0,0.0
r2f0,grid,0.8714494854274059,0.8714494854274059,0.0,0.0,0.0
r2f1,grid,0.8646634602186314,0.8646634602186314,0.0,0.0,0.0
r2f2,grid,0.8580862096904878,0.8580862096904878,0.0,0.0,0.0
r2f3,grid,0.8416413862216583,0.8445951588628611,0.0029537726412027787,-0.029962546816479474,0.16329931618554522
r2f4,grid,0.8465290806754222,0.8465290806754222,0.0,0.0,0.0
r3f0,grid,0.8629698449198444,0.8629698449198444,0.0,0.0,0.0
r3f1,grid,0.8433996976265505,0.8433996976265505,0.0,0.0,0.0
r3f2,grid,0.8482793686053269,0.8482793686053269,0.0,0.0,0.0
r3f3,grid,0.8494465164441432,0.8506886471725604,0.001242130728417279,-0.0018867924528301883,0.04082482904638629
r3f4,grid,0.860282650806705,0.8608336465022213,0.0005509956955163098,-0.0037453183520599342,0.0408248290463863
r4f0,grid,0.8668597787470671,0.8668597787470671,0.0,0.0,0.0
r4f1,grid,0.8528554873818008,0.8528554873818008,0.0,0.0,0.0
r4f2,grid,0.8587697407967358,0.8587697407967358,0.0,0.0,0.0
r4f3,grid,0.8500526909014268,0.8500526909014268,0.0,0.0,0.0
r4f4,grid,0.8637193389504032,0.8637193389504032,0.0,0.0,0.0
r0f0,slsqp,0.8593403340680159,0.8593403340680159,0.0,0.0,0.0
r0f1,slsqp,0.8617480083235877,0.8617480083235877,0.0,0.0,0.0
r0f2,slsqp,0.8659014374611755,0.8659014374611755,0.0,0.0,0.0
r0f3,slsqp,0.8470821179711554,0.8470821179711554,0.0,0.0,0.0
r0f4,slsqp,0.8592678020627391,0.8592678020627391,0.0,0.0,0.0
r1f0,slsqp,0.864411464689703,0.864411464689703,0.0,0.0,0.0
r1f1,slsqp,0.8541637551212551,0.8541637551212551,0.0,0.0,0.0
r1f2,slsqp,0.8569967705256887,0.8569967705256887,0.0,0.0,0.0
r1f3,slsqp,0.8634838307659882,0.8634838307659882,0.0,0.0,0.0
r1f4,slsqp,0.8423580437201923,0.8423580437201923,0.0,0.0,0.0
r2f0,slsqp,0.8714494854274059,0.8714494854274059,0.0,0.0,0.0
r2f1,slsqp,0.8646634602186314,0.8646634602186314,0.0,0.0,0.0
r2f2,slsqp,0.8580862096904878,0.8580862096904878,0.0,0.0,0.0
r2f3,slsqp,0.8416413862216583,0.8416413862216583,0.0,0.0,0.0
r2f4,slsqp,0.8465290806754222,0.8465290806754222,0.0,0.0,0.0
r3f0,slsqp,0.8629698449198444,0.8629698449198444,0.0,0.0,0.0
r3f1,slsqp,0.8433996976265505,0.8433996976265505,0.0,0.0,0.0
r3f2,slsqp,0.8482793686053269,0.8482793686053269,0.0,0.0,0.0
r3f3,slsqp,0.8494465164441432,0.8494465164441432,0.0,0.0,0.0
r3f4,slsqp,0.860282650806705,0.860282650806705,0.0,0.0,0.0
r4f0,slsqp,0.8668597787470671,0.8668597787470671,0.0,0.0,0.0
r4f1,slsqp,0.8528554873818008,0.8528554873818008,0.0,0.0,0.0
r4f2,slsqp,0.8587697407967358,0.8587697407967358,0.0,0.0,0.0
r4f3,slsqp,0.8500526909014268,0.8500526909014268,0.0,0.0,0.0
r4f4,slsqp,0.8637193389504032,0.8637193389504032,0.0,0.0,0.0
r0f0,slsqp_logloss,0.8593403340680159,0.8544335962403686,-0.004906737827647278,0.016885553470919246,0.3153049289822879
r0f1,slsqp_logloss,0.8617480083235877,0.8641171561441364,0.002369147820548756,0.0037664783427495685,0.42509819934113224
r0f2,slsqp_logloss,0.8659014374611755,0.8597167580291851,-0.006184679431990414,-0.0337078651685393,0.411207183708384
r0f3,slsqp_logloss,0.8470821179711554,0.8477860152325394,0.0007038972613839789,0.0018939393939394478,0.22403196453142282
r0f4,slsqp_logloss,0.8592678020627391,0.8557421558001601,-0.0035256462625790075,0.0074906367041197575,0.4136422481062407
r1f0,slsqp_logloss,0.864411464689703,0.8633945973515,-0.0010168673382029425,-0.011257035647279645,0.23291664114998437
r1f1,slsqp_logloss,0.8541637551212551,0.850240064581142,-0.003923690540113101,0.018903591682419618,0.3750081163949739
r1f2,slsqp_logloss,0.8569967705256887,0.8521135074851877,-0.004883263040501018,0.0018726591760299671,0.3751149153664842
r1f3,slsqp_logloss,0.8634838307659882,0.8604598312058427,-0.0030239995601455405,0.05660377358490565,0.28391003735971426
r1f4,slsqp_logloss,0.8423580437201923,0.8414217141321773,-0.0009363295880150391,-0.0018726591760299671,0.30703547014068117
r2f0,slsqp_logloss,0.8714494854274059,0.8698601772033261,-0.0015893082240797662,0.0074906367041198685,0.44899246730760206
r2f1,slsqp_logloss,0.8646634602186314,0.8618989968868903,-0.002764463331741074,-0.00941619585687381,0.4074602067354878
r2f2,slsqp_logloss,0.8580862096904878,0.8568202074218116,-0.0012660022686761252,0.0037878787878787845,0.350031993135287
r2f3,slsqp_logloss,0.8416413862216583,0.8442411418591521,0.002599755637493817,0.0037453183520599342,0.34997813672732125
r2f4,slsqp_logloss,0.8465290806754222,0.8457221443013534,-0.0008069363740688118,-0.009380863039399556,0.1659374702145088
r3f0,slsqp_logloss,0.8629698449198444,0.8633803405297209,0.00041049560987649336,-0.009363295880149836,0.3442866971831093
r3f1,slsqp_logloss,0.8433996976265505,0.8417858248784131,-0.0016138727481374016,-0.018761726078799223,0.2060947203297173
r3f2,slsqp_logloss,0.8482793686053269,0.8470909983597272,-0.0011883702455997014,-0.001890359168241984,0.13228396109742793
r3f3,slsqp_logloss,0.8494465164441432,0.8553025374105401,0.005856020966396924,-0.0018867924528301883,0.4035706299935127
r3f4,slsqp_logloss,0.860282650806705,0.8576375083738638,-0.0026451424328411965,0.02621722846441954,0.3367488659879876
r4f0,slsqp_logloss,0.8668597787470671,0.8619858517281708,-0.004873927018896329,0.03402646502835538,0.4473693671741181
r4f1,slsqp_logloss,0.8528554873818008,0.8518301565332373,-0.0010253308485634882,-0.03745318352059923,0.3140424255617657
r4f2,slsqp_logloss,0.8587697407967358,0.8585074409369934,-0.0002622998597424653,0.015009380863039379,0.3975871636863532
