method,outer_fold,objective,score,threshold,sensitivity,specificity,weights_sum,n_candidates,n_iterations,moved_from_start,seconds,w_M3,w_M4,w_M5
equal,r0f0,balanced_accuracy,0.8593403340680159,0.35627317061696384,0.8405253283302064,0.8781553398058253,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r0f0,balanced_accuracy,0.8593403340680159,0.35627317061696384,0.8405253283302064,0.8781553398058253,1.0,232,0,0.0,8.160779999976512,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r0f0,balanced_accuracy,0.8593403340680159,0.35627317061696384,0.8405253283302064,0.8781553398058253,1.0,4,1,0.0,0.1742262000334449,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r0f0,balanced_accuracy,0.8544335962403686,0.30078930755702127,0.8574108818011257,0.8514563106796117,1.0,52,13,0.3153049289822879,0.05034469999372959,0.12517056455061046,0.30622860798057666,0.5686008274688129
equal,r0f1,balanced_accuracy,0.8617480083235877,0.336060976815253,0.879472693032015,0.8440233236151603,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r0f1,balanced_accuracy,0.8617480083235877,0.336060976815253,0.879472693032015,0.8440233236151603,1.0,232,0,0.0,8.129752499982715,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r0f1,balanced_accuracy,0.8617480083235877,0.336060976815253,0.879472693032015,0.8440233236151603,1.0,4,1,0.0,0.19859260000521317,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r0f1,balanced_accuracy,0.8641171561441364,0.32196442205402365,0.8832391713747646,0.8449951409135082,1.0,44,11,0.42509819934113224,0.04903200000990182,0.0,0.41620915200212394,0.5837908479978761
equal,r0f2,balanced_accuracy,0.8659014374611755,0.33526397654294726,0.8651685393258427,0.8666343355965083,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r0f2,balanced_accuracy,0.8659014374611755,0.33526397654294726,0.8651685393258427,0.8666343355965083,1.0,232,0,0.0,8.304423599969596,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r0f2,balanced_accuracy,0.8659014374611755,0.33526397654294726,0.8651685393258427,0.8666343355965083,1.0,4,1,0.0,0.17434560001129285,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r0f2,balanced_accuracy,0.8597167580291851,0.3949724586546117,0.8314606741573034,0.887972841901067,1.0,40,10,0.411207183708384,0.04763240000465885,0.0,0.4651813177538698,0.5348186822461303
equal,r0f3,balanced_accuracy,0.8470821179711554,0.40250302391615517,0.8200757575757576,0.8740884783665532,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r0f3,balanced_accuracy,0.8513561416302058,0.39938042381266425,0.8276515151515151,0.8750607681088964,1.0,232,0,0.10801234497346435,7.9554534000344574,0.35,0.4,0.25
slsqp,r0f3,balanced_accuracy,0.8470821179711554,0.40250302391615517,0.8200757575757576,0.8740884783665532,1.0,4,1,0.0,0.17055549996439368,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r0f3,balanced_accuracy,0.8477860152325394,0.40373733775012377,0.821969696969697,0.8736023334953816,1.0,40,10,0.22403196453142282,0.04740580002544448,0.1696566944201365,0.4859009181011421,0.3444423874787214
equal,r0f4,balanced_accuracy,0.8592678020627391,0.3160793146840325,0.8857677902621723,0.8327678138633059,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r0f4,balanced_accuracy,0.8592678020627391,0.3160793146840325,0.8857677902621723,0.8327678138633059,1.0,232,0,0.0,10.595272300008219,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r0f4,balanced_accuracy,0.8592678020627391,0.3160793146840325,0.8857677902621723,0.8327678138633059,1.0,4,1,0.0,0.38298270001541823,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r0f4,balanced_accuracy,0.8557421558001601,0.27334889289527786,0.8932584269662921,0.8182258846340281,1.0,44,11,0.4136422481062407,0.09339829999953508,0.0,0.45291899134620156,0.5470810086537985
