method,member,n_folds,mean_weight,std_weight,min_weight,max_weight,range_weight,mean_score
equal,M3,25,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
equal,M4,25,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
equal,M5,25,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
grid,M3,25,0.32800000000000007,0.02793842435706701,0.2,0.35,0.14999999999999997,0.8569111689938919
grid,M4,25,0.34,0.018633899812498255,0.3333333333333333,0.4,0.06666666666666671,0.8569111689938919
grid,M5,25,0.332,0.023033791601808754,0.25,0.4,0.15000000000000002,0.8569111689938919
slsqp,M3,25,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
slsqp,M4,25,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
slsqp,M5,25,0.33333333333333337,5.665583147960493e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
slsqp_logloss,M3,25,0.12850089981755908,0.10488970987982064,0.0,0.4037544253332406,0.4037544253332406,0.8550498330389282
slsqp_logloss,M4,25,0.3297558463153007,0.11391524505771898,0.17131786662925627,0.5063170024249458,0.3349991357956895,0.8550498330389282
slsqp_logloss,M5,25,0.5417432538671403,0.09058178056032004,0.3400206278559892,0.6923761934023673,0.35235556554637815,0.8550498330389282
