alpha,beta,gamma,selected_ranker,selected_k,selected_macro_f1,selected_n_selected,selected_normalized_inference_time,j,guarded,performance_floor
0.0,0.0,1.0,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.9926214695646963,False,
0.0,0.05,0.95,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.9466135844922586,False,
0.0,0.1,0.9,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.9006056994198209,False,
0.0,0.15,0.85,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.8545978143473832,False,
0.0,0.2,0.8,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.8085899292749454,False,
0.0,0.25,0.75,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.7625820442025077,False,
0.0,0.3,0.7,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.7165741591300699,False,
0.0,0.35,0.65,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.6705662740576324,False,
0.0,0.4,0.6,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.6245583889851946,False,
0.0,0.45,0.55,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.578550503912757,False,
0.0,0.5,0.5,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.5325426188403192,False,
0.0,0.55,0.45,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.4865347337678815,False,
0.0,0.6,0.4,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.4405268486954438,False,
0.0,0.65,0.35,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.394518963623006,False,
0.0,0.7,0.3,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.3485110785505683,False,
0.0,0.75,0.25,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.3025031934781306,False,
0.0,0.8,0.2,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.2564953084056929,False,
0.0,0.85,0.15,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.21048742333325515,False,
0.0,0.9,0.1,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.16447953826081746,False,
0.0,0.95,0.05,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.11847165318837974,False,
0.0,1.0,0.0,anova_f,10,0.7977311146574382,10.0,0.9926214695646963,0.07246376811594203,False,
0.05,0.0,0.95,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.9523936474237767,False,
0.05,0.05,0.9,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.9063857623513389,False,
0.05,0.1,0.85,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.8603778772789012,False,
0.05,0.15,0.8,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.8143699922064636,False,
0.05,0.2,0.75,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7683621071340259,False,
0.05,0.25,0.7,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7223542220615881,False,
0.05,0.3,0.65,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6763463369891505,False,
