model_id,bin,bin_low,bin_high,predicted_mean,observed_mean,observed_sd,n_folds,n_records
M1,0,0.0,0.1,0.016755,0.010281,0.006905,25,8876
M1,1,0.1,0.2,0.144184,0.093566,0.058062,25,857
M1,2,0.2,0.3,0.246322,0.152812,0.083074,25,609
M1,3,0.3,0.4,0.348314,0.217467,0.091909,25,468
M1,4,0.4,0.5,0.450138,0.293438,0.107841,25,482
M1,5,0.5,0.6,0.551081,0.319094,0.112151,25,533
M1,6,0.6,0.7,0.649765,0.359728,0.070769,25,566
M1,7,0.7,0.8,0.752107,0.439848,0.095899,25,690
M1,8,0.8,0.9,0.854053,0.539895,0.098001,25,940
M1,9,0.9,1.0,0.964542,0.760614,0.072158,25,2179
M3,0,0.0,0.1,0.043811,0.001302,0.003368,25,7093
M3,1,0.1,0.2,0.144999,0.07657,0.043807,25,2461
M3,2,0.2,0.3,0.249108,0.145924,0.052637,25,1482
M3,3,0.3,0.4,0.346711,0.277558,0.075139,25,1137
M3,4,0.4,0.5,0.448432,0.425885,0.099615,25,902
M3,5,0.5,0.6,0.551107,0.599589,0.060114,25,813
M3,6,0.6,0.7,0.652435,0.71337,0.127132,25,796
M3,7,0.7,0.8,0.749857,0.778806,0.144717,25,1055
M3,8,0.8,0.9,0.832342,0.802547,0.121217,25,450
M3,9,0.9,1.0,0.909835,0.6875,0.458063,8,11
M4,0,0.0,0.1,0.033713,0.0,0.0,25,7320
M4,1,0.1,0.2,0.140801,0.022349,0.028689,25,1509
M4,2,0.2,0.3,0.254025,0.153761,0.054039,25,1327
M4,3,0.3,0.4,0.348808,0.167437,0.049879,25,1603
M4,4,0.4,0.5,0.442585,0.289792,0.099282,25,1121
M4,5,0.5,0.6,0.5456,0.573807,0.107138,25,645
M4,6,0.6,0.7,0.651156,0.76535,0.118262,25,576
M4,7,0.7,0.8,0.750324,0.738769,0.13649,25,668
M4,8,0.8,0.9,0.850604,0.819583,0.109277,25,774
M4,9,0.9,1.0,0.938459,0.912683,0.077829,25,657
M5,0,0.0,0.1,0.019448,0.016496,0.01095,25,9615
M5,1,0.1,0.2,0.144272,0.159116,0.058944,25,977
M5,2,0.2,0.3,0.247978,0.187166,0.08758,25,653
M5,3,0.3,0.4,0.348154,0.186768,0.07979,25,501
M5,4,0.4,0.5,0.449197,0.256162,0.092579,25,533
M5,5,0.5,0.6,0.549176,0.360742,0.157633,25,457
M5,6,0.6,0.7,0.649248,0.454368,0.132074,25,415
M5,7,0.7,0.8,0.751137,0.577172,0.136718,25,462
M5,8,0.8,0.9,0.856444,0.682238,0.119973,25,706
M5,9,0.9,1.0,0.953956,0.853179,0.074759,25,1881
M6,0,0.0,0.1,0.050236,0.0,0.0,25,7222
M6,1,0.1,0.2,0.142736,0.053837,0.04034,25,1958
M6,2,0.2,0.3,0.249108,0.129727,0.05035,25,1641
M6,3,0.3,0.4,0.34537,0.213766,0.066564,25,1494
M6,4,0.4,0.5,0.445878,0.41538,0.103755,25,862
M6,5,0.5,0.6,0.551026,0.687931,0.093527,25,653
M6,6,0.6,0.7,0.652728,0.787359,0.125413,25,837
M6,7,0.7,0.8,0.750044,0.811034,0.119735,25,1097
M6,8,0.8,0.9,0.823495,0.859746,0.0964,25,436
M8,0,0.0,0.1,0.007454,0.038174,0.01241,25,11409
M8,1,0.1,0.2,0.143507,0.226953,0.104237,25,587
M8,2,0.2,0.3,0.246472,0.243093,0.145844,25,360
M8,3,0.3,0.4,0.346624,0.324615,0.129981,25,268
M8,4,0.4,0.5,0.448176,0.389071,0.195974,25,198
M8,5,0.5,0.6,0.552212,0.406208,0.249289,25,203
M8,6,0.6,0.7,0.654018,0.555379,0.185301,25,233
M8,7,0.7,0.8,0.749091,0.575543,0.193962,25,240
M8,8,0.8,0.9,0.856654,0.620963,0.13954,25,367
M8,9,0.9,1.0,0.978566,0.842096,0.080015,25,2335
