exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-A1,M1,binary,0,0,r0f0,2593,647,138,0.7851622874806801,0.7918064136510738,0.803030303030303,0.7805825242718447,0.4840182648401826,0.603988603988604,0.4970172555676769,0.8776993233303914,0.6452693892368185,106.0,113.0,402.0,26.0,647.0,132.0,515.0,0.3153380733920949,0.12375546813878845,0.223731,0.008795,{},config defaults
EXP-A1,M1,binary,0,1,r0f1,2589,651,138,0.8525345622119815,0.8463437166199947,0.835820895522388,0.8568665377176016,0.6021505376344086,0.7,0.6199433858576437,0.9324316521839545,0.7597149159378628,112.0,74.0,443.0,22.0,651.0,134.0,517.0,0.20654134857847187,0.054126853691335505,0.199088,0.011963,{},config defaults
EXP-A1,M1,binary,0,2,r0f2,2596,644,138,0.8835403726708074,0.8586893442257042,0.816793893129771,0.9005847953216374,0.6772151898734177,0.740484429065744,0.6711137285431504,0.9408657351606327,0.8370494064749844,107.0,51.0,462.0,24.0,644.0,131.0,513.0,0.16502019869173506,0.020520267456303663,0.298204,0.008027,{},config defaults
EXP-A1,M1,binary,0,3,r0f3,2585,655,138,0.8458015267175573,0.8327156666572725,0.8102189781021898,0.8552123552123552,0.5967741935483871,0.6873065015479877,0.6001855244760913,0.9230194741143647,0.7505524136369331,111.0,75.0,443.0,26.0,655.0,137.0,518.0,0.2181039614543103,0.0452552227987047,0.20267,0.008863,{},config defaults
EXP-A1,M1,binary,0,4,r0f4,2597,643,138,0.8149300155520995,0.8355051288167938,0.8702290076335878,0.80078125,0.5277777777777778,0.6570605187319885,0.5722146525056176,0.9204735209923665,0.6983341963884748,114.0,102.0,410.0,17.0,643.0,131.0,512.0,0.25031062143647204,0.08707090270063148,0.206242,0.005677,{},config defaults
EXP-A1,M1,binary,1,0,r1f0,2593,647,138,0.7758887171561051,0.7803471609296853,0.7878787878787878,0.7728155339805826,0.47058823529411764,0.5892351274787535,0.4764483220115207,0.8839952927331568,0.6283338709523653,104.0,117.0,398.0,28.0,647.0,132.0,515.0,0.2976069632706005,0.0962256024691368,0.202277,0.005729,{},config defaults
EXP-A1,M1,binary,1,1,r1f1,2585,655,138,0.8442748091603054,0.8583248328233027,0.8823529411764706,0.8342967244701349,0.5825242718446602,0.7017543859649122,0.6260416897978021,0.9241471154935963,0.7361510677616461,120.0,86.0,433.0,16.0,655.0,136.0,519.0,0.21942096831231583,0.04692355500068786,0.198382,0.005755,{},config defaults
EXP-A1,M1,binary,1,2,r1f2,2596,644,138,0.8773291925465838,0.8690013838667916,0.8549618320610687,0.8830409356725146,0.6511627906976745,0.7392739273927392,0.6714552876017578,0.9368182968022261,0.8168830627868346,112.0,60.0,453.0,19.0,644.0,131.0,513.0,0.1772972409762785,0.04663852400215157,0.210625,0.005731,{},config defaults
EXP-A1,M1,binary,1,3,r1f3,2589,651,138,0.8356374807987711,0.8306847545219638,0.8222222222222222,0.8391472868217055,0.5721649484536082,0.6747720364741642,0.5862420130293654,0.9263996554694229,0.7564198623284719,111.0,83.0,433.0,24.0,651.0,135.0,516.0,0.22476111843081797,0.0755007536233912,0.21035,0.006053,{},config defaults
EXP-A1,M1,binary,1,4,r1f4,2597,643,138,0.8538102643856921,0.8769605796755725,0.916030534351145,0.837890625,0.5911330049261084,0.718562874251497,0.6533143588050389,0.9437768368320612,0.7667845853092577,120.0,83.0,429.0,11.0,643.0,131.0,512.0,0.20041465083046264,0.04252517528055073,0.220293,0.005524,{},config defaults
EXP-A1,M1,binary,2,0,r2f0,2596,644,138,0.7996894409937888,0.817426305373272,0.8473282442748091,0.7875243664717348,0.5045454545454545,0.6324786324786325,0.5388563084840713,0.8986205972947636,0.6614135370711145,111.0,109.0,404.0,20.0,644.0,131.0,513.0,0.27600929873038904,0.07966153922203328,0.216437,0.007081,{},config defaults
EXP-A1,M1,binary,2,1,r2f1,2589,651,138,0.8387096774193549,0.8376396547244436,0.835820895522388,0.839458413926499,0.5743589743589743,0.6808510638297872,0.5960482083282758,0.9281590115188083,0.7640172339739316,112.0,83.0,434.0,22.0,651.0,134.0,517.0,0.22372015053581043,0.060439640347853096,0.209634,0.006449,{},config defaults
EXP-A1,M1,binary,2,2,r2f2,2585,655,138,0.8549618320610687,0.8492447087337598,0.8394160583941606,0.859073359073359,0.6117021276595744,0.7076923076923077,0.6279826269593106,0.9268663867204013,0.7902486611428834,115.0,73.0,445.0,22.0,655.0,137.0,518.0,0.19621828697089497,0.0438581975184877,0.194522,0.006116,{},config defaults
