model_id,bin,bin_low,bin_high,predicted_mean,observed_mean,observed_sd,n_folds,n_records
M6,0,0.0,0.1,0.046574,0.000113,0.000567,25,7587
M6,1,0.1,0.2,0.145201,0.067508,0.055214,25,1772
M6,2,0.2,0.3,0.249718,0.147843,0.049535,25,1660
M6,3,0.3,0.4,0.347883,0.223656,0.071917,25,1259
M6,4,0.4,0.5,0.446813,0.372057,0.123949,25,860
M6,5,0.5,0.6,0.550462,0.680681,0.127311,25,687
M6,6,0.6,0.7,0.65347,0.809306,0.109546,25,1045
M6,7,0.7,0.8,0.740337,0.817356,0.10327,25,1300
M6,8,0.8,0.9,0.805762,0.72381,0.319872,10,30
M7,0,0.0,0.1,0.046115,0.000113,0.000567,25,7590
M7,1,0.1,0.2,0.145356,0.067638,0.054735,25,1758
M7,2,0.2,0.3,0.249767,0.14637,0.049115,25,1661
M7,3,0.3,0.4,0.348465,0.219901,0.073371,25,1261
M7,4,0.4,0.5,0.447052,0.36893,0.124773,25,856
M7,5,0.5,0.6,0.550044,0.680981,0.126862,25,685
M7,6,0.6,0.7,0.653683,0.805355,0.113165,25,1036
M7,7,0.7,0.8,0.741347,0.816908,0.102722,25,1280
M7,8,0.8,0.9,0.80823,0.823593,0.165542,11,73
