exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_scores,planner_search_seconds,planner_tuning,params,note
EXP-A2,M6,binary,0,0,r0f0,2593,647,138,0.8238021638330757,0.8273462783171521,0.8333333333333334,0.8213592233009709,0.5445544554455446,0.6586826347305389,0.5693407816392811,0.9063842306560753,0.622453155846193,110.0,92.0,423.0,22.0,647.0,132.0,515.0,0.20535083840638801,0.04246886497180977,145.884333,1.182815,"{""M3"": 0.804118, ""M4"": 0.846413, ""M5"": 0.843029}",1164.17,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.09323453822421686, ""max_depth"": 7, ""min_samples_leaf"": 4, ""n_estimators"": 499, ""subsample"": 0.634483377656865}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,0,1,r0f1,2589,651,138,0.8325652841781874,0.8392996333612402,0.8507462686567164,0.8278529980657641,0.5615763546798029,0.6765578635014837,0.5922758583404009,0.9463899073298883,0.8357176060402108,114.0,89.0,428.0,20.0,651.0,134.0,517.0,0.15019009663169966,0.0883923143499804,251.682357,1.303432,"{""M3"": 0.786883, ""M4"": 0.851458, ""M5"": 0.844001}",927.54,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,0,2,r0f2,2596,644,138,0.8928571428571429,0.8531687573471423,0.7862595419847328,0.9200779727095516,0.7152777777777778,0.7490909090909091,0.6824021007065602,0.9520854723747453,0.840075899926861,103.0,41.0,472.0,28.0,644.0,131.0,513.0,0.1558088943147777,0.054069318141198856,138.353104,1.22591,"{""M3"": 0.802988, ""M4"": 0.856487, ""M5"": 0.854534}",815.09,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.015982313333397728, ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 680, ""subsample"": 0.8202412691633745}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,0,3,r0f3,2585,655,138,0.8778625954198473,0.8529859369275428,0.8102189781021898,0.8957528957528957,0.6727272727272727,0.7350993377483444,0.6614127313853184,0.9428881436180707,0.842122349494617,111.0,54.0,464.0,26.0,655.0,137.0,518.0,0.1668813045111697,0.10146257767203067,35.957173,0.781371,"{""M3"": 0.793136, ""M4"": 0.850279, ""M5"": 0.833885}",826.96,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 9, ""n_estimators"": 273}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,0,4,r0f4,2597,643,138,0.8538102643856921,0.8940019680343512,0.9618320610687023,0.826171875,0.586046511627907,0.7283236994219653,0.6727564971246109,0.9471165314885496,0.7081749921027308,126.0,89.0,423.0,5.0,643.0,131.0,512.0,0.16250656374720848,0.08875878176733604,50.477518,7.079396,"{""M3"": 0.781056, ""M4"": 0.83633, ""M5"": 0.828707}",800.23,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 943}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,1,0,r1f0,2593,647,138,0.8268933539412674,0.8067519858781995,0.7727272727272727,0.8407766990291262,0.5543478260869565,0.6455696202531646,0.5480353235141292,0.8867902324213004,0.6005814509719021,102.0,82.0,433.0,30.0,647.0,132.0,515.0,0.21893670884666602,0.031765971574146866,41.970702,1.248652,"{""M3"": 0.823024, ""M4"": 0.863775, ""M5"": 0.864095}",946.4,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": null, ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 872}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,1,1,r1f1,2585,655,138,0.8641221374045801,0.868135838150289,0.875,0.861271676300578,0.6230366492146597,0.72782874617737,0.657075921956534,0.9484869092145529,0.805916991973279,119.0,72.0,447.0,17.0,655.0,136.0,519.0,0.16361308991190895,0.09352713349366379,151.691084,0.628594,"{""M3"": 0.796005, ""M4"": 0.846173, ""M5"": 0.842877}",784.8,nested-bayes,"{""members"": {""M3"": {""C"": 998.6414196384693, ""class_weight"": ""balanced"", ""gamma"": 0.024720078176140727}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 190}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,1,2,r1f2,2596,644,138,0.9099378881987578,0.8866270851003675,0.8473282442748091,0.9259259259259259,0.7449664429530202,0.7928571428571428,0.7381096232522968,0.967620493132747,0.9064004615135391,111.0,38.0,475.0,20.0,644.0,131.0,513.0,0.13759305417538586,0.07889623970357862,93.936431,0.600806,"{""M3"": 0.789786, ""M4"": 0.841786, ""M5"": 0.8368}",906.25,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": null, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""n_estimators"": 151}, ""M5"": {""learning_rate"": 0.015303716369000334, ""max_depth"": 4, ""min_samples_leaf"": 15, ""n_estimators"": 619, ""subsample"": 0.8690423266938949}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,1,3,r1f3,2589,651,138,0.8771121351766513,0.8486434108527132,0.8,0.8972868217054264,0.6708074534161491,0.7297297297297297,0.6552276476603826,0.9284237726098191,0.6975235960451194,108.0,53.0,463.0,27.0,651.0,135.0,516.0,0.17229028165593535,0.05422577818825225,40.817482,1.061644,"{""M3"": 0.802926, ""M4"": 0.845291, ""M5"": 0.842832}",884.7,nested-bayes,"{""members"": {""M3"": {""C"": 0.8984805452588236, ""class_weight"": ""balanced"", ""gamma"": 0.013605140945808798}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,1,4,r1f4,2597,643,138,0.8755832037325039,0.8991531488549618,0.9389312977099237,0.859375,0.6307692307692307,0.754601226993865,0.6994938024905998,0.9615487833969465,0.7934819845190386,123.0,72.0,440.0,8.0,643.0,131.0,512.0,0.15231039094293278,0.11890297510424143,37.078585,0.97126,"{""M3"": 0.775709, ""M4"": 0.829289, ""M5"": 0.815127}",836.07,nested-bayes,"{""members"": {""M3"": {""C"": 739.5089250712385, ""class_weight"": null, ""gamma"": 0.025906921744528157}, ""M4"": {""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""n_estimators"": 939}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,0,r2f0,2596,644,138,0.7996894409937888,0.8231105754207402,0.8625954198473282,0.783625730994152,0.5044642857142857,0.6366197183098592,0.5461687459877125,0.8973557728077616,0.6534600040877392,113.0,111.0,402.0,18.0,644.0,131.0,513.0,0.2100014575588989,0.04759921713446787,29.539122,0.574384,"{""M3"": 0.808923, ""M4"": 0.871222, ""M5"": 0.868344}",727.25,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 349}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,1,r2f1,2589,651,138,0.7987711213517665,0.8484295158636219,0.9328358208955224,0.7640232108317214,0.5060728744939271,0.6561679790026247,0.5806353123629346,0.9471693755593406,0.8069974821928043,125.0,122.0,395.0,9.0,651.0,134.0,517.0,0.16037240424548518,0.07934778745790799,41.159414,1.053325,"{""M3"": 0.800238, ""M4"": 0.850076, ""M5"": 0.849161}",697.24,nested-bayes,"{""members"": {""M3"": {""C"": 1.233613500061379, ""class_weight"": ""balanced"", ""gamma"": 0.008766536338520389}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,2,r2f2,2585,655,138,0.8427480916030534,0.8710509257954513,0.9197080291970803,0.8223938223938224,0.5779816513761468,0.7098591549295775,0.6405008543039001,0.9649409576416875,0.8919735252428975,126.0,92.0,426.0,11.0,655.0,137.0,518.0,0.14795882011284406,0.12291698614205396,59.818621,1.039618,"{""M3"": 0.789078, ""M4"": 0.846667, ""M5"": 0.831039}",686.96,nested-bayes,"{""members"": {""M3"": {""C"": 30.440546640217043, ""class_weight"": null, ""gamma"": 0.017593199224444626}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 7, ""n_estimators"": 977}, ""M5"": {""learning_rate"": 0.0010393190962653526, ""max_depth"": 6, ""min_samples_leaf"": 4, ""n_estimators"": 235, ""subsample"": 0.6008106218062078}}}","bayes search inside this training fold, per member"
