model_id,kind,x,mean,sd,n_folds
M6,roc,0.0,0.054336,0.101677,25
M6,roc,0.01,0.252426,0.147572,25
M6,roc,0.02,0.423825,0.19419,25
M6,roc,0.03,0.529,0.199803,25
M6,roc,0.04,0.611445,0.166982,25
M6,roc,0.05,0.666448,0.156849,25
M6,roc,0.06,0.706637,0.139269,25
M6,roc,0.07,0.737422,0.122071,25
M6,roc,0.08,0.767945,0.102084,25
M6,roc,0.09,0.789036,0.089755,25
M6,roc,0.1,0.807149,0.078712,25
M6,roc,0.11,0.82123,0.075181,25
M6,roc,0.12,0.833839,0.071316,25
M6,roc,0.13,0.848576,0.06714,25
M6,roc,0.14,0.860019,0.055934,25
M6,roc,0.15,0.869073,0.053699,25
M6,roc,0.16,0.876325,0.049986,25
M6,roc,0.17,0.883596,0.048168,25
M6,roc,0.18,0.893254,0.047676,25
M6,roc,0.19,0.901343,0.047142,25
M6,roc,0.2,0.909187,0.044685,25
M6,roc,0.21,0.916412,0.044698,25
M6,roc,0.22,0.924559,0.041537,25
M6,roc,0.23,0.931502,0.03931,25
M6,roc,0.24,0.939375,0.039855,25
M6,roc,0.25,0.948972,0.040619,25
M6,roc,0.26,0.954072,0.037895,25
M6,roc,0.27,0.959751,0.036305,25
M6,roc,0.28,0.963633,0.034078,25
M6,roc,0.29,0.968725,0.03196,25
M6,roc,0.3,0.972339,0.031626,25
M6,roc,0.31,0.976232,0.029945,25
M6,roc,0.32,0.980731,0.028723,25
M6,roc,0.33,0.984931,0.026876,25
M6,roc,0.34,0.987044,0.024108,25
M6,roc,0.35,0.989769,0.020029,25
M6,roc,0.36,0.991837,0.019239,25
M6,roc,0.37,0.994561,0.014108,25
M6,roc,0.38,0.99516,0.012756,25
M6,roc,0.39,0.99637,0.010059,25
M6,roc,0.4,0.997281,0.006873,25
M6,roc,0.41,0.99789,0.00558,25
M6,roc,0.42,0.998487,0.004379,25
M6,roc,0.43,0.99879,0.003587,25
M6,roc,0.44,0.999392,0.002106,25
M6,roc,0.45,1.0,0.0,25
M6,roc,0.46,1.0,0.0,25
M6,roc,0.47,1.0,0.0,25
