run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M1,r0f0,long,383,1744,True,30.72,20.001,2,0.7963446475195822,0.852165061467387,0.9534883720930233,0.7508417508417509,0.5256410256410257,0.6776859504132231,0.5981753126980976,0.911479132409365,0.709803243969604,82.0,74.0,223.0,4.0,383.0,86.0,297.0
EXP-A2,binary,M1,r0f0,medium,264,1496,True,12.54925,6.6075,2,0.7803030303030303,0.7040287195851616,0.5869565217391305,0.8211009174311926,0.4090909090909091,0.48214285714285715,0.357457076808397,0.8181092939768648,0.5264696879056836,27.0,39.0,179.0,19.0,264.0,46.0,218.0
EXP-A2,binary,M1,r0f1,long,327,1744,True,28.821,20.016,2,0.9051987767584098,0.9106910039113429,0.9230769230769231,0.8983050847457628,0.7777777777777778,0.8442211055276382,0.7826866891182291,0.9620972248090891,0.8692616289325013,84.0,24.0,212.0,7.0,327.0,91.0,236.0
EXP-A2,binary,M1,r0f1,medium,324,1496,True,12.044,6.637,2,0.7993827160493827,0.7760076140031449,0.7441860465116279,0.8078291814946619,0.37209302325581395,0.49612403100775193,0.4241317085701967,0.8673342712902424,0.49005229006140594,32.0,54.0,227.0,11.0,324.0,43.0,281.0
EXP-A2,binary,M1,r0f2,long,303,1744,True,28.55,20.062,2,0.9240924092409241,0.9405446873801304,0.9696969696969697,0.9113924050632911,0.7529411764705882,0.847682119205298,0.809521514012109,0.9847845544048076,0.9463132106691141,64.0,21.0,216.0,2.0,303.0,66.0,237.0
EXP-A2,binary,M1,r0f2,medium,341,1496,True,11.708,5.3055,2,0.8504398826979472,0.7841137123745819,0.676923076923077,0.8913043478260869,0.5945945945945946,0.6330935251798561,0.5414544400160248,0.882329988851728,0.6700061833724347,44.0,30.0,246.0,21.0,341.0,65.0,276.0
EXP-A2,binary,M1,r0f3,long,352,1744,True,27.685000000000002,20.038,2,0.9289772727272727,0.9354068873022761,0.9504950495049505,0.9203187250996016,0.8275862068965517,0.8847926267281107,0.8379880812165738,0.9702970297029703,0.9012188874731513,96.0,20.0,231.0,5.0,352.0,101.0,251.0
EXP-A2,binary,M1,r0f3,medium,303,1496,True,10.314,6.3335,2,0.7524752475247525,0.6432584269662922,0.5,0.7865168539325843,0.24,0.32432432432432434,0.21481222804478234,0.8018102372034956,0.36514561327450124,18.0,57.0,210.0,18.0,303.0,36.0,267.0
EXP-A2,binary,M1,r0f4,long,379,1744,True,29.62,20.046,2,0.8232189973614775,0.85397093612707,0.9272727272727272,0.7806691449814126,0.6335403726708074,0.7527675276752768,0.6500232606063406,0.9069956066238594,0.7279135414553697,102.0,59.0,210.0,8.0,379.0,110.0,269.0
EXP-A2,binary,M1,r0f4,medium,264,1496,True,13.4435,8.0,2,0.803030303030303,0.8712522045855379,0.9523809523809523,0.7901234567901234,0.28169014084507044,0.43478260869565216,0.45311036016954287,0.9433666470703508,0.6505436445453248,20.0,51.0,192.0,1.0,264.0,21.0,243.0
