run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M1,r0f0,clean,559,2763,True,30.94760786583184,2,0.8246869409660107,0.8358341013824885,0.856,0.815668202764977,0.5721925133689839,0.6858974358974359,0.5931470667235765,0.9045714285714285,0.7077939012574053,107.0,80.0,354.0,18.0,559.0,125.0,434.0
EXP-A2,binary,M1,r0f0,low_quality_other,4,15,False,34.4195965,1,0.75,0.375,0.0,0.75,0.0,0.0,,,,0.0,1.0,3.0,0.0,4.0,0.0,4.0
EXP-A2,binary,M1,r0f0,noisy,84,462,True,34.381897011904755,2,0.5595238095238095,0.43506493506493504,0.2857142857142857,0.5844155844155844,0.058823529411764705,0.0975609756097561,-0.07312724241271307,0.44155844155844154,0.07913217261483235,2.0,32.0,45.0,5.0,84.0,7.0,77.0
EXP-A2,binary,M1,r0f1,clean,532,2763,True,31.62390868045113,2,0.9022556390977443,0.9088643419857647,0.9203539823008849,0.8973747016706444,0.7074829931972789,0.8,0.7479394370468675,0.9641793566646251,0.8622810865318541,104.0,43.0,376.0,9.0,532.0,113.0,419.0
EXP-A2,binary,M1,r0f1,low_quality_other,1,15,False,20.833255,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EXP-A2,binary,M1,r0f1,noisy,118,462,True,30.333105432203393,2,0.6271186440677966,0.605301914580265,0.5714285714285714,0.6391752577319587,0.2553191489361702,0.35294117647058826,0.164544615194578,0.632793323514973,0.23166682430267146,12.0,35.0,62.0,9.0,118.0,21.0,97.0
EXP-A2,binary,M1,r0f2,clean,529,2763,True,29.556630431001892,2,0.9111531190926276,0.8964618634338981,0.8725490196078431,0.9203747072599532,0.7235772357723578,0.7911111111111111,0.7405081870531222,0.9578224732515958,0.8834530989433739,89.0,34.0,393.0,13.0,529.0,102.0,427.0
EXP-A2,binary,M1,r0f2,noisy,115,462,True,31.292833530434784,2,0.7652173913043478,0.7287489975942261,0.6551724137931034,0.8023255813953488,0.5277777777777778,0.5846153846153846,0.4284228479048476,0.8067361668003208,0.5707135683112335,19.0,17.0,69.0,10.0,115.0,29.0,86.0
EXP-A2,binary,M1,r0f3,clean,554,2763,True,28.793460967509024,2,0.9025270758122743,0.901914377874907,0.9008264462809917,0.9030023094688222,0.7218543046357616,0.8014705882352942,0.7458631911833833,0.9617124425018609,0.8605972241374085,109.0,42.0,391.0,12.0,554.0,121.0,433.0
EXP-A2,binary,M1,r0f3,low_quality_other,7,15,False,36.46351214285714,2,0.2857142857142857,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,-0.47140452079103173,0.33333333333333337,0.2,0.0,4.0,2.0,1.0,7.0,1.0,6.0
EXP-A2,binary,M1,r0f3,noisy,94,462,True,31.493600308510636,2,0.5638297872340425,0.4704641350210971,0.3333333333333333,0.6075949367088608,0.1388888888888889,0.19607843137254902,-0.044501394232358174,0.49873417721518987,0.21913462762013045,5.0,31.0,48.0,10.0,94.0,15.0,79.0
EXP-A2,binary,M1,r0f4,clean,589,2763,True,28.795450446519528,2,0.8471986417657046,0.8797593482632853,0.937007874015748,0.8225108225108225,0.5920398009950248,0.725609756097561,0.6587906485627778,0.9338207724034495,0.7298849693940562,119.0,82.0,380.0,8.0,589.0,127.0,462.0
EXP-A2,binary,M1,r0f4,low_quality_other,3,15,False,19.684973333333332,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,0.8,,,,2.0,0.0,0.0,1.0,3.0,3.0,0.0
EXP-A2,binary,M1,r0f4,noisy,51,462,True,25.678846960784313,2,0.45098039215686275,0.72,1.0,0.44,0.034482758620689655,0.06666666666666667,0.12317635241028793,0.98,0.5,1.0,28.0,22.0,0.0,51.0,1.0,50.0
EXP-A2,binary,M1,r1f0,clean,523,2763,True,29.908973933078396,2,0.8202676864244742,0.8418965672178289,0.8785046728971962,0.8052884615384616,0.5371428571428571,0.6666666666666666,0.5845943906026699,0.9197744428468728,0.7142520476852422,94.0,81.0,335.0,13.0,523.0,107.0,416.0
EXP-A2,binary,M1,r1f0,low_quality_other,4,15,False,19.972043749999997,2,0.75,0.8333333333333333,0.6666666666666666,1.0,1.0,0.8,0.5773502691896258,1.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,1.0
EXP-A2,binary,M1,r1f0,noisy,120,462,True,32.11873609166666,2,0.5583333333333333,0.4652133580705009,0.3181818181818182,0.6122448979591837,0.15555555555555556,0.208955223880597,-0.05560706744010878,0.5797773654916512,0.24151675504310385,7.0,38.0,60.0,15.0,120.0,22.0,98.0
EXP-A2,binary,M1,r1f1,clean,563,2763,True,29.769992783303728,2,0.872113676731794,0.8745958556837388,0.8790322580645161,0.8701594533029613,0.6566265060240963,0.7517241379310344,0.6809053856183391,0.9395987949151297,0.7866488882088477,109.0,57.0,382.0,15.0,563.0,124.0,439.0
EXP-A2,binary,M1,r1f1,low_quality_other,3,15,False,31.939355333333328,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,3.0,0.0,3.0
EXP-A2,binary,M1,r1f1,noisy,89,462,True,29.141129067415733,2,0.6179775280898876,0.7440476190476191,0.9166666666666666,0.5714285714285714,0.25,0.39285714285714285,0.33343252492408215,0.8376623376623376,0.4188584451008386,11.0,33.0,44.0,1.0,89.0,12.0,77.0
EXP-A2,binary,M1,r1f2,clean,559,2763,True,30.01991357781753,2,0.9212880143112702,0.9224121466768526,0.9243697478991597,0.9204545454545454,0.7586206896551724,0.8333333333333334,0.789009152389085,0.9676661573720396,0.8953992408333912,110.0,35.0,405.0,9.0,559.0,119.0,440.0
EXP-A2,binary,M1,r1f2,low_quality_other,4,15,False,41.500502499999996,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,0.0,0.0,4.0,0.0,4.0
EXP-A2,binary,M1,r1f2,noisy,81,462,True,33.96288733333333,2,0.5679012345679012,0.5054347826086957,0.4166666666666667,0.5942028985507246,0.15151515151515152,0.2222222222222222,0.007858682668274145,0.4577294685990338,0.1902221527170302,5.0,28.0,41.0,7.0,81.0,12.0,69.0
EXP-A2,binary,M1,r1f3,clean,549,2763,True,30.965463584699457,2,0.8834244080145719,0.8863927738927739,0.8916666666666667,0.8811188811188811,0.6772151898734177,0.7697841726618705,0.7054420417981714,0.9496503496503497,0.8150810884929977,107.0,51.0,378.0,13.0,549.0,120.0,429.0
EXP-A2,binary,M1,r1f3,noisy,102,462,True,27.932300745098033,2,0.5980392156862745,0.5160919540229885,0.4,0.632183908045977,0.15789473684210525,0.22641509433962265,0.023575572580629662,0.6268199233716475,0.1972440107392957,6.0,32.0,55.0,9.0,102.0,15.0,87.0
EXP-A2,binary,M1,r1f4,clean,569,2763,True,28.975600878734625,2,0.8681898066783831,0.8918223157578262,0.9322033898305084,0.8514412416851441,0.6214689265536724,0.7457627118644068,0.686307540659163,0.957138562140629,0.8224589622902874,110.0,67.0,384.0,8.0,569.0,118.0,451.0
EXP-A2,binary,M1,r1f4,low_quality_other,4,15,False,32.77572375,2,0.75,0.8333333333333333,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5773502691896258,1.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0
EXP-A2,binary,M1,r1f4,noisy,70,462,True,32.688341457142855,2,0.6857142857142857,0.6120689655172413,0.5,0.7241379310344828,0.2727272727272727,0.35294117647058826,0.18196506606065263,0.7543103448275862,0.3007963547347674,6.0,16.0,42.0,6.0,70.0,12.0,58.0
EXP-A2,binary,M1,r2f0,clean,524,2763,True,29.65613513931298,2,0.8320610687022901,0.8595287532725467,0.9056603773584906,0.8133971291866029,0.5517241379310345,0.6857142857142857,0.6133326036779947,0.9286133429628961,0.7462550135477841,96.0,78.0,340.0,10.0,524.0,106.0,418.0
EXP-A2,binary,M1,r2f0,low_quality_other,2,15,False,28.715833500000002,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,2.0,0.0,2.0
EXP-A2,binary,M1,r2f0,noisy,118,462,True,32.46775722033898,2,0.635593220338983,0.6664516129032259,0.72,0.6129032258064516,0.3333333333333333,0.45569620253164556,0.2730502730504096,0.7212903225806452,0.39141457681441916,18.0,36.0,57.0,7.0,118.0,25.0,93.0
EXP-A2,binary,M1,r2f1,clean,566,2763,True,29.197608250883395,2,0.8303886925795053,0.8740584847142223,0.9508196721311475,0.7972972972972973,0.5631067961165048,0.7073170731707317,0.6393755810305083,0.9328016541131294,0.7576866767599292,116.0,90.0,354.0,6.0,566.0,122.0,444.0
EXP-A2,binary,M1,r2f1,low_quality_other,1,15,False,31.810908,1,1.0,1.0,1.0,,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0
EXP-A2,binary,M1,r2f1,noisy,84,462,True,33.341621273809515,2,0.20238095238095238,0.4638854296388543,0.8181818181818182,0.1095890410958904,0.12162162162162163,0.21176470588235294,-0.0752409657133459,0.39601494396014947,0.19319449265158073,9.0,65.0,8.0,2.0,84.0,11.0,73.0
EXP-A2,binary,M1,r2f2,clean,562,2763,True,30.526720889679723,2,0.8985765124555161,0.8886802179997054,0.8709677419354839,0.906392694063927,0.7248322147651006,0.7912087912087912,0.7303014637522711,0.953472529091177,0.8639982002026746,108.0,41.0,397.0,16.0,562.0,124.0,438.0
EXP-A2,binary,M1,r2f2,low_quality_other,7,15,False,37.402868,1,0.42857142857142855,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,,,,0.0,4.0,3.0,0.0,7.0,0.0,7.0
EXP-A2,binary,M1,r2f2,noisy,86,462,True,30.668453976744182,2,0.6046511627906976,0.6406743940990516,0.6923076923076923,0.589041095890411,0.23076923076923078,0.34615384615384615,0.2024402768999885,0.683877766069547,0.27681027844255657,9.0,30.0,43.0,4.0,86.0,13.0,73.0
EXP-A2,binary,M1,r2f3,clean,560,2763,True,30.586988523214288,2,0.8946428571428572,0.9115154536390828,0.940677966101695,0.8823529411764706,0.6809815950920245,0.7900355871886121,0.7388890444925573,0.9501303780964797,0.8038271960475136,111.0,52.0,390.0,7.0,560.0,118.0,442.0
EXP-A2,binary,M1,r2f3,low_quality_other,2,15,False,31.3467875,1,0.5,0.25,0.0,0.5,0.0,0.0,,,,0.0,1.0,1.0,0.0,2.0,0.0,2.0
EXP-A2,binary,M1,r2f3,noisy,81,462,True,30.92603458024692,2,0.654320987654321,0.7319004524886878,0.8461538461538461,0.6176470588235294,0.2972972972972973,0.44,0.34176731297281915,0.7002262443438914,0.26146630220388756,11.0,26.0,42.0,2.0,81.0,13.0,68.0
EXP-A2,binary,M1,r2f4,clean,551,2763,True,29.620318704174228,2,0.8947368421052632,0.8898696520139351,0.8813559322033898,0.8983833718244804,0.7027027027027027,0.7819548872180451,0.7216905144077458,0.9510510040317846,0.7866635060926336,104.0,44.0,389.0,14.0,551.0,118.0,433.0
EXP-A2,binary,M1,r2f4,low_quality_other,3,15,False,19.684973333333332,1,1.0,1.0,1.0,,1.0,1.0,,,,3.0,0.0,0.0,0.0,3.0,3.0,0.0
EXP-A2,binary,M1,r2f4,noisy,93,462,True,27.545095569892474,2,0.6666666666666666,0.4567627494456763,0.18181818181818182,0.7317073170731707,0.08333333333333333,0.11428571428571428,-0.06382064186124439,0.4645232815964523,0.11547174177632245,2.0,22.0,60.0,9.0,93.0,11.0,82.0
EXP-A2,binary,M1,r3f0,clean,547,2763,True,30.49767334917733,2,0.8263254113345521,0.8638741246941702,0.9259259259259259,0.8018223234624146,0.5347593582887701,0.6779661016949152,0.6107356248975033,0.9234792879439804,0.7267933667076734,100.0,87.0,352.0,8.0,547.0,108.0,439.0
EXP-A2,binary,M1,r3f0,noisy,97,462,True,32.73444115463918,2,0.6082474226804123,0.563454759106933,0.4782608695652174,0.6486486486486487,0.2972972972972973,0.36666666666666664,0.11112134414013938,0.6251468860164513,0.2818742900508132,11.0,26.0,48.0,12.0,97.0,23.0,74.0
EXP-A2,binary,M1,r3f1,clean,575,2763,True,30.718259490434782,2,0.8956521739130435,0.8941849816849817,0.8916666666666667,0.8967032967032967,0.6948051948051948,0.781021897810219,0.7234774221515708,0.9551648351648352,0.7981861521056612,107.0,47.0,408.0,13.0,575.0,120.0,455.0
EXP-A2,binary,M1,r3f1,low_quality_other,1,15,False,20.833255,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EXP-A2,binary,M1,r3f1,noisy,71,462,True,28.745303084507043,2,0.6056338028169014,0.530367231638418,0.4166666666666667,0.6440677966101694,0.19230769230769232,0.2631578947368421,0.04724533098537791,0.5536723163841808,0.2716393043682645,5.0,21.0,38.0,7.0,71.0,12.0,59.0
EXP-A2,binary,M1,r3f2,clean,558,2763,True,29.27824563620072,2,0.8870967741935484,0.9101382488479263,0.9516129032258065,0.868663594470046,0.6742857142857143,0.7892976588628763,0.73501730564758,0.9620744759922699,0.8299868832088166,118.0,57.0,377.0,6.0,558.0,124.0,434.0
EXP-A2,binary,M1,r3f2,low_quality_other,1,15,False,41.86032,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0
