exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-A2,M1,binary,0,0,r0f0,2593,647,138,0.7897990726429676,0.8031700500147103,0.8257575757575758,0.7805825242718447,0.49099099099099097,0.615819209039548,0.5146783724424583,0.8803765813474551,0.6544243172786941,109.0,113.0,402.0,23.0,647.0,132.0,515.0,0.31032089532736423,0.11545721306945972,0.208979,0.005776,0.853936,12.0,56.59,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,0,1,r0f1,2589,651,138,0.8525345622119815,0.8574006178007447,0.8656716417910447,0.8491295938104448,0.5979381443298969,0.7073170731707317,0.6318645642645354,0.9329224284765727,0.7601739708532379,116.0,78.0,439.0,18.0,651.0,134.0,517.0,0.2044815508126328,0.04528877524762983,0.217556,0.006854,0.842272,12.0,45.11,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,0,2,r0f2,2596,644,138,0.8850931677018633,0.8625061381188339,0.8244274809160306,0.9005847953216374,0.6792452830188679,0.7448275862068966,0.6768154425647688,0.9404490870943261,0.8372068659058727,108.0,51.0,462.0,23.0,644.0,131.0,513.0,0.16634262409320183,0.016086507315676794,0.2228,0.005933,0.833644,12.0,90.74,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,0,3,r0f3,2585,655,138,0.8473282442748091,0.8417340698362596,0.8321167883211679,0.8513513513513513,0.5968586387434555,0.6951219512195121,0.6116004045305248,0.9195389341374743,0.7294276328691006,114.0,77.0,441.0,23.0,655.0,137.0,518.0,0.22386082435039198,0.0337337022257758,3.177434,0.006505,0.846612,12.0,108.79,nested-bayes,"{""C"": 0.2437391987072402, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-A2,M1,binary,0,4,r0f4,2597,643,138,0.8149300155520995,0.8582269799618321,0.9312977099236641,0.78515625,0.5258620689655172,0.6721763085399449,0.6008886659265192,0.9237237595419847,0.6997049564213959,122.0,110.0,402.0,9.0,643.0,131.0,512.0,0.24672234187644182,0.06425985943570499,0.186965,0.007951,0.841056,12.0,97.24,nested-bayes,"{""C"": 0.10592439431558083, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,1,0,r1f0,2593,647,138,0.7712519319938176,0.7746175345689909,0.7803030303030303,0.7689320388349514,0.46396396396396394,0.5819209039548022,0.4662060310023063,0.8835834068843778,0.6278396831032393,103.0,119.0,396.0,29.0,647.0,132.0,515.0,0.296811126223589,0.09186088188907056,0.224321,0.006629,0.855024,12.0,135.66,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,1,1,r1f1,2585,655,138,0.8381679389312977,0.8544712682760965,0.8823529411764706,0.8265895953757225,0.5714285714285714,0.6936416184971098,0.6161330636778073,0.9252096792474216,0.7350410673576477,120.0,90.0,429.0,16.0,655.0,136.0,519.0,0.22044267781343915,0.044302319595447004,0.237751,0.006367,0.831303,12.0,41.9,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,1,2,r1f2,2596,644,138,0.8711180124223602,0.873629153460411,0.8778625954198473,0.8693957115009746,0.6318681318681318,0.7348242811501597,0.6680491260773008,0.9380980015773106,0.7982265528579456,115.0,67.0,446.0,16.0,644.0,131.0,513.0,0.18131951366943289,0.016427767096150854,0.103796,0.007557,0.832231,12.0,51.2,nested-bayes,"{""C"": 0.026161506430952816, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-A2,M1,binary,1,3,r1f3,2589,651,138,0.8387096774193549,0.8380921619293713,0.837037037037037,0.8391472868217055,0.576530612244898,0.6827794561933535,0.5976172149265516,0.9267154751650876,0.7553536479245262,113.0,83.0,433.0,22.0,651.0,135.0,516.0,0.22157231111877487,0.0636179349687267,0.259135,0.007859,0.830198,12.0,45.48,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,1,4,r1f4,2597,643,138,0.8475894245723172,0.8645336354961832,0.8931297709923665,0.8359375,0.582089552238806,0.7048192771084337,0.633474397928554,0.9440899332061069,0.7690825120957091,117.0,84.0,428.0,14.0,643.0,131.0,512.0,0.19857788401303628,0.0532973100372206,26.24195,0.006785,0.823394,12.0,184.86,nested-bayes,"{""C"": 1.7475951592807504, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-A2,M1,binary,2,0,r2f0,2596,644,138,0.796583850931677,0.8240033927056828,0.8702290076335878,0.7777777777777778,0.5,0.6350974930362117,0.5454560900626817,0.9012990491495916,0.6660260933522809,114.0,114.0,399.0,17.0,644.0,131.0,513.0,0.27385804222165355,0.05777288571853712,1.776547,0.006886,0.852174,12.0,54.04,nested-bayes,"{""C"": 0.10466029972452176, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""saga""}",bayes search inside this training fold,
