model_id,kind,x,mean,sd,n_folds
M1,roc,0.0,0.05448,0.05243,25
M1,roc,0.01,0.239878,0.095503,25
M1,roc,0.02,0.340031,0.094291,25
M1,roc,0.03,0.426795,0.084874,25
M1,roc,0.04,0.485518,0.090031,25
M1,roc,0.05,0.54173,0.087217,25
M1,roc,0.06,0.595179,0.089023,25
M1,roc,0.07,0.638803,0.091002,25
M1,roc,0.08,0.667407,0.091314,25
M1,roc,0.09,0.699539,0.095661,25
M1,roc,0.1,0.724139,0.093637,25
M1,roc,0.11,0.744053,0.096328,25
M1,roc,0.12,0.76841,0.088301,25
M1,roc,0.13,0.784001,0.088039,25
M1,roc,0.14,0.802056,0.088972,25
M1,roc,0.15,0.818894,0.085027,25
M1,roc,0.16,0.840836,0.079262,25
M1,roc,0.17,0.856771,0.073467,25
M1,roc,0.18,0.870604,0.067197,25
M1,roc,0.19,0.882,0.064116,25
M1,roc,0.2,0.88891,0.06371,25
M1,roc,0.21,0.902501,0.059395,25
M1,roc,0.22,0.91034,0.054718,25
M1,roc,0.23,0.918716,0.054282,25
M1,roc,0.24,0.92658,0.05084,25
M1,roc,0.25,0.9338,0.045783,25
M1,roc,0.26,0.944027,0.039981,25
M1,roc,0.27,0.951813,0.037816,25
M1,roc,0.28,0.956638,0.036024,25
M1,roc,0.29,0.959945,0.033124,25
M1,roc,0.3,0.962951,0.032791,25
M1,roc,0.31,0.967772,0.028979,25
M1,roc,0.32,0.97411,0.02371,25
M1,roc,0.33,0.97893,0.018268,25
M1,roc,0.34,0.981647,0.014828,25
M1,roc,0.35,0.983743,0.014278,25
M1,roc,0.36,0.985851,0.013895,25
M1,roc,0.37,0.986458,0.014008,25
M1,roc,0.38,0.987665,0.013091,25
M1,roc,0.39,0.988274,0.012751,25
M1,roc,0.4,0.989482,0.01153,25
M1,roc,0.41,0.990961,0.011754,25
M1,roc,0.42,0.991855,0.011151,25
M1,roc,0.43,0.992766,0.010129,25
M1,roc,0.44,0.993058,0.009788,25
M1,roc,0.45,0.993058,0.009788,25
