exp_id,fold_label,repeat,fold,M6_balanced_accuracy,M7_balanced_accuracy,delta_balanced_accuracy,M6_sensitivity,M7_sensitivity,delta_sensitivity,M6_specificity,M7_specificity,delta_specificity,M6_f1,M7_f1,delta_f1,M6_roc_auc,M7_roc_auc,delta_roc_auc,M6_accuracy,M7_accuracy,delta_accuracy
EXP-A2,r0f0,0,0,0.8394895557516917,0.8327890556045896,-0.006700500147102106,0.8712121212121212,0.8636363636363636,-0.007575757575757569,0.8077669902912621,0.8019417475728156,-0.005825242718446533,0.6647398843930635,0.6551724137931034,-0.009567470599960104,0.9081788761400412,0.9076787290379524,-0.0005001471020887882,0.8207109737248841,0.8145285935085008,-0.0061823802163832875
EXP-A2,r0f1,0,1,0.8521536418487832,0.8521536418487832,0.0,0.8880597014925373,0.8880597014925373,0.0,0.816247582205029,0.816247582205029,0.0,0.6839080459770115,0.6839080459770115,0.0,0.9486850082277202,0.9486850082277202,0.0,0.8310291858678955,0.8310291858678955,0.0
EXP-A2,r0f2,0,2,0.8439132181599036,0.8439132181599036,0.0,0.7404580152671756,0.7404580152671756,0.0,0.9473684210526316,0.9473684210526316,0.0,0.7607843137254902,0.7607843137254902,0.0,0.947026174426737,0.947026174426737,0.0,0.90527950310559,0.90527950310559,0.0
EXP-A2,r0f3,0,3,0.8535284502437788,0.8535284502437788,0.0,0.8248175182481752,0.8248175182481752,0.0,0.8822393822393823,0.8822393822393823,0.0,0.7266881028938906,0.7266881028938906,0.0,0.9424794972240228,0.9424794972240228,0.0,0.8702290076335878,0.8702290076335878,0.0
EXP-A2,r0f4,0,4,0.8868976622137404,0.8868976622137404,0.0,0.9847328244274808,0.9847328244274808,0.0,0.7890625,0.7890625,0.0,0.7010869565217391,0.7010869565217391,0.0,0.9514104246183206,0.9514104246183206,0.0,0.8289269051321928,0.8289269051321928,0.0
EXP-A2,r1f0,1,0,0.8135481023830538,0.8135481023830538,0.0,0.7727272727272727,0.7727272727272727,0.0,0.8543689320388349,0.8543689320388349,0.0,0.6601941747572816,0.6601941747572816,0.0,0.8905854663136217,0.8905854663136217,0.0,0.8377125193199382,0.8377125193199382,0.0
EXP-A2,r1f1,1,1,0.8556330046469455,0.8556330046469455,0.0,0.7941176470588235,0.7941176470588235,0.0,0.9171483622350676,0.9171483622350676,0.0,0.7526132404181185,0.7526132404181185,0.0,0.9425365521931316,0.9425365521931316,0.0,0.8916030534351145,0.8916030534351145,0.0
EXP-A2,r1f2,1,2,0.8714417511123016,0.8714417511123016,0.0,0.8091603053435115,0.8091603053435115,0.0,0.9337231968810916,0.9337231968810916,0.0,0.7822878228782287,0.7822878228782287,0.0,0.96876627531509,0.96876627531509,0.0,0.908385093167702,0.908385093167702,0.0
EXP-A2,r1f3,1,3,0.8344530577088717,0.8344530577088717,0.0,0.7851851851851852,0.7851851851851852,0.0,0.8837209302325582,0.8837209302325582,0.0,0.7043189368770764,0.7043189368770764,0.0,0.92786391042205,0.92786391042205,0.0,0.8632872503840245,0.8632872503840245,0.0
EXP-A2,r1f4,1,4,0.8851234494274809,0.8851234494274809,0.0,0.9694656488549618,0.9694656488549618,0.0,0.80078125,0.80078125,0.0,0.7055555555555556,0.7055555555555556,0.0,0.960922590648855,0.960922590648855,0.0,0.8351477449455676,0.8351477449455676,0.0
EXP-A2,r2f0,2,0,0.796876627531509,0.796876627531509,0.0,0.8549618320610687,0.8549618320610687,0.0,0.7387914230019493,0.7387914230019493,0.0,0.5941644562334217,0.5941644562334217,0.0,0.8936059402110024,0.8936059402110024,0.0,0.7624223602484472,0.7624223602484472,0.0
EXP-A2,r2f1,2,1,0.8638961863795145,0.8638961863795145,0.0,0.8805970149253731,0.8805970149253731,0.0,0.8471953578336557,0.8471953578336557,0.0,0.7129909365558912,0.7129909365558912,0.0,0.9483097087098358,0.9483097087098358,0.0,0.8540706605222734,0.8540706605222734,0.0
EXP-A2,r2f2,2,2,0.8824225685539554,0.8824225685539554,0.0,0.927007299270073,0.927007299270073,0.0,0.8378378378378378,0.8378378378378378,0.0,0.7298850574712644,0.7298850574712644,0.0,0.9606008511118,0.9606008511118,0.0,0.8564885496183207,0.8564885496183207,0.0
EXP-A2,r2f3,2,3,0.9030593988549618,0.9030593988549618,0.0,0.9389312977099236,0.9389312977099236,0.0,0.8671875,0.8671875,0.0,0.7639751552795031,0.7639751552795031,0.0,0.956688334923664,0.956688334923664,0.0,0.8818040435458787,0.8818040435458787,0.0
EXP-A2,r2f4,2,4,0.8464621947631656,0.8464621947631656,0.0,0.7803030303030303,0.7803030303030303,0.0,0.912621359223301,0.912621359223301,0.0,0.7357142857142858,0.7357142857142858,0.0,0.9363047955280964,0.9363047955280964,0.0,0.8856259659969088,0.8856259659969088,0.0
EXP-A2,r3f0,3,0,0.8205958067348185,0.8205958067348185,0.0,0.8244274809160306,0.8244274809160306,0.0,0.8167641325536062,0.8167641325536062,0.0,0.6486486486486487,0.6486486486486487,0.0,0.8965522372513133,0.8965522372513133,0.0,0.8183229813664596,0.8183229813664596,0.0
EXP-A2,r3f1,3,1,0.8973595175051485,0.8973595175051485,0.0,0.9015151515151516,0.9015151515151516,0.0,0.8932038834951457,0.8932038834951457,0.0,0.7777777777777778,0.7777777777777778,0.0,0.9471462194763166,0.9471462194763166,0.0,0.8948995363214838,0.8948995363214838,0.0
EXP-A2,r3f2,3,2,0.869510087271903,0.869510087271903,0.0,0.9779411764705882,0.9779411764705882,0.0,0.7610789980732178,0.7610789980732178,0.0,0.6768447837150128,0.6768447837150128,0.0,0.961733537345574,0.961733537345574,0.0,0.8061068702290076,0.8061068702290076,0.0
EXP-A2,r3f3,3,3,0.8502799310938846,0.8502799310938846,0.0,0.8962962962962963,0.8962962962962963,0.0,0.8042635658914729,0.8042635658914729,0.0,0.6778711484593838,0.6778711484593838,0.0,0.9419465977605512,0.9419465977605512,0.0,0.8233486943164362,0.8233486943164362,0.0
EXP-A2,r3f4,3,4,0.8565496779580153,0.8565496779580153,0.0,0.8244274809160306,0.8244274809160306,0.0,0.888671875,0.888671875,0.0,0.7297297297297297,0.7297297297297297,0.0,0.9412720658396948,0.9412720658396948,0.0,0.8755832037325039,0.8755832037325039,0.0
EXP-A2,r4f0,4,0,0.8463320299217953,0.8461549359628244,-0.00017709395897091973,0.8602941176470589,0.8676470588235294,0.007352941176470562,0.8323699421965318,0.8246628131021194,-0.007707129094412402,0.6882352941176471,0.6840579710144927,-0.004177323103154329,0.9126997619857192,0.9119205485662472,-0.000779213419472069,0.8381679389312977,0.833587786259542,-0.004580152671755711
EXP-A2,r4f1,4,1,0.8577890867967204,0.8577890867967204,0.0,0.900763358778626,0.900763358778626,0.0,0.8148148148148148,0.8148148148148148,0.0,0.686046511627907,0.686046511627907,0.0,0.9554484174813624,0.9554484174813624,0.0,0.8322981366459627,0.8322981366459627,0.0
EXP-A2,r4f2,4,2,0.8586054721977052,0.8586054721977052,0.0,0.8181818181818182,0.8181818181818182,0.0,0.8990291262135922,0.8990291262135922,0.0,0.7397260273972602,0.7397260273972602,0.0,0.9466460723742276,0.9466460723742276,0.0,0.8825347758887172,0.8825347758887172,0.0
EXP-A2,r4f3,4,3,0.8715977605512488,0.8715977605512488,0.0,0.8962962962962963,0.8962962962962963,0.0,0.8468992248062015,0.8468992248062015,0.0,0.7223880597014926,0.7223880597014926,0.0,0.9487797875394774,0.9487797875394774,0.0,0.8571428571428571,0.8571428571428571,0.0
EXP-A2,r4f4,4,4,0.8390610090648856,0.8390610090648856,0.0,0.816793893129771,0.816793893129771,0.0,0.861328125,0.861328125,0.0,0.6925566343042071,0.6925566343042071,0.0,0.923828125,0.923828125,0.0,0.8522550544323484,0.8522550544323484,0.0
