exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M1,0,0,r0f0,2593,647,0.803030303030303,0.7805825242718447,0.7918064136510738,0.603988603988604,0.4840182648401826,0.8776993233303914,0.6452693892368185,0.7851622874806801,0.4970172555676769,0.3153380733920949,0.1237554681387884
EXP-A1,M1,0,1,r0f1,2589,651,0.835820895522388,0.8568665377176016,0.8463437166199947,0.7,0.6021505376344086,0.9324316521839544,0.7597149159378628,0.8525345622119815,0.6199433858576437,0.2065413485784718,0.0541268536913355
EXP-A1,M1,0,2,r0f2,2596,644,0.816793893129771,0.9005847953216374,0.8586893442257042,0.740484429065744,0.6772151898734177,0.9408657351606328,0.8370494064749844,0.8835403726708074,0.6711137285431504,0.165020198691735,0.0205202674563036
EXP-A1,M1,0,3,r0f3,2585,655,0.8102189781021898,0.8552123552123552,0.8327156666572725,0.6873065015479877,0.5967741935483871,0.9230194741143648,0.7505524136369331,0.8458015267175573,0.6001855244760913,0.2181039614543103,0.0452552227987047
EXP-A1,M1,0,4,r0f4,2597,643,0.8702290076335878,0.80078125,0.8355051288167938,0.6570605187319885,0.5277777777777778,0.9204735209923663,0.6983341963884748,0.8149300155520995,0.5722146525056176,0.250310621436472,0.0870709027006314
EXP-A1,M1,1,0,r1f0,2593,647,0.7878787878787878,0.7728155339805826,0.7803471609296853,0.5892351274787535,0.4705882352941176,0.8839952927331568,0.6283338709523653,0.7758887171561051,0.4764483220115207,0.2976069632706005,0.0962256024691368
EXP-A1,M1,1,1,r1f1,2585,655,0.8823529411764706,0.8342967244701349,0.8583248328233027,0.7017543859649122,0.5825242718446602,0.9241471154935964,0.7361510677616461,0.8442748091603054,0.6260416897978021,0.2194209683123158,0.0469235550006878
EXP-A1,M1,1,2,r1f2,2596,644,0.8549618320610687,0.8830409356725146,0.8690013838667916,0.7392739273927392,0.6511627906976745,0.936818296802226,0.8168830627868346,0.8773291925465838,0.6714552876017578,0.1772972409762785,0.0466385240021515
EXP-A1,M1,1,3,r1f3,2589,651,0.8222222222222222,0.8391472868217055,0.8306847545219638,0.6747720364741642,0.5721649484536082,0.9263996554694228,0.7564198623284719,0.8356374807987711,0.5862420130293654,0.2247611184308179,0.0755007536233912
EXP-A1,M1,1,4,r1f4,2597,643,0.916030534351145,0.837890625,0.8769605796755725,0.718562874251497,0.5911330049261084,0.9437768368320612,0.7667845853092577,0.8538102643856921,0.6533143588050389,0.2004146508304626,0.0425251752805507
