exp_id,model_id,metric,n_folds,n_folds_defined,mean,sd,min,max,mean_pm_sd
EXP-A1,M1,sensitivity,25,25,0.8479933187885698,0.039651751739522886,0.7786259541984732,0.916030534351145,0.8480 +/- 0.0397
EXP-A1,M1,specificity,25,25,0.8378530531876638,0.036437864841969474,0.7707129094412332,0.9005847953216374,0.8379 +/- 0.0364
EXP-A1,M1,balanced_accuracy,25,25,0.8429231859881168,0.026269482333133316,0.7803471609296853,0.8837965171755725,0.8429 +/- 0.0263
EXP-A1,M1,f1,25,25,0.6867562609818505,0.042513708411701046,0.5892351274787535,0.740484429065744,0.6868 +/- 0.0425
EXP-A1,M1,precision,25,25,0.5792293573419356,0.054091154212963496,0.4705882352941176,0.6772151898734177,0.5792 +/- 0.0541
EXP-A1,M1,roc_auc,25,25,0.9221754145146952,0.019219626715802365,0.8776993233303914,0.9472493787479724,0.9222 +/- 0.0192
EXP-A1,M1,pr_auc,25,25,0.7394381410081831,0.055854532185452305,0.6283338709523653,0.8370494064749844,0.7394 +/- 0.0559
EXP-A1,M1,accuracy,25,25,0.8399528099206428,0.029711112128121765,0.7758887171561051,0.8835403726708074,0.8400 +/- 0.0297
EXP-A1,M1,mcc,25,25,0.6052821345294546,0.054877973278702516,0.4764483220115207,0.6716141786368581,0.6053 +/- 0.0549
EXP-A1,M1,brier,25,25,0.22470480513485022,0.0402764000013868,0.165020198691735,0.3153380733920949,0.2247 +/- 0.0403
EXP-A1,M1,ece,25,25,0.060688400282142646,0.023643803384649206,0.0205202674563036,0.1237554681387884,0.0607 +/- 0.0236
EXP-A1,M3,sensitivity,25,25,0.6698449028753386,0.06880737110743863,0.5114503816793893,0.8091603053435115,0.6698 +/- 0.0688
EXP-A1,M3,specificity,25,25,0.9303228738736918,0.027051946775737128,0.882466281310212,0.9688109161793372,0.9303 +/- 0.0271
EXP-A1,M3,balanced_accuracy,25,25,0.8000838883745152,0.036461651068808644,0.737362915346041,0.8528223401717557,0.8001 +/- 0.0365
EXP-A1,M3,f1,25,25,0.6908738481927146,0.05766357453401893,0.5789473684210527,0.768595041322314,0.6909 +/- 0.0577
EXP-A1,M3,precision,25,25,0.7201413518360311,0.08072813274911769,0.5703703703703704,0.8392857142857143,0.7201 +/- 0.0807
EXP-A1,M3,roc_auc,25,25,0.924078273935299,0.023586273628884238,0.8706158951237296,0.9539008675207952,0.9241 +/- 0.0236
EXP-A1,M3,pr_auc,25,25,0.7208671133081641,0.08245380982396673,0.5712963053881107,0.8675614064407223,0.7209 +/- 0.0825
EXP-A1,M3,accuracy,25,25,0.8768856610276579,0.025075639105622563,0.8260869565217391,0.9130434782608696,0.8769 +/- 0.0251
EXP-A1,M3,mcc,25,25,0.6171888183669375,0.07285804610560723,0.4694738622032071,0.719229419417638,0.6172 +/- 0.0729
