run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M1,r0f0,medium,59,116,True,8.884059,5.749297,4,0.6779661016949152,0.6072916666666667,0.6088221472799645,0.6784894377019317,0.6168300653594772,0.6072916666666667,59.0,4.0,0.8796351092477973,0.4117647058823529,0.4666666666666667,0.4375,15.0,0.7222222222222222,0.8125,0.7647058823529411,16.0,0.3333333333333333,0.25,0.2857142857142857,8.0,1.0,0.9,0.9473684210526315,20.0
EXP-B1,pascal_a,M1,r0f0,short,3,8,False,0.936372,0.936372,2,0.3333333333333333,0.5,0.16666666666666666,0.2222222222222222,0.125,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M1,r0f1,medium,57,116,True,9.0,5.849592,4,0.6666666666666666,0.5910714285714286,0.5921594982078853,0.6729705087090485,0.5959401709401709,0.5910714285714286,57.0,4.0,0.8679836588979385,0.46153846153846156,0.42857142857142855,0.4444444444444444,14.0,0.8,0.75,0.7741935483870968,16.0,0.2222222222222222,0.2857142857142857,0.25,7.0,0.9,0.9,0.9,20.0
EXP-B1,pascal_a,M1,r0f1,short,5,8,False,3.463424,1.947392,3,0.2,0.16666666666666666,0.1,0.16,0.08333333333333333,0.125,5.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.4,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M1,r1f0,medium,59,116,True,9.0,5.749297,4,0.7288135593220338,0.7455357142857143,0.703921568627451,0.7285476902625457,0.703926282051282,0.7455357142857143,59.0,4.0,0.9007802517250192,0.5833333333333334,0.4375,0.5,16.0,0.8333333333333334,0.9375,0.8823529411764706,16.0,0.46153846153846156,0.8571428571428571,0.6,7.0,0.9375,0.75,0.8333333333333334,20.0
EXP-B1,pascal_a,M1,r1f0,short,3,8,False,0.936372,0.936372,2,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.375,0.375,3.0,4.0,,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M1,r1f1,medium,57,116,True,8.884059,5.849592,4,0.6666666666666666,0.5872596153846155,0.5906277630415562,0.6665735957931965,0.6055147058823529,0.5872596153846155,57.0,4.0,0.8675863708638099,0.375,0.46153846153846156,0.41379310344827586,13.0,0.6470588235294118,0.6875,0.6666666666666666,16.0,0.4,0.25,0.3076923076923077,8.0,1.0,0.95,0.9743589743589743,20.0
EXP-B1,pascal_a,M1,r1f1,short,5,8,False,3.463424,1.947392,3,0.4,0.3333333333333333,0.225,0.36,0.20833333333333331,0.25,5.0,4.0,,0.3333333333333333,0.5,0.4,2.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M1,r2f0,medium,58,116,True,8.9420295,5.749297,4,0.6896551724137931,0.6120535714285713,0.6166666666666667,0.7002873563218391,0.6251984126984127,0.6120535714285713,58.0,4.0,0.8866222498791437,0.4,0.4,0.4,15.0,0.9285714285714286,0.8125,0.8666666666666667,16.0,0.2222222222222222,0.2857142857142857,0.25,7.0,0.95,0.95,0.95,20.0
EXP-B1,pascal_a,M1,r2f0,short,4,8,False,1.441882,0.936372,2,0.25,0.5,0.125,0.125,0.08333333333333333,0.25,4.0,4.0,,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M1,r2f1,medium,58,116,True,9.0,6.818934,4,0.6379310344827587,0.6147321428571428,0.6242956952896102,0.6654387478336558,0.6635586635586636,0.6147321428571428,58.0,4.0,0.8504563254727728,0.36363636363636365,0.5714285714285714,0.4444444444444444,14.0,0.8461538461538461,0.6875,0.7586206896551724,16.0,0.4444444444444444,0.5,0.47058823529411764,8.0,1.0,0.7,0.8235294117647058,20.0
