exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-B1,M1,pascal_a,0,0,r0f0,62,62,138,0.6612903225806451,0.5975490196078431,0.5945919005129532,0.6560624137024816,0.6055555555555555,0.5975490196078431,62.0,4.0,0.858207613378139,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0,0.7,0.8235294117647058,0.7567567567567568,17.0,0.3333333333333333,0.2,0.25,10.0,1.0,0.9,0.9473684210526315,20.0,0.48910846595611396,0.1954529967555233,1.0571,0.00288,0.601403,12.0,16.95,nested-bayes,"{""C"": 5.720419920216622, ""l1_ratio"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,0,1,r0f1,62,62,138,0.6290322580645161,0.5785539215686275,0.5782467532467532,0.6344365312107247,0.5821428571428572,0.5785539215686275,62.0,4.0,0.8520232592284931,0.42857142857142855,0.375,0.4,16.0,0.75,0.7058823529411765,0.7272727272727273,17.0,0.25,0.3333333333333333,0.2857142857142857,9.0,0.9,0.9,0.9,20.0,0.5873190068273184,0.24936830815432942,1.330555,0.01558,0.61543,12.0,15.58,nested-bayes,"{""C"": 6.344089552665764, ""l1_ratio"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,1,0,r1f0,62,62,138,0.7258064516129032,0.7266135620915033,0.7017234625930279,0.7233488748215255,0.7052083333333333,0.7266135620915033,62.0,4.0,0.8790023560011919,0.5833333333333334,0.4375,0.5,16.0,0.8,0.9411764705882353,0.8648648648648649,17.0,0.5,0.7777777777777778,0.6086956521739131,9.0,0.9375,0.75,0.8333333333333334,20.0,0.5051868196951287,0.26589958013395987,1.197739,0.003592,0.6273,12.0,23.09,nested-bayes,"{""C"": 60.9677904501411, ""l1_ratio"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,1,1,r1f1,62,62,138,0.6451612903225806,0.5909313725490196,0.5965309200603318,0.6482751909696881,0.6110128261831048,0.5909313725490196,62.0,4.0,0.8472185164300308,0.3684210526315789,0.4666666666666667,0.4117647058823529,15.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,17.0,0.42857142857142855,0.3,0.35294117647058826,10.0,1.0,0.95,0.9743589743589743,20.0,0.5415848144258063,0.2820722014960758,1.452148,0.002736,0.598676,12.0,23.57,nested-bayes,"{""C"": 61.78706529052855, ""l1_ratio"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,2,0,r2f0,62,62,138,0.6612903225806451,0.5933823529411765,0.5927881254369319,0.6598663672709348,0.592687908496732,0.5933823529411765,62.0,4.0,0.8725176540883675,0.375,0.4,0.3870967741935484,15.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.2222222222222222,0.2,0.21052631578947367,10.0,0.95,0.95,0.95,20.0,0.39904009419047354,0.13012016978003138,0.053168,0.0053,0.652105,12.0,9.82,nested-bayes,"{""C"": 0.08014430326185781, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,2,1,r2f1,62,62,138,0.5967741935483871,0.572875816993464,0.5855846134000158,0.6211558787678582,0.6202898550724637,0.572875816993464,62.0,4.0,0.8159200183696667,0.34782608695652173,0.5,0.41025641025641024,16.0,0.7333333333333333,0.6470588235294118,0.6875,17.0,0.4,0.4444444444444444,0.42105263157894735,9.0,1.0,0.7,0.8235294117647058,20.0,0.6513117304849336,0.3249212758181482,1.461724,0.004526,0.582513,12.0,15.37,nested-bayes,"{""C"": 61.787100280343054, ""l1_ratio"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,3,0,r3f0,62,62,138,0.6774193548387096,0.6455882352941176,0.6412184306921149,0.6697264252442521,0.6433712486344065,0.6455882352941176,62.0,4.0,0.8610806720396833,0.46153846153846156,0.4,0.42857142857142855,15.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0,0.5555555555555556,0.5,0.5263157894736842,10.0,0.8421052631578947,0.8,0.8205128205128205,20.0,0.48524522958007155,0.18137550537414265,0.037374,0.002605,0.584836,12.0,10.71,nested-bayes,"{""C"": 0.1122383217882262, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,3,1,r3f1,62,62,138,0.6774193548387096,0.6718341503267974,0.6385416666666667,0.6750672043010754,0.6691885964912281,0.6718341503267974,62.0,4.0,0.8565774699953812,0.625,0.3125,0.4166666666666667,16.0,0.7333333333333333,0.6470588235294118,0.6875,17.0,0.3684210526315789,0.7777777777777778,0.5,9.0,0.95,0.95,0.95,20.0,0.5203007453900925,0.2006085997004624,0.040476,0.002684,0.707771,12.0,8.68,nested-bayes,"{""C"": 1.708689609337248, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,4,0,r4f0,62,62,138,0.6774193548387096,0.6475490196078431,0.635916179337232,0.6772873042822108,0.6349206349206349,0.6475490196078431,62.0,4.0,0.8704428498076808,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0,0.7777777777777778,0.8235294117647058,0.8,17.0,0.42857142857142855,0.6,0.5,10.0,1.0,0.9,0.9473684210526315,20.0,0.39623776269406646,0.12015141802330599,0.072836,0.003327,0.626605,12.0,14.82,nested-bayes,"{""C"": 0.017266221722533618, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B1,M1,pascal_a,4,1,r4f1,62,62,138,0.6774193548387096,0.6578431372549018,0.6293040293040293,0.6702540470282407,0.6354166666666666,0.6578431372549018,62.0,4.0,0.8675372187773114,0.4444444444444444,0.25,0.32,16.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.375,0.6666666666666666,0.48,9.0,1.0,0.95,0.9743589743589743,20.0,0.618765043233748,0.3334893450862332,0.019146,0.002641,0.653296,12.0,11.01,nested-bayes,"{""C"": 0.0010621468497404184, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
