exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,brier,ece,fit_seconds,predict_seconds,params,note
EXP-B2,M1,pascal_b,0,0,r0f0,369,92,138,0.5217391304347826,0.4688413742690058,0.45974686170764595,0.586344199515555,0.5176767676767676,0.4688413742690058,92.0,3.0,0.6586323464168297,0.7954545454545454,0.546875,0.6481481481481481,64.0,0.6666666666666666,0.5263157894736842,0.5882352941176471,19.0,0.09090909090909091,0.3333333333333333,0.14285714285714285,9.0,0.7534492896489849,0.3515160571869298,0.104403,0.002987,{},config defaults
EXP-B2,M1,pascal_b,0,1,r0f1,369,92,138,0.5,0.45126705653021437,0.41588835212023617,0.5330322761324652,0.42231842231842237,0.45126705653021437,92.0,3.0,0.624212401686144,0.7272727272727273,0.5,0.5925925925925926,64.0,0.4444444444444444,0.631578947368421,0.5217391304347826,19.0,0.09523809523809523,0.2222222222222222,0.13333333333333333,9.0,0.7826001593282359,0.34650429360651286,0.07208,0.002816,{},config defaults
EXP-B2,M1,pascal_b,0,2,r0f2,368,93,138,0.5376344086021505,0.49281798245614034,0.46474478506252953,0.5794573690039948,0.4795389795389795,0.49281798245614034,93.0,3.0,0.665794378155187,0.7777777777777778,0.546875,0.6422018348623854,64.0,0.5454545454545454,0.631578947368421,0.5853658536585366,19.0,0.11538461538461539,0.3,0.16666666666666666,10.0,0.7173869326372682,0.30502828250623515,0.080079,0.002783,{},config defaults
EXP-B2,M1,pascal_b,0,3,r0f3,369,92,138,0.5652173913043478,0.48251705653021437,0.46432318009816037,0.6055631844637421,0.47601010101010094,0.48251705653021437,92.0,3.0,0.7195491693789613,0.7916666666666666,0.59375,0.6785714285714286,64.0,0.5454545454545454,0.631578947368421,0.5853658536585366,19.0,0.09090909090909091,0.2222222222222222,0.12903225806451613,9.0,0.5924673214092899,0.27086659683941255,0.076815,0.002743,{},config defaults
EXP-B2,M1,pascal_b,0,4,r0f4,369,92,138,0.5760869565217391,0.5020406920077972,0.4697940478873542,0.5981309065355278,0.47201426024955434,0.5020406920077972,92.0,3.0,0.666276080248254,0.7454545454545455,0.640625,0.6890756302521008,64.0,0.47058823529411764,0.42105263157894735,0.4444444444444444,19.0,0.2,0.4444444444444444,0.27586206896551724,9.0,0.6364801278720639,0.23619716174024347,0.084641,0.002898,{},config defaults
EXP-B2,M3,pascal_b,0,0,r0f0,369,92,138,0.6956521739130435,0.3333333333333333,0.2735042735042735,0.5707915273132664,0.2318840579710145,0.3333333333333333,92.0,3.0,0.6339174499134658,0.6956521739130435,1.0,0.8205128205128205,64.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.0,0.44058964343274654,0.023497709417728132,0.138376,0.05854,{},config defaults
EXP-B2,M3,pascal_b,0,1,r0f1,369,92,138,0.6956521739130435,0.3333333333333333,0.2735042735042735,0.5707915273132664,0.2318840579710145,0.3333333333333333,92.0,3.0,0.6614541945649065,0.6956521739130435,1.0,0.8205128205128205,64.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.0,0.43260321505772936,0.01710765873762538,0.134981,0.09185,{},config defaults
EXP-B2,M3,pascal_b,0,2,r0f2,368,93,138,0.6881720430107527,0.3333333333333333,0.27176220806794055,0.5610574618176838,0.22939068100358426,0.3333333333333333,93.0,3.0,0.7209485172996888,0.6881720430107527,1.0,0.8152866242038217,64.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,10.0,0.4117879681440609,0.1304649943404116,0.306264,0.12792,{},config defaults
EXP-B2,M3,pascal_b,0,3,r0f3,369,92,138,0.6956521739130435,0.3333333333333333,0.2735042735042735,0.5707915273132664,0.2318840579710145,0.3333333333333333,92.0,3.0,0.668314273160207,0.6956521739130435,1.0,0.8205128205128205,64.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.0,0.43520302568698693,0.013852919379778911,0.118851,0.05958,{},config defaults
EXP-B2,M3,pascal_b,0,4,r0f4,369,92,138,0.6956521739130435,0.3333333333333333,0.2735042735042735,0.5707915273132664,0.2318840579710145,0.3333333333333333,92.0,3.0,0.6349715529212673,0.6956521739130435,1.0,0.8205128205128205,64.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.0,0.4449603841609782,0.047125700320182595,0.140336,0.058347,{},config defaults
