run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M1,r0f0,medium,38,229,True,8.524375,5.0235,3,0.5526315789473685,0.4466666666666667,0.47179487179487173,0.5856950067476383,0.5318840579710146,0.4466666666666667,38.0,3.0,0.586528749028749,0.6956521739130435,0.64,0.6666666666666666,25.0,0.8,0.5,0.6153846153846154,8.0,0.1,0.2,0.13333333333333333,5.0
EXP-B2,pascal_b,M1,r0f0,short,54,227,True,3.070125,0.76325,3,0.5555555555555556,0.5365190365190365,0.49461259987575773,0.644460153232083,0.5858585858585857,0.5365190365190365,54.0,3.0,0.7188512133860971,0.9166666666666666,0.5641025641025641,0.6984126984126984,39.0,0.75,0.5454545454545454,0.631578947368421,11.0,0.09090909090909091,0.5,0.15384615384615385,4.0
EXP-B2,pascal_b,M1,r0f1,long,1,5,False,22.2015,22.2015,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f1,medium,41,229,True,9.08275,5.0895,3,0.5853658536585366,0.6388888888888888,0.5348837209302325,0.6029495178672717,0.5289760348583878,0.6388888888888888,41.0,3.0,0.8093381109715049,0.7647058823529411,0.5,0.6046511627906976,26.0,0.6,0.75,0.6666666666666666,12.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0
EXP-B2,pascal_b,M1,r0f1,short,50,227,True,2.787,1.23325,3,0.5,0.341055341055341,0.3222222222222222,0.5353333333333333,0.32979664014146776,0.341055341055341,50.0,3.0,0.4970964244220058,0.7586206896551724,0.5945945945945946,0.6666666666666666,37.0,0.23076923076923078,0.42857142857142855,0.3,7.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M1,r0f2,medium,54,229,True,10.399375,5.12025,3,0.6296296296296297,0.5833333333333334,0.5611027503326137,0.6436733140914257,0.566122766122766,0.5833333333333334,54.0,3.0,0.7265278885344676,0.7333333333333333,0.6875,0.7096774193548387,32.0,0.6923076923076923,0.5625,0.6206896551724138,16.0,0.2727272727272727,0.5,0.35294117647058826,6.0
EXP-B2,pascal_b,M1,r0f2,short,39,227,True,3.0885,1.17275,3,0.5384615384615384,0.4930555555555555,0.4041928721174004,0.6017739074342848,0.4112554112554112,0.4930555555555555,39.0,3.0,0.5860229276895944,0.8571428571428571,0.5625,0.6792452830188679,32.0,0.2857142857142857,0.6666666666666666,0.4,3.0,0.09090909090909091,0.25,0.13333333333333333,4.0
EXP-B2,pascal_b,M1,r0f3,long,2,5,False,26.0135,24.16,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f3,medium,49,229,True,8.38675,5.10025,3,0.5510204081632653,0.5431372549019607,0.49282296650717705,0.589590860267552,0.5029330572808833,0.5431372549019607,49.0,3.0,0.7499040175510764,0.782608695652174,0.5294117647058824,0.631578947368421,34.0,0.5833333333333334,0.7,0.6363636363636364,10.0,0.14285714285714285,0.4,0.21052631578947367,5.0
EXP-B2,pascal_b,M1,r0f3,short,41,227,True,2.91775,1.03925,3,0.6097560975609756,0.43821839080459773,0.4646464646464647,0.6444937176644493,0.4945054945054945,0.43821839080459773,41.0,3.0,0.7057363005638867,0.7692307692307693,0.6896551724137931,0.7272727272727273,29.0,0.7142857142857143,0.625,0.6666666666666666,8.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M1,r0f4,long,2,5,False,22.750999999999998,21.97,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f4,medium,47,229,True,10.1835,5.081,3,0.574468085106383,0.4476190476190476,0.45210727969348663,0.5775250672536072,0.4698412698412698,0.4476190476190476,47.0,3.0,0.6978279030910611,0.6666666666666666,0.7142857142857143,0.6896551724137931,28.0,0.6,0.42857142857142855,0.5,14.0,0.14285714285714285,0.2,0.16666666666666666,5.0
EXP-B2,pascal_b,M1,r0f4,short,43,227,True,2.906,1.329,3,0.6046511627906976,0.4588235294117647,0.4156084656084656,0.6312107788851974,0.43608498780912575,0.4588235294117647,43.0,3.0,0.5690667090047895,0.7931034482758621,0.6764705882352942,0.7301587301587301,34.0,0.3333333333333333,0.2,0.25,5.0,0.18181818181818182,0.5,0.26666666666666666,4.0
EXP-B2,pascal_b,M3,r0f0,medium,38,229,True,8.524375,5.0235,3,0.7368421052631579,0.4583333333333333,0.4595959595959596,0.6630781499202553,0.5714285714285715,0.4583333333333333,38.0,3.0,0.6353885003885004,0.7142857142857143,1.0,0.8333333333333334,25.0,1.0,0.375,0.5454545454545454,8.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M3,r0f0,short,54,227,True,3.070125,0.76325,3,0.7407407407407407,0.3636363636363636,0.33816425120772947,0.6462694578636607,0.5786163522012578,0.3636363636363636,54.0,3.0,0.6306761713738458,0.7358490566037735,1.0,0.8478260869565217,39.0,1.0,0.09090909090909091,0.16666666666666666,11.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M3,r0f1,long,1,5,False,22.2015,22.2015,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f1,medium,41,229,True,9.08275,5.0895,3,0.6829268292682927,0.3888888888888889,0.36190476190476195,0.5909407665505226,0.5555555555555555,0.3888888888888889,41.0,3.0,0.7139707136984814,0.6666666666666666,1.0,0.8,26.0,1.0,0.16666666666666666,0.2857142857142857,12.0,0.0,0.0,0.0,3.0
EXP-B2,pascal_b,M3,r0f1,short,50,227,True,2.787,1.23325,3,0.72,0.32432432432432434,0.27906976744186046,0.6195348837209302,0.2448979591836735,0.32432432432432434,50.0,3.0,0.5823499602569371,0.7346938775510204,0.972972972972973,0.8372093023255814,37.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M3,r0f2,medium,54,229,True,10.399375,5.12025,3,0.6296296296296297,0.40625,0.38675213675213677,0.5641025641025641,0.41847826086956524,0.40625,54.0,3.0,0.713533359914939,0.6304347826086957,0.90625,0.7435897435897436,32.0,0.625,0.3125,0.4166666666666667,16.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M3,r0f2,short,39,227,True,3.0885,1.17275,3,0.8205128205128205,0.3333333333333333,0.3004694835680751,0.7396171903214157,0.2735042735042735,0.3333333333333333,39.0,3.0,0.6616953262786597,0.8205128205128205,1.0,0.9014084507042254,32.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M3,r0f3,long,2,5,False,26.0135,24.16,2,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f3,medium,49,229,True,8.38675,5.10025,3,0.7346938775510204,0.4235294117647059,0.42133815551537074,0.6671587260582352,0.49444444444444446,0.4235294117647059,49.0,3.0,0.6387334887334887,0.7333333333333333,0.9705882352941176,0.8354430379746836,34.0,0.75,0.3,0.42857142857142855,10.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M3,r0f3,short,41,227,True,2.91775,1.03925,3,0.7804878048780488,0.4583333333333333,0.47037539574853,0.7187344872091869,0.587719298245614,0.4583333333333333,41.0,3.0,0.5486175831003418,0.7631578947368421,1.0,0.8656716417910447,29.0,1.0,0.375,0.5454545454545454,8.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M3,r0f4,long,2,5,False,22.750999999999998,21.97,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,3.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f4,medium,47,229,True,10.1835,5.081,3,0.6382978723404256,0.39285714285714285,0.3646322378716745,0.5523923683947658,0.45930232558139533,0.39285714285714285,47.0,3.0,0.6785752259436469,0.627906976744186,0.9642857142857143,0.7605633802816901,28.0,0.75,0.21428571428571427,0.3333333333333333,14.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M3,r0f4,short,43,227,True,2.906,1.329,3,0.7906976744186046,0.3333333333333333,0.29437229437229434,0.6982784657203261,0.2635658914728682,0.3333333333333333,43.0,3.0,0.554204263801787,0.7906976744186046,1.0,0.8831168831168831,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M4,r0f0,medium,38,229,True,8.524375,5.0235,3,0.47368421052631576,0.37833333333333335,0.37051138484509144,0.4847350739671126,0.3696969696969697,0.37833333333333335,38.0,3.0,0.6239452214452214,0.6363636363636364,0.56,0.5957446808510638,25.0,0.2727272727272727,0.375,0.3157894736842105,8.0,0.2,0.2,0.2,5.0
EXP-B2,pascal_b,M4,r0f0,short,54,227,True,3.070125,0.76325,3,0.6666666666666666,0.513014763014763,0.509059829059829,0.6921367521367521,0.5277777777777778,0.513014763014763,54.0,3.0,0.7362156749366052,0.8055555555555556,0.7435897435897436,0.7733333333333333,39.0,0.6666666666666666,0.5454545454545454,0.6,11.0,0.1111111111111111,0.25,0.15384615384615385,4.0
EXP-B2,pascal_b,M4,r0f1,long,1,5,False,22.2015,22.2015,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M4,r0f1,medium,41,229,True,9.08275,5.0895,3,0.5853658536585366,0.5256410256410257,0.4912008281573499,0.599113770640812,0.48333333333333334,0.5256410256410257,41.0,3.0,0.7358819240851909,0.75,0.5769230769230769,0.6521739130434783,26.0,0.5,0.6666666666666666,0.5714285714285714,12.0,0.2,0.3333333333333333,0.25,3.0
EXP-B2,pascal_b,M4,r0f1,short,50,227,True,2.787,1.23325,3,0.66,0.4210639210639211,0.42897102897102896,0.6437002997002997,0.4444444444444444,0.4210639210639211,50.0,3.0,0.6029863791491699,0.75,0.8108108108108109,0.7792207792207793,37.0,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0,0.25,0.16666666666666666,0.2,6.0
EXP-B2,pascal_b,M4,r0f2,medium,54,229,True,10.399375,5.12025,3,0.5185185185185185,0.3854166666666667,0.37907884465261515,0.5215369936681412,0.37628554143980636,0.3854166666666667,54.0,3.0,0.6284999113946483,0.6551724137931034,0.59375,0.6229508196721312,32.0,0.47368421052631576,0.5625,0.5142857142857142,16.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M4,r0f2,short,39,227,True,3.0885,1.17275,3,0.6923076923076923,0.3819444444444444,0.4375,0.7051282051282052,0.6041666666666666,0.3819444444444444,39.0,3.0,0.5483245149911816,0.8125,0.8125,0.8125,32.0,1.0,0.3333333333333333,0.5,3.0,0.0,0.0,0.0,4.0
