exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-B2,M1,pascal_b,0,0,r0f0,369,92,138,0.5543478260869565,0.4844663742690058,0.4853420493664396,0.619694489027734,0.5571638025095472,0.4844663742690058,92.0,3.0,0.6638442736367013,0.8085106382978723,0.59375,0.6846846846846847,64.0,0.7692307692307693,0.5263157894736842,0.625,19.0,0.09375,0.3333333333333333,0.14634146341463414,9.0,0.6889232889015162,0.2875530906638245,4.618408,0.004445,0.483647,12.0,116.73,nested-bayes,"{""C"": 0.7455197939848914, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B2,M1,pascal_b,0,1,r0f1,369,92,138,0.532608695652174,0.46689205653021437,0.43171669412804164,0.5626384100019622,0.43351736829997706,0.46689205653021437,92.0,3.0,0.6293309997049229,0.7608695652173914,0.546875,0.6363636363636364,64.0,0.42857142857142855,0.631578947368421,0.5106382978723404,19.0,0.1111111111111111,0.2222222222222222,0.14814814814814814,9.0,0.8292374686374163,0.4022285607203863,3.692528,0.003692,0.457422,12.0,88.85,nested-bayes,"{""C"": 321.6415736973637, ""l1_ratio"": 1.0, ""max_iter"": 1000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B2,M1,pascal_b,0,2,r0f2,368,93,138,0.5913978494623656,0.5346491228070175,0.5032515793385358,0.6208568585847688,0.505377302436126,0.5346491228070175,93.0,3.0,0.6805334559900466,0.7843137254901961,0.625,0.6956521739130435,64.0,0.55,0.5789473684210527,0.5641025641025641,19.0,0.18181818181818182,0.4,0.25,10.0,0.7253893115591663,0.3430705237972708,0.123515,0.003056,0.466428,12.0,37.98,nested-bayes,"{""C"": 5.924085907759598, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-B2,M1,pascal_b,0,3,r0f3,369,92,138,0.5760869565217391,0.5000609161793372,0.48386620991531065,0.6147341098933834,0.49515563801278084,0.5000609161793372,92.0,3.0,0.7199815084717166,0.7755102040816326,0.59375,0.672566371681416,64.0,0.6190476190476191,0.6842105263157895,0.65,19.0,0.09090909090909091,0.2222222222222222,0.12903225806451613,9.0,0.6114209093859972,0.2873808841127142,3.035123,0.003842,0.432672,12.0,98.32,nested-bayes,"{""C"": 5.316991390353499, ""l1_ratio"": 1.0, ""max_iter"": 1000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B2,M1,pascal_b,0,4,r0f4,369,92,138,0.5760869565217391,0.45787646198830406,0.4478611811980189,0.5969840917955657,0.47242503259452406,0.45787646198830406,92.0,3.0,0.6551458845547443,0.7288135593220338,0.671875,0.6991869918699187,64.0,0.5384615384615384,0.3684210526315789,0.4375,19.0,0.15,0.3333333333333333,0.20689655172413793,9.0,0.6152213819025167,0.22015185084824912,3.135908,0.004155,0.425252,12.0,78.71,nested-bayes,"{""C"": 1.095960267094766, ""l1_ratio"": 1.0, ""max_iter"": 1000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-B2,M3,pascal_b,0,0,r0f0,369,92,138,0.7391304347826086,0.40350877192982454,0.39664378337147216,0.6576460053725998,0.5757575757575758,0.40350877192982454,92.0,3.0,0.6259487346997309,0.7272727272727273,1.0,0.8421052631578947,64.0,1.0,0.21052631578947367,0.34782608695652173,19.0,0.0,0.0,0.0,9.0,0.4172325830079639,0.06418550330204922,0.12687,0.059345,0.392702,12.0,9.44,nested-bayes,"{""C"": 486.27850415982226, ""class_weight"": null, ""gamma"": 0.01177502825262823}",bayes search inside this training fold,
EXP-B2,M3,pascal_b,0,1,r0f1,369,92,138,0.7065217391304348,0.36321271929824556,0.33511586452762926,0.6104394326900721,0.4581772784019975,0.36321271929824556,92.0,3.0,0.6569569189901479,0.7078651685393258,0.984375,0.8235294117647058,64.0,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0,0.0,0.0,0.0,9.0,0.4307956853410305,0.034519621956363544,0.123988,0.051916,0.389928,12.0,8.67,nested-bayes,"{""C"": 0.46458351349909793, ""class_weight"": ""balanced"", ""gamma"": 0.0001}",bayes search inside this training fold,
EXP-B2,M3,pascal_b,0,2,r0f2,368,93,138,0.7096774193548387,0.40542763157894735,0.39638743889303174,0.6391367914064024,0.44754901960784316,0.40542763157894735,93.0,3.0,0.6994414689709935,0.7176470588235294,0.953125,0.8187919463087249,64.0,0.625,0.2631578947368421,0.37037037037037035,19.0,0.0,0.0,0.0,10.0,0.42326783877700935,0.08096079554859684,0.132075,0.046858,0.390746,12.0,7.96,nested-bayes,"{""C"": 89.00792723361438, ""class_weight"": ""balanced"", ""gamma"": 0.01836794243749983}",bayes search inside this training fold,
EXP-B2,M3,pascal_b,0,3,r0f3,369,92,138,0.7608695652173914,0.45093201754385964,0.4566232899566233,0.6993297645471558,0.5416666666666666,0.45093201754385964,92.0,3.0,0.6098242408441975,0.75,0.984375,0.8513513513513513,64.0,0.875,0.3684210526315789,0.5185185185185185,19.0,0.0,0.0,0.0,9.0,0.4064824305509695,0.050363578106506546,0.138333,0.060993,0.398821,12.0,8.32,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-B2,M3,pascal_b,0,4,r0f4,369,92,138,0.717391304347826,0.3807565789473684,0.36327231121281467,0.6305342751964979,0.4886363636363636,0.3807565789473684,92.0,3.0,0.6363066711777933,0.7159090909090909,0.984375,0.8289473684210527,64.0,0.75,0.15789473684210525,0.2608695652173913,19.0,0.0,0.0,0.0,9.0,0.4340910105152936,0.030952830911752188,0.143017,0.044918,0.39357,12.0,8.19,nested-bayes,"{""C"": 10.310748950062829, ""class_weight"": ""balanced"", ""gamma"": 0.018872566170724078}",bayes search inside this training fold,
