exp_id,model_id,task,repeat,fold,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_Benign,recall_Benign,f1_Benign,support_Benign,precision_MVP,recall_MVP,f1_MVP,support_MVP,precision_Other pathologic,recall_Other pathologic,f1_Other pathologic,support_Other pathologic
EXP-G1-within_source,M1,diagnosis_multiclass_within_source,0,0,236,56,0.39285714285714285,0.30379041248606464,0.3175925925925926,0.41140873015873014,0.3333333333333333,0.30379041248606464,56.0,3.0,0.5665134874984031,0.5909090909090909,0.5652173913043478,0.5777777777777777,23.0,0.4090909090909091,0.34615384615384615,0.375,26.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M1,diagnosis_multiclass_within_source,0,1,233,59,0.3559322033898305,0.33869488536155207,0.32503052503052504,0.3681008257279444,0.33095238095238094,0.33869488536155207,59.0,3.0,0.5026241051976346,0.45,0.36,0.4,25.0,0.4,0.37037037037037035,0.38461538461538464,27.0,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0
EXP-G1-within_source,M1,diagnosis_multiclass_within_source,0,2,233,59,0.3728813559322034,0.286634460547504,0.2751937984496124,0.35573512022073317,0.26818181818181813,0.286634460547504,59.0,3.0,0.48121578099838963,0.35,0.30434782608695654,0.32558139534883723,23.0,0.45454545454545453,0.5555555555555556,0.5,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M1,diagnosis_multiclass_within_source,0,3,234,58,0.3793103448275862,0.3309849704777241,0.3209013209013209,0.3812394502049674,0.3402846195949644,0.3309849704777241,58.0,3.0,0.48186149884607105,0.4827586206896552,0.6086956521739131,0.5384615384615384,23.0,0.4666666666666667,0.25925925925925924,0.3333333333333333,27.0,0.07142857142857142,0.125,0.09090909090909091,8.0
EXP-G1-within_source,M1,diagnosis_multiclass_within_source,0,4,232,60,0.3333333333333333,0.2839506172839506,0.28672942045035066,0.33990863787375414,0.29456543657995565,0.2839506172839506,60.0,3.0,0.4793647256882551,0.42105263157894735,0.3333333333333333,0.37209302325581395,24.0,0.3793103448275862,0.4074074074074074,0.39285714285714285,27.0,0.08333333333333333,0.1111111111111111,0.09523809523809523,9.0
EXP-G1-within_source,M3,diagnosis_multiclass_within_source,0,0,236,56,0.5714285714285714,0.42363433667781497,0.3822148577740956,0.5071606107231624,0.42020202020202024,0.42363433667781497,56.0,3.0,0.5232327368973332,0.7272727272727273,0.34782608695652173,0.47058823529411764,23.0,0.5333333333333333,0.9230769230769231,0.676056338028169,26.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M3,diagnosis_multiclass_within_source,0,1,233,59,0.3728813559322034,0.2814814814814815,0.26379834854411127,0.3491260247939364,0.24845679012345678,0.2814814814814815,59.0,3.0,0.4978866204601499,0.37037037037037035,0.4,0.38461538461538464,25.0,0.375,0.4444444444444444,0.4067796610169492,27.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M3,diagnosis_multiclass_within_source,0,2,233,59,0.4576271186440678,0.34192163177670426,0.28287581699346404,0.3724027916251246,0.2809343434343434,0.34192163177670426,59.0,3.0,0.4213378958668814,0.36363636363636365,0.17391304347826086,0.23529411764705882,23.0,0.4791666666666667,0.8518518518518519,0.6133333333333333,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M3,diagnosis_multiclass_within_source,0,3,234,58,0.4482758620689655,0.35534084809447125,0.31724137931034485,0.40499405469678956,0.29730848861283643,0.35534084809447125,58.0,3.0,0.5430656848994858,0.45714285714285713,0.6956521739130435,0.5517241379310345,23.0,0.43478260869565216,0.37037037037037035,0.4,27.0,0.0,0.0,0.0,8.0
EXP-G1-within_source,M3,diagnosis_multiclass_within_source,0,4,232,60,0.45,0.33487654320987653,0.23104056437389772,0.30820105820105825,0.2631578947368421,0.33487654320987653,60.0,3.0,0.5435736724543914,0.3333333333333333,0.041666666666666664,0.07407407407407407,24.0,0.45614035087719296,0.9629629629629629,0.6190476190476191,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M4,diagnosis_multiclass_within_source,0,0,236,56,0.5357142857142857,0.4080267558528428,0.39252095422308186,0.5148107211936999,0.3783524904214559,0.4080267558528428,56.0,3.0,0.5906043970817706,0.5833333333333334,0.6086956521739131,0.5957446808510638,23.0,0.5517241379310345,0.6153846153846154,0.5818181818181818,26.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M4,diagnosis_multiclass_within_source,0,1,233,59,0.5084745762711864,0.38419753086419756,0.3682539682539683,0.4861985472154963,0.35606060606060613,0.38419753086419756,59.0,3.0,0.4913351907714653,0.5833333333333334,0.56,0.5714285714285714,25.0,0.48484848484848486,0.5925925925925926,0.5333333333333333,27.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M4,diagnosis_multiclass_within_source,0,2,233,59,0.3389830508474576,0.2533548040794418,0.21794871794871795,0.288787483702738,0.2007113821138211,0.2533548040794418,59.0,3.0,0.4759980542136339,0.1875,0.13043478260869565,0.15384615384615385,23.0,0.4146341463414634,0.6296296296296297,0.5,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M4,diagnosis_multiclass_within_source,0,3,234,58,0.43103448275862066,0.34728931830381105,0.293560606060606,0.3711794670846395,0.2835963653754185,0.34728931830381105,58.0,3.0,0.5558774435960037,0.43902439024390244,0.782608695652174,0.5625,23.0,0.4117647058823529,0.25925925925925924,0.3181818181818182,27.0,0.0,0.0,0.0,8.0
EXP-G1-within_source,M4,diagnosis_multiclass_within_source,0,4,232,60,0.4166666666666667,0.3487654320987654,0.34836303056642043,0.403302911777488,0.3680555555555556,0.3487654320987654,60.0,3.0,0.514296697915979,0.4166666666666667,0.4166666666666667,0.4166666666666667,24.0,0.4375,0.5185185185185185,0.4745762711864407,27.0,0.25,0.1111111111111111,0.15384615384615385,9.0
EXP-G1-within_source,M5,diagnosis_multiclass_within_source,0,0,236,56,0.5,0.37904124860646604,0.3717171717171717,0.4891774891774891,0.3657262277951933,0.37904124860646604,56.0,3.0,0.5705712309971406,0.5454545454545454,0.5217391304347826,0.5333333333333333,23.0,0.5517241379310345,0.6153846153846154,0.5818181818181818,26.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M5,diagnosis_multiclass_within_source,0,1,233,59,0.4406779661016949,0.3298765432098765,0.3161290322580645,0.42044833242208857,0.3119047619047619,0.3298765432098765,59.0,3.0,0.45531453749591,0.45,0.36,0.4,25.0,0.4857142857142857,0.6296296296296297,0.5483870967741935,27.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M5,diagnosis_multiclass_within_source,0,2,233,59,0.423728813559322,0.3193773483628556,0.27657004830917875,0.3627487103905674,0.2567693744164332,0.3193773483628556,59.0,3.0,0.44972691894793343,0.29411764705882354,0.21739130434782608,0.25,23.0,0.47619047619047616,0.7407407407407407,0.5797101449275363,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M5,diagnosis_multiclass_within_source,0,3,234,58,0.43103448275862066,0.3408480944712829,0.30574712643678165,0.391319857312723,0.2877846790890269,0.3408480944712829,58.0,3.0,0.46130759441068,0.42857142857142855,0.6521739130434783,0.5172413793103449,23.0,0.43478260869565216,0.37037037037037035,0.4,27.0,0.0,0.0,0.0,8.0
EXP-G1-within_source,M5,diagnosis_multiclass_within_source,0,4,232,60,0.4666666666666667,0.3873456790123457,0.3864473123280239,0.4482996163236833,0.42739414606422277,0.3873456790123457,60.0,3.0,0.5337229869501111,0.4782608695652174,0.4583333333333333,0.46808510638297873,24.0,0.47058823529411764,0.5925925925925926,0.5245901639344263,27.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
EXP-G1-within_source,M6,diagnosis_multiclass_within_source,0,0,236,56,0.6428571428571429,0.4816053511705685,0.4461538461538462,0.5892857142857143,0.440422322775264,0.4816053511705685,56.0,3.0,0.581438530906144,0.7058823529411765,0.5217391304347826,0.6,23.0,0.6153846153846154,0.9230769230769231,0.7384615384615385,26.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M6,diagnosis_multiclass_within_source,0,1,233,59,0.4915254237288136,0.3688888888888889,0.34403567447045713,0.4561079303894337,0.3324979114452799,0.3688888888888889,59.0,3.0,0.45465547615057417,0.5238095238095238,0.44,0.4782608695652174,25.0,0.47368421052631576,0.6666666666666666,0.5538461538461539,27.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M6,diagnosis_multiclass_within_source,0,2,233,59,0.423728813559322,0.3172302737520129,0.2658548959918823,0.3499213167195521,0.25473801560758086,0.3172302737520129,59.0,3.0,0.45772544283413846,0.3076923076923077,0.17391304347826086,0.2222222222222222,23.0,0.45652173913043476,0.7777777777777778,0.5753424657534246,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M6,diagnosis_multiclass_within_source,0,3,234,58,0.46551724137931033,0.3698336017176597,0.32814481724893346,0.41852836985173963,0.3089225589225589,0.3698336017176597,58.0,3.0,0.5301275196588427,0.4722222222222222,0.7391304347826086,0.576271186440678,23.0,0.45454545454545453,0.37037037037037035,0.40816326530612246,27.0,0.0,0.0,0.0,8.0
EXP-G1-within_source,M6,diagnosis_multiclass_within_source,0,4,232,60,0.43333333333333335,0.3287037037037037,0.27927927927927926,0.3635135135135135,0.2771412984178942,0.3287037037037037,60.0,3.0,0.5548520334059549,0.38461538461538464,0.20833333333333334,0.2702702702702703,24.0,0.44680851063829785,0.7777777777777778,0.5675675675675675,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M7,diagnosis_multiclass_within_source,0,0,236,56,0.5357142857142857,0.4080267558528428,0.39252095422308186,0.5148107211936999,0.3783524904214559,0.4080267558528428,56.0,3.0,0.5906043970817706,0.5833333333333334,0.6086956521739131,0.5957446808510638,23.0,0.5517241379310345,0.6153846153846154,0.5818181818181818,26.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M7,diagnosis_multiclass_within_source,0,1,233,59,0.5254237288135594,0.3965432098765433,0.3762685402029664,0.49720160362005317,0.36111111111111116,0.3965432098765433,59.0,3.0,0.4893161196102372,0.5833333333333334,0.56,0.5714285714285714,25.0,0.5,0.6296296296296297,0.5573770491803278,27.0,0.0,0.0,0.0,7.0
EXP-G1-within_source,M7,diagnosis_multiclass_within_source,0,2,233,59,0.3389830508474576,0.2533548040794418,0.21794871794871795,0.288787483702738,0.2007113821138211,0.2533548040794418,59.0,3.0,0.4759980542136339,0.1875,0.13043478260869565,0.15384615384615385,23.0,0.4146341463414634,0.6296296296296297,0.5,27.0,0.0,0.0,0.0,9.0
EXP-G1-within_source,M7,diagnosis_multiclass_within_source,0,3,234,58,0.43103448275862066,0.34728931830381105,0.293560606060606,0.3711794670846395,0.2835963653754185,0.34728931830381105,58.0,3.0,0.5528062549626366,0.43902439024390244,0.782608695652174,0.5625,23.0,0.4117647058823529,0.25925925925925924,0.3181818181818182,27.0,0.0,0.0,0.0,8.0
EXP-G1-within_source,M7,diagnosis_multiclass_within_source,0,4,232,60,0.4166666666666667,0.3101851851851852,0.21811045696663864,0.2910008410428932,0.21212121212121213,0.3101851851851852,60.0,3.0,0.5677444378424771,0.2,0.041666666666666664,0.06896551724137931,24.0,0.43636363636363634,0.8888888888888888,0.5853658536585366,27.0,0.0,0.0,0.0,9.0
