model_id,model_name,class_name,precision_mean,precision_sd,precision_fold_ci,recall_mean,recall_sd,recall_fold_ci,f1_mean,f1_sd,f1_fold_ci,support_mean
M1,Logistic Regression,Benign,0.40711832233571366,0.10349643178438395,"[0.2786, 0.5356]",0.3869710144927537,0.13764263763159254,"[0.2161, 0.5579]",0.3853461091753775,0.10756980484525372,"[0.2518, 0.5189]",23.6
M1,Logistic Regression,CAD,0.938551888195064,0.0438225776592318,"[0.8841, 0.9930]",0.9202056866303691,0.049284063857136205,"[0.8590, 0.9814]",0.9279369043264764,0.025371078643393222,"[0.8964, 0.9594]",57.4
M1,Logistic Regression,MVP,0.3965228893489763,0.0946667897530739,"[0.2790, 0.5141]",0.36027676027676026,0.10975762299441695,"[0.2240, 0.4966]",0.3766870428868209,0.1025796601113965,"[0.2493, 0.5041]",26.8
M1,Logistic Regression,Other pathologic,0.2667209914268738,0.05971300551310814,"[0.1926, 0.3409]",0.3615384615384616,0.11409536133993327,"[0.2199, 0.5032]",0.3043175406363262,0.07387286948617462,"[0.2126, 0.3960]",12.8
M1,Logistic Regression,Pathologic,0.8543822843822844,0.15236055165216383,"[0.6652, 1.0436]",0.8243589743589743,0.08153886469824537,"[0.7231, 0.9256]",0.8368667564319738,0.11222691683017982,"[0.6975, 0.9762]",12.4
M3,SVM (RBF kernel),Benign,0.44543468126076824,0.0775502628467801,"[0.3491, 0.5417]",0.5326521739130434,0.14105332217832564,"[0.3575, 0.7078]",0.47894307062654295,0.08452664468684074,"[0.3740, 0.5839]",23.6
M3,SVM (RBF kernel),CAD,0.8773881259702154,0.0263396288576577,"[0.8447, 0.9101]",0.9930429522081065,0.009526930277086305,"[0.9812, 1.0049]",0.9314866855177417,0.016407123268123644,"[0.9111, 0.9519]",57.4
M3,SVM (RBF kernel),MVP,0.4453945367655045,0.07816502704967822,"[0.3483, 0.5424]",0.4654456654456654,0.1526913029892983,"[0.2759, 0.6550]",0.45268413155763276,0.1132132835033503,"[0.3121, 0.5933]",26.8
M3,SVM (RBF kernel),Other pathologic,0.32,0.46043457732885357,"[-0.2517, 0.8917]",0.06153846153846154,0.1002954216185023,"[-0.0630, 0.1861]",0.09523809523809523,0.1467717619754518,"[-0.0870, 0.2775]",12.8
M3,SVM (RBF kernel),Pathologic,0.9202797202797204,0.07717694915424557,"[0.8245, 1.0161]",0.8051282051282052,0.0505963775914644,"[0.7423, 0.8680]",0.8552317247969421,0.00971557544561048,"[0.8432, 0.8673]",12.4
M4,Random Forest,Benign,0.4595591542959965,0.04587412682927061,"[0.4026, 0.5165]",0.46871014492753627,0.1769015006628773,"[0.2491, 0.6884]",0.45142823083721256,0.08551754922226718,"[0.3452, 0.5576]",23.6
M4,Random Forest,CAD,0.9095942581704539,0.06121070545642727,"[0.8336, 0.9856]",0.9722323049001815,0.026159216014878705,"[0.9398, 1.0047]",0.9385556618966083,0.03039004472110289,"[0.9008, 0.9763]",57.4
M4,Random Forest,MVP,0.460931233101398,0.043097016637816773,"[0.4074, 0.5144]",0.4877085877085877,0.16098291307005436,"[0.2878, 0.6876]",0.46441784494522836,0.08360303513140015,"[0.3606, 0.5682]",26.8
M4,Random Forest,Other pathologic,0.5657142857142857,0.2283145878396914,"[0.2822, 0.8492]",0.23461538461538467,0.055068542551062895,"[0.1662, 0.3030]",0.3273969236817534,0.0912001809260517,"[0.2142, 0.4406]",12.8
M4,Random Forest,Pathologic,0.8205128205128206,0.040892149380523976,"[0.7697, 0.8713]",0.8897435897435898,0.1047836755984746,"[0.7596, 1.0198]",0.8527065527065527,0.06834341575521584,"[0.7678, 0.9376]",12.4
M5,Gradient Boosting,Benign,0.44697926634768737,0.05020065555033375,"[0.3846, 0.5093]",0.424536231884058,0.04848415293151199,"[0.3643, 0.4847]",0.43113889112760795,0.015136504049221029,"[0.4123, 0.4499]",23.6
M5,Gradient Boosting,CAD,0.9563046819989488,0.03441020753168184,"[0.9136, 0.9990]",0.9721718088324259,0.01989943642274474,"[0.9475, 0.9969]",0.9638022270687205,0.018607475640535453,"[0.9407, 0.9869]",57.4
M5,Gradient Boosting,MVP,0.48166666666666663,0.04967011356344874,"[0.4200, 0.5433]",0.5614977614977615,0.10476005869678492,"[0.4314, 0.6916]",0.5138062088826096,0.0553839596531976,"[0.4450, 0.5826]",26.8
M5,Gradient Boosting,Other pathologic,0.37765567765567765,0.1349258834663307,"[0.2101, 0.5452]",0.26538461538461544,0.15881402170817366,"[0.0682, 0.4626]",0.3009554655870445,0.14028024486579801,"[0.1268, 0.4751]",12.8
