model_id,model_name,class_name,precision_mean,precision_sd,precision_fold_ci,recall_mean,recall_sd,recall_fold_ci,f1_mean,f1_sd,f1_fold_ci,support_mean
M1,Logistic Regression,normal,0.4356357029697991,0.09833499638392325,"[0.3653, 0.5060]",0.3875,0.08646879120151879,"[0.3256, 0.4494]",0.3994894706109127,0.05700267702572533,"[0.3587, 0.4403]",15.5
M1,Logistic Regression,murmur,0.7401540616246499,0.05099924925251452,"[0.7037, 0.7766]",0.7705882352941176,0.10540925533894593,"[0.6952, 0.8460]",0.7526813411256136,0.06799458828671791,"[0.7040, 0.8013]",17.0
M1,Logistic Regression,extrahls,0.3861675020885547,0.10224611732572186,"[0.3130, 0.4593]",0.48,0.22084760028454087,"[0.3220, 0.6380]",0.4135245851200892,0.1325810685104807,"[0.3187, 0.5084]",9.5
M1,Logistic Regression,artifact,0.9579605263157894,0.05391745176757954,"[0.9194, 0.9965]",0.875,0.09204467514322717,"[0.8092, 0.9408]",0.9120830356434071,0.06297835454450554,"[0.8670, 0.9571]",20.0
M3,SVM (RBF kernel),normal,0.39521178168236987,0.153564987010241,"[0.2854, 0.5051]",0.36458333333333337,0.1815703320860188,"[0.2347, 0.4945]",0.3667174929834776,0.14577582349223867,"[0.2624, 0.4710]",15.5
M3,SVM (RBF kernel),murmur,0.7107593795093796,0.056318031266674576,"[0.6705, 0.7510]",0.8058823529411765,0.1145004025149524,"[0.7240, 0.8878]",0.7523680281831758,0.06879663919091131,"[0.7032, 0.8016]",17.0
M3,SVM (RBF kernel),extrahls,0.1808712121212121,0.20847372450576396,"[0.0317, 0.3300]",0.2588888888888889,0.3233080894646868,"[0.0276, 0.4902]",0.2091746031746032,0.248322755324854,"[0.0315, 0.3868]",9.5
M3,SVM (RBF kernel),artifact,0.8601966873706004,0.05457177232675906,"[0.8212, 0.8992]",0.96,0.03162277660168379,"[0.9374, 0.9826]",0.906335132378808,0.033083877943631185,"[0.8827, 0.9300]",20.0
M4,Random Forest,normal,0.44422200987418375,0.13186217740792971,"[0.3499, 0.5386]",0.24541666666666667,0.15914085014597978,"[0.1316, 0.3593]",0.2820395065965129,0.121712324234513,"[0.1950, 0.3691]",15.5
M4,Random Forest,murmur,0.769739932839778,0.0551937690717259,"[0.7303, 0.8092]",0.776470588235294,0.11365785683285833,"[0.6952, 0.8578]",0.7664073647045784,0.057447107654126715,"[0.7253, 0.8075]",17.0
M4,Random Forest,extrahls,0.43001846193022664,0.0883743371566417,"[0.3668, 0.4932]",0.6888888888888889,0.2664093408645103,"[0.4983, 0.8795]",0.5117158647803808,0.1187296960062551,"[0.4268, 0.5966]",9.5
M4,Random Forest,artifact,0.9464035087719298,0.04219360461382962,"[0.9162, 0.9766]",0.945,0.02838231060987732,"[0.9247, 0.9653]",0.9452251407129456,0.027975080548571753,"[0.9252, 0.9652]",20.0
M5,Gradient Boosting,normal,0.4190919701213819,0.13790595771253886,"[0.3204, 0.5177]",0.3608333333333334,0.1459483673287438,"[0.2564, 0.4652]",0.3710413921826965,0.10914299521591064,"[0.2930, 0.4491]",15.5
M5,Gradient Boosting,murmur,0.7626257333997272,0.08331098477975633,"[0.7030, 0.8222]",0.7764705882352941,0.07744477512992741,"[0.7211, 0.8319]",0.765469992822934,0.052880015440123364,"[0.7276, 0.8033]",17.0
M5,Gradient Boosting,extrahls,0.38368742368742365,0.18427216773670854,"[0.2519, 0.5155]",0.43666666666666665,0.21961745016507592,"[0.2796, 0.5938]",0.4030124573232663,0.19407027587112502,"[0.2642, 0.5418]",9.5
M5,Gradient Boosting,artifact,0.9211086048454471,0.06402796865351573,"[0.8753, 0.9669]",0.93,0.04216370213557838,"[0.8998, 0.9602]",0.9238962399745457,0.038950992073216444,"[0.8960, 0.9518]",20.0
M6,Soft Voting (equal weights),normal,0.4566573102866681,0.19927731242668145,"[0.3141, 0.5992]",0.40875000000000006,0.19680560456362597,"[0.2680, 0.5495]",0.37886211349927057,0.12446266168356256,"[0.2898, 0.4679]",15.5
M6,Soft Voting (equal weights),murmur,0.750260907860181,0.05642903358049571,"[0.7099, 0.7906]",0.7941176470588235,0.11846123503524088,"[0.7094, 0.8789]",0.7662316695288831,0.06114941032411678,"[0.7225, 0.8100]",17.0
M6,Soft Voting (equal weights),extrahls,0.3488095238095238,0.2870367322554645,"[0.1435, 0.5541]",0.28888888888888886,0.27641641714141174,"[0.0912, 0.4866]",0.26815504277060337,0.20113509098449545,"[0.1243, 0.4120]",9.5
M6,Soft Voting (equal weights),artifact,0.9310035464154456,0.05972621372064574,"[0.8883, 0.9737]",0.9549999999999998,0.028382310609877337,"[0.9347, 0.9753]",0.9416227854202898,0.03125304385472081,"[0.9193, 0.9640]",20.0
M7,Soft Voting (optimized weights),normal,0.45164431285948303,0.20484624823530384,"[0.3051, 0.5982]",0.39416666666666667,0.16374994109884908,"[0.2770, 0.5113]",0.38184702017007516,0.10185533659523115,"[0.3090, 0.4547]",15.5
