model_id,model_name,class_name,precision_mean,precision_sd,precision_fold_ci,recall_mean,recall_sd,recall_fold_ci,f1_mean,f1_sd,f1_fold_ci,support_mean
M1,Logistic Regression,normal,0.7716035384818252,0.02951756005018496,"[0.7350, 0.8083]",0.60625,0.04608712876172696,"[0.5490, 0.6635]",0.6776907717025399,0.02533676114142386,"[0.6462, 0.7092]",64.0
M1,Logistic Regression,murmur,0.581062271062271,0.12538282827982086,"[0.4254, 0.7367]",0.5578947368421052,0.12116699403390883,"[0.4074, 0.7083]",0.5574481723949809,0.08624398464317201,"[0.4504, 0.6645]",19.0
M1,Logistic Regression,extrastole,0.12551767676767675,0.03931799732996816,"[0.0767, 0.1743]",0.3022222222222222,0.07793634629666749,"[0.2055, 0.3990]",0.17608368427028726,0.05072446431367725,"[0.1131, 0.2391]",9.2
M3,SVM (RBF kernel),normal,0.7237388091089347,0.016221321602810205,"[0.7036, 0.7439]",0.98125,0.01711632992203644,"[0.9600, 1.0025]",0.8329450682007458,0.013487470852737198,"[0.8162, 0.8497]",64.0
M3,SVM (RBF kernel),murmur,0.7833333333333333,0.1542229626943479,"[0.5918, 0.9748]",0.22105263157894733,0.10123886348248078,"[0.0953, 0.3468]",0.33588054457619676,0.1265412306669037,"[0.1788, 0.4930]",19.0
M3,SVM (RBF kernel),extrastole,0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",9.2
M4,Random Forest,normal,0.7386189588166191,0.022974185679321104,"[0.7101, 0.7671]",0.725,0.06774838558962125,"[0.6409, 0.8091]",0.7296778496562938,0.02259438500883653,"[0.7016, 0.7577]",64.0
M4,Random Forest,murmur,0.4496363636363636,0.052150449868506456,"[0.3849, 0.5144]",0.47368421052631576,0.15789473684210528,"[0.2776, 0.6697]",0.4548570129057934,0.10967393744322272,"[0.3187, 0.5910]",19.0
M4,Random Forest,extrastole,0.06857142857142856,0.0960442075084092,"[-0.0507, 0.1878]",0.08888888888888888,0.12171612389003691,"[-0.0622, 0.2400]",0.07688787185354688,0.10607585981377121,"[-0.0548, 0.2086]",9.2
M5,Gradient Boosting,normal,0.735015161609432,0.03906008266066182,"[0.6865, 0.7835]",0.83125,0.13504556522707437,"[0.6636, 0.9989]",0.7771363211481704,0.08056595274124732,"[0.6771, 0.8772]",64.0
M5,Gradient Boosting,murmur,0.5854312354312354,0.1993550478657814,"[0.3379, 0.8330]",0.43157894736842095,0.11410254415094104,"[0.2899, 0.5733]",0.4880232558139535,0.12765888333704822,"[0.3295, 0.6465]",19.0
M5,Gradient Boosting,extrastole,0.06666666666666667,0.14907119849998599,"[-0.1184, 0.2518]",0.02222222222222222,0.04969039949999532,"[-0.0395, 0.0839]",0.03333333333333332,0.07453559924999296,"[-0.0592, 0.1259]",9.2
M6,Soft Voting (equal weights),normal,0.7346084898684211,0.012684484442814288,"[0.7189, 0.7504]",0.99375,0.013975424859373685,"[0.9764, 1.0111]",0.8446573860150274,0.00914488756787913,"[0.8333, 0.8560]",64.0
M6,Soft Voting (equal weights),murmur,0.9555555555555555,0.09938079899999065,"[0.8322, 1.0790]",0.27368421052631575,0.09415023063157012,"[0.1568, 0.3906]",0.41513631296239983,0.10865576361857404,"[0.2802, 0.5501]",19.0
M6,Soft Voting (equal weights),extrastole,0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",9.2
M7,Soft Voting (optimized weights),normal,0.7367509504293965,0.0158134117034118,"[0.7171, 0.7564]",0.934375,0.12997896464428388,"[0.7730, 1.0958]",0.8202726112720752,0.05745343359055388,"[0.7489, 0.8916]",64.0
M7,Soft Voting (optimized weights),murmur,0.8428571428571429,0.22812456318101873,"[0.5596, 1.1261]",0.32631578947368417,0.14604670447906956,"[0.1450, 0.5077]",0.43588448588448586,0.12257110637748078,"[0.2837, 0.5881]",19.0
M7,Soft Voting (optimized weights),extrastole,0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",0.0,0.0,"[0.0000, 0.0000]",9.2
