repeat,fold,left_stage,right_stage,left_model,right_model,sensitivity_left,sensitivity_right,sensitivity_delta,specificity_left,specificity_right,specificity_delta,f1_left,f1_right,f1_delta,balanced_accuracy_left,balanced_accuracy_right,balanced_accuracy_delta,roc_auc_left,roc_auc_right,roc_auc_delta,accuracy_left,accuracy_right,accuracy_delta
0,0,default_single,default_ensemble,M1,M6,0.803030303030303,0.8712121212121212,0.06818181818181823,0.7805825242718447,0.8,0.01941747572815533,0.603988603988604,0.6571428571428571,0.05315425315425315,0.7918064136510738,0.8356060606060607,0.04379964695498684,0.8776993233303914,0.9024713150926744,0.024771991762283063,0.7851622874806801,0.8145285935085008,0.029366306027820754
0,1,default_single,default_ensemble,M1,M6,0.835820895522388,0.9029850746268656,0.06716417910447758,0.8568665377176016,0.7969052224371374,-0.05996131528046422,0.7,0.6722222222222223,-0.02777777777777768,0.8463437166199947,0.8499451485320015,0.0036014319120067917,0.9324316521839544,0.9515574929992204,0.019125840815266026,0.8525345622119815,0.8187403993855606,-0.03379416282642089
0,2,default_single,default_ensemble,M1,M6,0.816793893129771,0.8549618320610687,0.03816793893129766,0.9005847953216374,0.8947368421052632,-0.005847953216374213,0.740484429065744,0.7542087542087542,0.013724325143010252,0.8586893442257042,0.8748493370831659,0.016159992857461725,0.9408657351606328,0.9511480142255556,0.01028227906492285,0.8835403726708074,0.8866459627329193,0.0031055900621118626
0,3,default_single,default_ensemble,M1,M6,0.8102189781021898,0.7956204379562044,-0.014598540145985384,0.8552123552123552,0.8976833976833977,0.0424710424710425,0.6873065015479877,0.7290969899665551,0.04179048841856747,0.8327156666572725,0.8466519178198011,0.013936251162528612,0.9230194741143648,0.941479018121354,0.018459544006989237,0.8458015267175573,0.8763358778625954,0.030534351145038108
0,4,default_single,default_ensemble,M1,M6,0.8702290076335878,1.0,0.1297709923664122,0.80078125,0.76953125,-0.03125,0.6570605187319885,0.6894736842105263,0.0324131654785379,0.8355051288167938,0.884765625,0.04926049618320616,0.9204735209923663,0.9498151240458016,0.02934160305343525,0.8149300155520995,0.8164852255054432,0.0015552099533436836
1,0,default_single,default_ensemble,M1,M6,0.7878787878787878,0.8636363636363636,0.0757575757575758,0.7728155339805826,0.7883495145631068,0.015533980582524198,0.5892351274787535,0.6422535211267606,0.05301839364800709,0.7803471609296853,0.8259929390997351,0.04564577817004989,0.8839952927331568,0.8963224477787584,0.012327155045601557,0.7758887171561051,0.80370942812983,0.02782071097372496
1,1,default_single,default_ensemble,M1,M6,0.8823529411764706,0.8161764705882353,-0.06617647058823528,0.8342967244701349,0.903660886319846,0.06936416184971106,0.7017543859649122,0.7474747474747475,0.04572036150983527,0.8583248328233027,0.8599186784540406,0.0015938456307378335,0.9241471154935964,0.946815142241868,0.02266802674827162,0.8442748091603054,0.8854961832061069,0.04122137404580151
1,2,default_single,default_ensemble,M1,M6,0.8549618320610687,0.816793893129771,-0.03816793893129766,0.8830409356725146,0.9395711500974658,0.05653021442495121,0.7392739273927392,0.7955390334572491,0.05626510606450985,0.8690013838667916,0.8781825216136184,0.009181137746826828,0.936818296802226,0.9687811556031724,0.0319628588009464,0.8773291925465838,0.9145962732919256,0.037267080745341796
1,3,default_single,default_ensemble,M1,M6,0.8222222222222222,0.8888888888888888,0.06666666666666665,0.8391472868217055,0.813953488372093,-0.025193798449612448,0.6747720364741642,0.6837606837606838,0.008988647286519602,0.8306847545219638,0.851421188630491,0.020736434108527213,0.9263996554694228,0.929787539477462,0.0033878840080391326,0.8356374807987711,0.8294930875576036,-0.006144393241167445
1,4,default_single,default_ensemble,M1,M6,0.916030534351145,0.9618320610687024,0.04580152671755744,0.837890625,0.818359375,-0.01953125,0.718562874251497,0.72,0.0014371257485029654,0.8769605796755725,0.8900957180343512,0.013135138358778664,0.9437768368320612,0.9612953244274808,0.01751848759541963,0.8538102643856921,0.8475894245723172,-0.0062208398133748455
