repeat,fold,left_stage,right_stage,left_model,right_model,sensitivity_left,sensitivity_right,sensitivity_delta,specificity_left,specificity_right,specificity_delta,f1_left,f1_right,f1_delta,balanced_accuracy_left,balanced_accuracy_right,balanced_accuracy_delta,roc_auc_left,roc_auc_right,roc_auc_delta,accuracy_left,accuracy_right,accuracy_delta
0,0,tuned_single,tuned_ensemble_equal,M1,M6,0.8257575757575758,0.8712121212121212,0.045454545454545414,0.7805825242718447,0.8077669902912621,0.027184466019417375,0.615819209039548,0.6647398843930635,0.04892067535351552,0.8031700500147103,0.8394895557516917,0.036319505736981395,0.8803765813474551,0.9081788761400412,0.027802294792586113,0.7897990726429676,0.8207109737248841,0.03091190108191655
0,1,tuned_single,tuned_ensemble_equal,M1,M6,0.8656716417910447,0.8880597014925373,0.022388059701492602,0.8491295938104448,0.816247582205029,-0.03288201160541582,0.7073170731707317,0.6839080459770115,-0.023409027193720178,0.8574006178007447,0.8521536418487832,-0.005246975951961552,0.9329224284765728,0.9486850082277202,0.015762579751147365,0.8525345622119815,0.8310291858678955,-0.021505376344086002
0,2,tuned_single,tuned_ensemble_equal,M1,M6,0.8244274809160306,0.7404580152671756,-0.08396946564885499,0.9005847953216374,0.9473684210526316,0.04678362573099426,0.7448275862068966,0.7607843137254902,0.01595672751859356,0.8625061381188339,0.8439132181599036,-0.01859291995893031,0.940449087094326,0.947026174426737,0.006577087332411025,0.8850931677018633,0.90527950310559,0.02018633540372672
0,3,tuned_single,tuned_ensemble_equal,M1,M6,0.8321167883211679,0.8248175182481752,-0.007299270072992692,0.8513513513513513,0.8822393822393823,0.030888030888030937,0.6951219512195121,0.7266881028938906,0.031566151674378484,0.8417340698362596,0.8535284502437788,0.011794380407519123,0.9195389341374745,0.9424794972240228,0.02294056308654835,0.8473282442748091,0.8702290076335878,0.022900763358778664
0,4,tuned_single,tuned_ensemble_equal,M1,M6,0.931297709923664,0.9847328244274808,0.05343511450381677,0.78515625,0.7890625,0.00390625,0.6721763085399449,0.7010869565217391,0.028910647981794213,0.8582269799618321,0.8868976622137404,0.028670682251908386,0.9237237595419848,0.9514104246183206,0.02768666507633577,0.8149300155520995,0.8289269051321928,0.013996889580093264
1,0,tuned_single,tuned_ensemble_equal,M1,M6,0.7803030303030303,0.7727272727272727,-0.007575757575757569,0.7689320388349514,0.8543689320388349,0.08543689320388348,0.5819209039548022,0.6601941747572816,0.07827327080247937,0.7746175345689909,0.8135481023830538,0.0389305678140629,0.8835834068843778,0.8905854663136217,0.007002059429243923,0.7712519319938176,0.8377125193199382,0.06646058732612059
1,1,tuned_single,tuned_ensemble_equal,M1,M6,0.8823529411764706,0.7941176470588235,-0.08823529411764708,0.8265895953757225,0.9171483622350676,0.09055876685934505,0.6936416184971098,0.7526132404181185,0.05897162192100869,0.8544712682760965,0.8556330046469455,0.0011617363708489314,0.9252096792474216,0.9425365521931316,0.017326872945710003,0.8381679389312977,0.8916030534351145,0.05343511450381677
1,2,tuned_single,tuned_ensemble_equal,M1,M6,0.8778625954198473,0.8091603053435115,-0.06870229007633588,0.8693957115009746,0.9337231968810916,0.06432748538011701,0.7348242811501597,0.7822878228782287,0.04746354172806899,0.873629153460411,0.8714417511123016,-0.002187402348109435,0.9380980015773106,0.96876627531509,0.03066827373777936,0.8711180124223602,0.908385093167702,0.037267080745341796
1,3,tuned_single,tuned_ensemble_equal,M1,M6,0.837037037037037,0.7851851851851852,-0.051851851851851816,0.8391472868217055,0.8837209302325582,0.04457364341085268,0.6827794561933535,0.7043189368770764,0.02153948068372291,0.8380921619293713,0.8344530577088717,-0.0036391042204996227,0.9267154751650876,0.92786391042205,0.001148435256962399,0.8387096774193549,0.8632872503840245,0.02457757296466967
1,4,tuned_single,tuned_ensemble_equal,M1,M6,0.8931297709923665,0.9694656488549618,0.07633587786259532,0.8359375,0.80078125,-0.03515625,0.7048192771084337,0.7055555555555556,0.0007362784471218742,0.8645336354961832,0.8851234494274809,0.020589813931297662,0.9440899332061068,0.960922590648855,0.0168326574427482,0.8475894245723172,0.8351477449455676,-0.01244167962674958
2,0,tuned_single,tuned_ensemble_equal,M1,M6,0.8702290076335878,0.8549618320610687,-0.01526717557251911,0.7777777777777778,0.7387914230019493,-0.03898635477582846,0.6350974930362117,0.5941644562334217,-0.040933036802789924,0.8240033927056828,0.796876627531509,-0.027126765174173784,0.9012990491495916,0.8936059402110024,-0.00769310893858921,0.796583850931677,0.7624223602484472,-0.03416149068322982
2,1,tuned_single,tuned_ensemble_equal,M1,M6,0.9402985074626866,0.8805970149253731,-0.059701492537313494,0.7001934235976789,0.8471953578336557,0.14700193423597685,0.6072289156626506,0.7129909365558912,0.1057620208932406,0.8202459655301828,0.8638961863795145,0.04365022084933168,0.887626663587286,0.9483097087098358,0.06068304512254974,0.7496159754224271,0.8540706605222734,0.10445468509984634
2,2,tuned_single,tuned_ensemble_equal,M1,M6,0.8540145985401459,0.927007299270073,0.07299270072992703,0.8552123552123552,0.8378378378378378,-0.01737451737451734,0.7112462006079028,0.7298850574712644,0.01863885686336164,0.8546134768762506,0.8824225685539554,0.027809091677704845,0.927331398134318,0.9606008511118,0.03326945297748207,0.8549618320610687,0.8564885496183207,0.0015267175572519776
2,3,tuned_single,tuned_ensemble_equal,M1,M6,0.931297709923664,0.9389312977099236,0.007633587786259555,0.845703125,0.8671875,0.021484375,0.7349397590361446,0.7639751552795031,0.02903539624335849,0.8885004174618321,0.9030593988549618,0.014558981393129722,0.9336682967557252,0.956688334923664,0.02302003816793885,0.8631415241057543,0.8818040435458787,0.018662519440124425
2,4,tuned_single,tuned_ensemble_equal,M1,M6,0.8257575757575758,0.7803030303030303,-0.045454545454545525,0.8718446601941747,0.912621359223301,0.040776699029126284,0.7100977198697068,0.7357142857142858,0.025616565844578942,0.8488011179758752,0.8464621947631656,-0.002338923212709565,0.9282141806413652,0.9363047955280964,0.00809061488673124,0.8624420401854714,0.8856259659969088,0.023183925811437356
3,0,tuned_single,tuned_ensemble_equal,M1,M6,0.8473282442748091,0.8244274809160306,-0.022900763358778553,0.7797270955165692,0.8167641325536062,0.03703703703703709,0.6253521126760564,0.6486486486486487,0.02329653597259229,0.8135276698956891,0.8205958067348185,0.007068136839129324,0.8924303974524946,0.8965522372513133,0.004121839798818638,0.7934782608695652,0.8183229813664596,0.024844720496894457
3,1,tuned_single,tuned_ensemble_equal,M1,M6,0.8484848484848485,0.9015151515151516,0.053030303030303094,0.8679611650485437,0.8932038834951457,0.025242718446601975,0.717948717948718,0.7777777777777778,0.05982905982905984,0.858223006766696,0.8973595175051485,0.03913651073845248,0.9353633421594588,0.9471462194763166,0.011782877316857787,0.8639876352395672,0.8948995363214838,0.03091190108191655
3,2,tuned_single,tuned_ensemble_equal,M1,M6,0.9485294117647058,0.9779411764705882,0.02941176470588236,0.8053949903660886,0.7610789980732178,-0.044315992292870865,0.7049180327868853,0.6768447837150128,-0.028073249071872475,0.8769622010653972,0.869510087271903,-0.007452113793494197,0.9469993199591976,0.961733537345574,0.01473421738637637,0.8351145038167939,0.8061068702290076,-0.02900763358778624
3,3,tuned_single,tuned_ensemble_equal,M1,M6,0.8888888888888888,0.8962962962962963,0.007407407407407418,0.8333333333333334,0.8042635658914729,-0.029069767441860517,0.7038123167155426,0.6778711484593838,-0.025941168256158775,0.8611111111111112,0.8502799310938846,-0.010831180017226605,0.928825724949756,0.9419465977605512,0.013120872810795214,0.8448540706605223,0.8233486943164362,-0.021505376344086113
3,4,tuned_single,tuned_ensemble_equal,M1,M6,0.8320610687022901,0.8244274809160306,-0.007633587786259555,0.87890625,0.888671875,0.009765625,0.7218543046357616,0.7297297297297297,0.007875425093968103,0.855483659351145,0.8565496779580153,0.0010660186068702782,0.92770455629771,0.9412720658396948,0.013567509541984824,0.8693623639191291,0.8755832037325039,0.0062208398133747345
4,0,tuned_single,tuned_ensemble_equal,M1,M6,0.8823529411764706,0.8602941176470589,-0.022058823529411686,0.7764932562620424,0.8323699421965318,0.05587668593448947,0.6451612903225806,0.6882352941176471,0.04307400379506643,0.8294230987192565,0.8463320299217953,0.01690893120253889,0.8994531338546979,0.9126997619857192,0.013246628131021287,0.7984732824427481,0.8381679389312977,0.03969465648854964
4,1,tuned_single,tuned_ensemble_equal,M1,M6,0.8854961832061069,0.900763358778626,0.01526717557251911,0.8518518518518519,0.8148148148148148,-0.03703703703703709,0.718266253869969,0.686046511627907,-0.03221974224206203,0.8686740175289793,0.8577890867967204,-0.010884930732258935,0.9451066172641104,0.9554484174813624,0.010341800217252062,0.8586956521739131,0.8322981366459627,-0.026397515527950333
